상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
오마데일리 무지 양말,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509402&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bm55W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003722.gif?1701892869,,3500,,14,"화이트, 그레이, 블랙, 진베이지, 연베이지, 브라운",0,ACC > 기타
스트리프 페이크삭스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504512&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bWd3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003142.gif?1654254627,,3800,,18,"화이트, 아이보리,크림, 그레이, 핑크, 카키, 카멜, 블루, 네이비",0,ACC > 기타
라벨R로고 골지양말,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507168&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bGx3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003532.gif?1681787904,,3800,,43,"화이트, 오렌지, 그린, 네이비, 블랙",0,ACC > 기타
[폭탄특가 한정세일][당일발송]김준호X김지민의 각질 패드 (각질케어)1세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506181&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=aWZ3VQ%3D%3D,★당일배송★ 4가지 색상으로 언제 어디서든 착용 하세요!,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003412.gif?1671440205,15000,12000,20,65,"화이트, 연베이지, 연퍼플, 블랙",0,ACC > 기타
펄스마일 페이크삭스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503920&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmp5W1k%3D,실리콘 벗겨짐 방지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003102.gif?1648600782,,2900,,164,"화이트, 아이보리,크림, 옐로우, 그레이, 블랙",0,ACC > 기타
에잇레터링 프린팅 골지삭스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510328&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmp7W1w%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003762.gif?1712827764,,3800,,13,"옐로우, 네이비, 레드, 블랙",0,ACC > 기타
베누츠 폼풋패드,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497569&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bm11W14%3D,라텍스소재로 폭신폭신~,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080002442.jpg?1607474557,,6900,,49,"진베이지, 블랙",0,ACC > 기타
세인트라벨 배색양말,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505131&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=a2h3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003202.gif?1661422558,,5000,,33,"스카이, 베이지, 카키, 그레이",0,ACC > 기타
리렌지 키높이뒷굽깔창,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497570&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmt6W1g%3D,2cm키높이! 키높이와 사이즈보정효과!,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080002452.jpg?1608013961,,3900,,35,블랙,0,ACC > 기타
에어키높이깔창,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=398656&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=amx3Vw%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080000272.gif?1608080278,,3900,,345,"화이트, 블랙",0,ACC > 기타
호올스 스카프 고리,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510499&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=Zml3Vg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003772.gif?1714043782,,15000,,0,"머스타드,골드, 그레이",0,ACC > 기타
요가유발삭스[여우휘트니스3탄],https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497767&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bWV1,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080002482.jpg?1673934411,7500,1500,80,82,블랙,0,ACC > 기타
사뿐골지 페이크삭스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503993&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=Z2x3UFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003112.gif?1649152661,,2900,,170,"아이보리,크림, 베이지, 그레이, 옐로우, 브라운, 블랙",0,ACC > 기타
헤이비너 울 니트 장갑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512013&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=aG53UF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003852.gif?1734080121,,24000,,0,"아이보리,크림, 베이지, 브라운, 레드, 그레이, 블랙",0,ACC > 기타
핸드워머 스마트 터치 투톤배색 울 장갑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511914&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmV8Uw%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003842.gif?1732781413,,15000,,2,"아이보리,크림, 핑크, 스카이, 네이비, 그린, 레드, 그레이",0,ACC > 기타
프렌치 실버바 팬던트 키링,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511770&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=amx3UFk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003822.gif?1730877899,,3000,,4,그레이,0,ACC > 기타
몰튼 캐시미어 무지 양말,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511737&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bWZ3UFo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003812.gif?1730355981,,11800,,2,"아이보리,크림, 베이지, 진베이지, 그레이, 블랙",0,ACC > 기타
