상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
킨레오파드 마름모스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505307&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=bGx3UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002172.gif?1663319023,,14000,,2,"아이보리,크림, 진베이지, 브라운",0,ACC > 머플러&스카프
[1+1할인]원스원 머플러,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497518&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=aGh3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050001922.gif?1611287302,,8900,,156,"아이보리,크림, 베이지, 소라, 인디핑크, 연퍼플, 머스타드,골드",0,ACC > 머플러&스카프
노이프 울 단가라 머플러,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512081&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=bmx%2FW18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002492.gif?1734941529,,22000,,2,"베이지, 핑크, 연카키, 블랙",0,ACC > 머플러&스카프
애티 에그라벨 울 머플러,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511754&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=aWZ3VQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002452.gif?1730975991,24000,19200,20,21,"아이보리,크림, 연베이지, 브라운, 데님1, 데님2, 오렌지, 라임, 그레이, 블랙",0,ACC > 머플러&스카프
에코르 사각 스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511411&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=amh3VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002432.gif?1727158235,,5800,,7,연베이지,0,ACC > 머플러&스카프
네이즐 사각 스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510496&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=Z213UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002412.gif?1714042671,,12800,,0,옐로우,0,ACC > 머플러&스카프
헬러 사각 스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510170&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=bm11W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002382.gif?1711450768,,12800,,0,"핑크, 데님연청",0,ACC > 머플러&스카프
디오 다이아몬드 스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509954&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=bmt6W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002342.gif?1709104092,,16000,,1,네이비,0,ACC > 머플러&스카프
수르닐 체크 사각 스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510498&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=Z2t3WQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002422.gif?1714043609,,12800,,0,"옐로우, 오렌지, 네이비, 블랙",0,ACC > 머플러&스카프
필레 리버시블 롱 스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510327&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=a253WA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002392.gif?1712825286,,14000,,0,블랙,0,ACC > 머플러&스카프
체이크 양면 사각 롱 스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510168&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=aml3UFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002372.jpg?1711449229,,14000,,0,블랙,0,ACC > 머플러&스카프
윌셔블루 단가라 숄니트 머플러,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510123&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=bmp0W11F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002362.gif?1710984600,,10000,,3,"아이보리,크림, 브라운, 블랙",0,ACC > 머플러&스카프
펜스터스 숄니트 머플러,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510114&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=bm19W11G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002352.gif?1710923368,,10000,,11,"화이트, 연두, 옐로우, 네이비, 레드, 블랙",0,ACC > 머플러&스카프
트로이 트라이앵글 스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509910&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=ZmV8Ug%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002332.gif?1709079796,,18000,,0,"베이지, 오렌지, 블루",0,ACC > 머플러&스카프
델무드 사선단가라스카프,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508065&xcode=005&mcode=005&scode=&type=X&sort=manual&cur_code=005005&search=&GfDT=bm17W11A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050050002302.gif?1693214499,,11000,,2,"아이보리,크림, 블랙",0,ACC > 머플러&스카프
