상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
미시시피 배색 볼캡,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510344&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=bml3UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020005612.gif?1712910189,,15000,,7,"베이지, 와인, 블랙",0,ACC > 모자
에잇티 워싱 자수 볼캡,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512583&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=bm53Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020006092.jpg?1744711263,,22000,,0,"베이지, 블루, 네이비, 그린, 레드, 블랙",0,ACC > 모자
럭키 패치자수 볼캡,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512544&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=bmt9W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020006072.jpg?1744193477,,20000,,0,,0,ACC > 모자
부클버튼 울 니트 트루퍼햇,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512034&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=Z2x3VQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020006022.gif?1734430076,,22000,,1,"베이지, 그레이, 브라운, 블랙",0,ACC > 모자
오틴 울 바라클라바,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511925&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=aWV4,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020005972.jpg?1732861460,,19800,,1,"챠콜, 연베이지, 브라운",0,ACC > 모자
트리피드 레터링 자수 볼캡,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511361&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=bm17W1w%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020005802.jpg?1725953629,,19800,,28,"화이트, 연베이지, 코코아, 딥핑크, 블랙, 카키",0,ACC > 모자
그레이트 레터링 자수 볼캡,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512554&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=bm95W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020006082.gif?1744272493,,20000,,0,"아이보리,크림, 베이지, 그린, 네이비, 레드, 블랙",0,ACC > 모자
C패치 코튼버킷햇,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507196&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=aGh3VQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020005292.gif?1681980336,,12000,,7,"화이트, 베이지, 블랙",0,ACC > 모자
썬데이온 배색레터링볼캡,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504322&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=bmp1W1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020004982.gif?1652340737,,19800,,7,"블루, 그린, 네이비",0,ACC > 모자
홀리엔 양털 버킷햇,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511833&xcode=005&mcode=002&scode=&type=X&sort=manual&cur_code=005002&search=&GfDT=a293WA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050020005962.gif?1731565992,,19800,,4,"아이보리,크림, 블랙, 딥브라운",0,ACC > 모자
