상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
깔끔핏 사각버클벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=500854&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bm16W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001042.gif?1616035258,,11800,,80,"화이트, 카멜, 블랙",0,ACC > 벨트
푸모 스티치 레더 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510927&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bmp3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001272.gif?1719220744,,5000,,3,브라운,0,ACC > 벨트
20mm 심플 슬림 레더 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510104&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bml5W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001182.gif?1710837712,,5000,,2,베이지,0,ACC > 벨트
엘써클 실버 로고 소가죽 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510912&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bGZ3VQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001262.gif?1718963814,,18000,,4,블랙,0,ACC > 벨트
10mm 에밀리 베이직 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510825&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bmh8W1k%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001252.gif?1717749708,,6000,,16,"진베이지, 블랙",0,ACC > 벨트
오디세이-belt,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=338572&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=a2V9,심플하지만 멋스러운 버클벨트♬ 블랙/브라운/화이트,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001132.jpg?1684919188,7500,800,90,1,"화이트, 브라운, 블랙",0,ACC > 벨트
스퀘어프레임 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502320&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bmp%2FW10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001062.jpg?1630283293,,11000,,34,"베이지, 카멜, 브라운, 블랙",0,ACC > 벨트
에끌레르 소가죽 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509746&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=aGZ3VQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001152.gif?1706230745,,26000,,2,블랙,0,ACC > 벨트
골드크루 가죽벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508093&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bml9W1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001142.gif?1693473112,,24000,,14,"카멜, 브라운, 블랙",0,ACC > 벨트
피그레인 스퀘어 버클 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510633&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bGt3WA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001242.gif?1715337947,,8000,,3,블랙,0,ACC > 벨트
카르브 브라운 레더 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510608&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bm50W11E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001232.gif?1715167133,,12000,,9,브라운,0,ACC > 벨트
비코트 레더 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510322&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=aW53UF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001222.gif?1712823773,,7000,,5,,0,ACC > 벨트
20mm 스퀘어 골드 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510212&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=bW93UF4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001212.gif?1711713465,,12000,,0,블랙,0,ACC > 벨트
20mm 클래식 슬림 레더 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510105&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=aG13UF8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001192.gif?1710899933,,8000,,5,"베이지, 블랙",0,ACC > 벨트
미니 플랩포켓 벨트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509801&xcode=005&mcode=003&scode=&type=X&sort=manual&cur_code=005003&search=&GfDT=Z2l3UFg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050030001162.gif?1707290350,,22000,,0,"화이트, 블랙",0,ACC > 벨트
