상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
인견 노라인팬티,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498934&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=bmx7W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000172.gif?1607991896,7000,6300,10,107,"인디핑크, 블랙",0,ACC > 이너웨어
"[1+1]페앙 속바지(2부,3부)",https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498138&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=aWx3Uw%3D%3D,여름내내 청량하게~ 원피스에 스커트에 쏙~! 인견 이너 팬츠,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000212.gif?1608600603,14800,13400,10,127,"화이트, 인디핑크, 블랙",0,ACC > 이너웨어
[1+1]라이너프리 코튼위생팬티,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504534&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=aWt3Ug%3D%3D,"베이직,스트라이프,하트3TYPE",https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000502.gif?1654676474,14900,13500,10,15,,0,ACC > 이너웨어
심리스 누디속바지,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502243&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=bml%2FW1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000382.gif?1629104948,12000,10800,10,3,인디핑크,0,ACC > 이너웨어
프리컷 심리스브라탑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502242&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=bmx7W1k%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000372.gif?1629095811,14800,13400,10,13,"화이트, 연베이지, 블랙",0,ACC > 이너웨어
쿨링 나시브라탑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501949&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=bGl3UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000282.gif?1625099180,11800,10700,10,160,"화이트, 연베이지, 블랙",0,ACC > 이너웨어
누디웨어 Y존커버속바지,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502240&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=Zm93Uw%3D%3D,"L(95),XL(100)",https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000362.gif?1688632976,14800,13400,10,11,"연베이지, 블랙",0,ACC > 이너웨어
Y존커버 속치마바지,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501021&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=bm1%2FW1g%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000262.gif?1617242388,12800,11600,10,114,"아이보리,크림, 베이지, 블랙",0,ACC > 이너웨어
무봉제 위생팬티,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501955&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=bmp1W1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000302.jpg?1625045319,7000,6300,10,17,"연베이지, 블랙",0,ACC > 이너웨어
무드웨이 이너브라수영복,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=492257&xcode=005&mcode=004&scode=&type=X&sort=manual&cur_code=005004&search=&GfDT=bmZ3WA%3D%3D,여름 휴가때 꼭필요한 베스트 이너 잇템!!,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050040000162.gif?1608080066,12000,10800,10,7,"인디핑크, 블랙",0,ACC > 이너웨어
