상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
버블진주 귀걸이,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510186&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=bml%2BW10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060004762.gif?1711524448,,15000,,0,"아이보리,크림",0,ACC > 쥬얼리
RI 로고 골드 브로치,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510014&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=Zmt3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060004752.gif?1711442512,,2000,,4,"머스타드,골드",0,ACC > 쥬얼리
러브 레터링 하트 와펜,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510013&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=am13Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060004742.gif?1709798994,,1500,,28,"레드, 블랙",0,ACC > 쥬얼리
더블디 골드 진주 브로치,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510002&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=bm98W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060004732.gif?1709863804,,3000,,7,"머스타드,골드",0,ACC > 쥬얼리
크레센트 볼드 실버 목걸이,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509913&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=a2h3VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060004712.gif?1708678966,,15000,,0,,0,ACC > 쥬얼리
베르사 체인팔찌,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507211&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=bm55W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060004602.gif?1682065617,,11000,,8,"그레이, 머스타드,골드",0,ACC > 쥬얼리
썬더앵클-anklet,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=478695&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=bWt3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060002652.gif?1608080128,,6000,,172,"오렌지, 레드, 그린",0,ACC > 쥬얼리
베티즈 레더 체인 목걸이,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509911&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=bm9%2FW1g%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060004692.gif?1709625066,,15000,,3,,0,ACC > 쥬얼리
머스캣 스퀘어체인목걸이,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504058&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=bml6W1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060004402.gif?1649813027,,19800,,3,"머스타드,골드, 그레이",0,ACC > 쥬얼리
프랑빈티지 귀걸이3종세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503259&xcode=005&mcode=006&scode=&type=X&sort=manual&cur_code=005006&search=&GfDT=bm11W1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050060004372.gif?1640248108,,12000,,1,"머스타드,골드",0,ACC > 쥬얼리
