상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
에르 지브라 스퀘어 스카프,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62856&xcode=069&mcode=003&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=bmp8W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0690030007793.gif?1740362352,,13900,,64,"rgb(0, 0, 0);, rgb(195, 221, 230);",ACC
템 스퀘어 스카프,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62857&xcode=069&mcode=003&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=aml3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0690030007803.gif?1740453572,,13900,,21,"rgb(255, 255, 255);, rgb(0, 0, 0);",ACC
큐리오 타이 스카프,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62827&xcode=069&mcode=003&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=aW93Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0690030007763.gif?1739508526,,12000,,14,"rgb(201, 192, 175);, rgb(222, 129, 53);, rgb(210, 164, 222);",ACC
앤드밀 스트라이프 숄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60077&xcode=069&mcode=006&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=Z2Z3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0690060005003.gif?1726713366,,19000,,38,"rgb(255, 255, 255);, rgb(245, 193, 245);, rgb(217, 197, 217);, rgb(35, 17, 115);, rgb(32, 59, 48);, rgb(186, 167, 145);, rgb(145, 145, 145);, rgb(0, 0, 0);",ACC
라브엘 심플 숄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56066&xcode=069&mcode=003&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=aGV5,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0690030007113.gif?1694138222,,12000,,85,"rgb(255, 255, 255);, rgb(245, 244, 237);, rgb(97, 97, 97);, rgb(0, 0, 0);",ACC
샤샤 스퀘어 스카프,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62883&xcode=069&mcode=003&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=bmp3UQ%3D%3D,"컬러풀한 패턴이 돋보이는 세련된 스카프
심플한 룩에 포인트 톡톡-
(2color)",,,16000,,0,"rgb(255, 255, 255);, rgb(0, 0, 0);",ACC
어스 울실크 스퀘어 스카프,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62925&xcode=069&mcode=003&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=Z2l3Uw%3D%3D,"울 X 실크 소재로 부드러워요~
모던한 무드로 멋스럽게 스타일링 업!
(2color)",,,31000,,0,"rgb(255, 255, 255);, rgb(0, 0, 0);",ACC
블라썸 쉬폰 실크 스카프,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62851&xcode=069&mcode=003&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=bm99W18%3D,"은은~하게 여성스러우면서 고급스러운 무드♡
허전한 룩에 가볍게 매치하기 좋은 사이즈에요 :)
(6color) *옐로우 4/9(수) 입고예정*",,,16000,,0,"rgb(255, 255, 255);, rgb(247, 244, 215);, rgb(245, 218, 221);, rgb(207, 230, 225);, rgb(194, 201, 204);, rgb(0, 0, 0);",ACC
라이언 마름모 스카프,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61717&xcode=069&mcode=003&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=bmt%2BW1s%3D,"차분한 톤온톤 프린팅으로 브랜드감성 UP
마름모쉐입으로 손쉬운 스타일링 가능!
(2color)",,,10000,,13,"rgb(241, 170, 174);, rgb(34, 60, 87);",ACC
베이직 컬러 양말,https://www.joamom.co.kr/shop/shopdetail.html?branduid=47700&xcode=069&mcode=009&scode=&type=X&sort=manual&cur_code=069&search=&GfDT=bm54W1Q%3D,"슬라브결이 느껴지는 내추럴 감성
발목 밴딩처리로 짱짱한 착용감!
(8color)",,,2500,,412,"rgb(245, 244, 243);, rgb(232, 225, 145);, rgb(239, 196, 188);, rgb(179, 198, 206);, rgb(228, 214, 193);, rgb(163, 164, 163);, rgb(97, 100, 99);, rgb(0, 0, 0);",ACC
