상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
시프레 H쉐입 샌들,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61790&xcode=068&mcode=001&scode=&type=X&sort=manual&cur_code=068&search=&GfDT=am93UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680010001913.gif?1712034822,,42000,,9,"rgb(255, 255, 255);, rgb(153, 144, 124);, rgb(99, 75, 57);, rgb(0, 0, 0);",BAG&SHOES
네트 메리제인 플랫,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62973&xcode=068&mcode=006&scode=&type=X&sort=manual&cur_code=068&search=&GfDT=Zmd3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680060004683.gif?1744077293,,42000,,1,"rgb(250, 246, 237);, rgb(128, 114, 94);",BAG&SHOES
리얼 양가죽 반달 크로스백,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62830&xcode=068&mcode=009&scode=003&type=X&sort=manual&cur_code=068&search=&GfDT=amp3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680090006423.gif?1741844842,,69000,,11,"rgb(240, 236, 228);, rgb(56, 37, 19);, rgb(0, 0, 0);",BAG&SHOES
몽스 스니커즈,https://www.joamom.co.kr/shop/shopdetail.html?branduid=42938&xcode=068&mcode=008&scode=&type=X&sort=manual&cur_code=068&search=&GfDT=bml1W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680080001493.jpg?1552664212,,28500,,295,"rgb(154, 154, 154);, rgb(255, 255, 255);, rgb(87, 102, 125);, rgb(224, 180, 97);, rgb(0, 0, 0);",BAG&SHOES
리얼레더 H 뮬 슬리퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62964&xcode=068&mcode=005&scode=&type=X&sort=manual&cur_code=068&search=&GfDT=bml%2FW1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680050004093.gif?1743755542,,51500,,0,"rgb(245, 243, 228);, rgb(143, 105, 79);, rgb(0, 0, 0);",BAG&SHOES
테린드 토트백,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54408&xcode=068&mcode=009&scode=002&type=X&sort=manual&cur_code=068&search=&GfDT=Zmp3UA%3D%3D,파우치 구성으로 실용성도 굿 요즘 핫한 트렌드의 꼬임디자인! (3color),https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680090004893.gif?1716776494,,45000,,1,"rgb(145, 80, 53);, rgb(255, 255, 255);, rgb(29, 26, 21);",BAG&SHOES
미니멀 스퀘어 블로퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61789&xcode=068&mcode=006&scode=&type=X&sort=manual&cur_code=068&search=&GfDT=bmp5W14%3D,"스퀘어토 디자인으로 세련되게!
모던하면서 한끗 멋스러운 슈즈에요 :)
(3color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680060004593.gif?1711326898,,36000,,0,"rgb(245, 242, 237);, rgb(135, 120, 108);, rgb(0, 0, 0);",BAG&SHOES
BB 체크 토트백,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61804&xcode=068&mcode=009&scode=002&type=X&sort=manual&cur_code=068&search=&GfDT=bGl3VA%3D%3D,"늘어짐 없이 탄탄한 뉴프라다 원단과
클래식한 타탄체크가 어우러진 원형 토트백
*3/11 입고예정*",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680090006223.gif?1711515985,,27000,,17,"rgb(46, 55, 66);",BAG&SHOES
스퀘어토 트위드 플랫,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62943&xcode=068&mcode=006&scode=&type=X&sort=manual&cur_code=068&search=&GfDT=b2V7,"일상에서 포인트로 즐기기 좋은, 트렌디하고
한끗 멋스러운 임팩트가 있는 트위드 플랫
(4color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680060004673.gif?1743489858,,53500,,0,"rgb(250, 247, 237);, rgb(232, 183, 221);, rgb(168, 206, 224);, rgb(0, 0, 0);",BAG&SHOES
페이즐리 에코 숄더 백,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62923&xcode=068&mcode=009&scode=001&type=X&sort=manual&cur_code=068&search=&GfDT=Z2d3Vg%3D%3D,"흐물거리지 않고 밀도 높은 탄탄한 소재
캐주얼하면서 트렌디한 페이즐리 패턴
(3color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0680090006443.gif?1742186079,,32500,,0,"rgb(100, 155, 237);, rgb(165, 191, 153);, rgb(26, 49, 107);",BAG&SHOES
