상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
실키 칸칸 밴딩 롱 스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512331&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=Zm13Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020011832.gif?1744248943,,34000,,0,"화이트, 블랙",0,DRESS&SKIRT > 스커트
마룬 밴딩 슬릿 데님스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512216&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=bml7W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020011782.gif?1738564564,,39800,,0,"화이트, 소라, 데님1, 챠콜, 블랙",0,DRESS&SKIRT > 스커트
포니아 플레어 데님 스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512412&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=Zmx3VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020011852.jpg?1742429287,,49800,,0,데님2,0,DRESS&SKIRT > 스커트
레오파드 플리츠스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=500914&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=bmh%2FW1o%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020009112.jpg?1616546574,,19800,,0,"아이보리,크림, 블랙",0,DRESS&SKIRT > 스커트
위니크 배색 밴딩 스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512615&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=am53Vg%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020011922.jpg?1744969983,33800,14800,56,0,"베이지, 네이비",0,DRESS&SKIRT > 스커트
베러유 밴딩 스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512591&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=bm5%2BW1w%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020011902.gif?1744794654,,24000,,0,"아이보리,크림, 블랙",0,DRESS&SKIRT > 스커트
생지데님 플레어 롱 스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509944&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=Z293UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020011202.gif?1709021933,,56000,,0,데님진청,0,DRESS&SKIRT > 스커트
콘디 데님 롱 스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512597&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=Z2h3Ug%3D%3D,[예약발송15%]04.24(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020011912.gif?1744866848,39800,33900,15,0,네이비,0,DRESS&SKIRT > 스커트
스판찰랑 밴딩롱스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507171&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=bm58W1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020010562.gif?1681788448,,19000,,0,"그레이, 블랙",0,DRESS&SKIRT > 스커트
절개 쭈리밴딩스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=500509&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=bml7W1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020009042.gif?1613553500,,24800,,0,"그레이, 블랙",0,DRESS&SKIRT > 스커트
듀잇 플레어 펀칭 자수 롱 스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512414&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=bm58W1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020011862.gif?1742429274,,34800,,0,"아이보리,크림, 블랙",0,DRESS&SKIRT > 스커트
펠스 쉬폰 주름 밴딩 롱 스커트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512156&xcode=002&mcode=002&scode=&type=X&sort=manual&cur_code=002002&search=&GfDT=a2Z3WA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020020011742.gif?1736495758,,54000,,0,"아이보리,크림, 블랙",0,DRESS&SKIRT > 스커트
