상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
멜로퍼프 플레어원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503863&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=a2Z3UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010013782.gif?1647594370,,26800,,69,"그레이, 블랙",0,DRESS&SKIRT > 원피스
[made]엘로이즈 펀칭 뜨개 레이어드 나시 롱 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510841&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bmt5W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010016062.gif?1718012879,,29800,,6,베이지,0,DRESS&SKIRT > 원피스
쥬비드 아노락롱원피스(긴팔.ver),https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505032&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bW13Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010014422.gif?1661218792,,39800,,475,"베이지, 블랙",0,DRESS&SKIRT > 원피스
쥬비드 아노락롱원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504171&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bmx5W1g%3D,[오픈위크15%+당일발송]05.01(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010013902.gif?1715677150,39800,33900,15,733,블랙,0,DRESS&SKIRT > 원피스
컴폿 스트링 반팔 후드 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512571&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=aGh3VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010016352.jpg?1744364663,,34800,,0,"그레이, 블랙",0,DRESS&SKIRT > 원피스
[made]딜레마 숄더패드 스퀘어넥 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510397&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bmx6W1w%3D,[앵콜세일15%]05.01(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015782.gif?1713430407,39800,33900,15,72,"그레이, 블랙",0,DRESS&SKIRT > 원피스
엘로디 스트라이프 자수 오픈카라 니트 롱 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510853&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bm56W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010016082.gif?1718277742,,28000,,7,"아이보리,크림, 블랙",0,DRESS&SKIRT > 원피스
오브피얼 벨트set 셔츠 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510216&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bmp%2BW1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015672.gif?1711706776,,49800,,5,"연베이지, 카키",0,DRESS&SKIRT > 원피스
벨라비 루즈핏포켓데님원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508398&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=a2x3WQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015192.gif?1696923787,,42000,,5,데님진청,0,DRESS&SKIRT > 원피스
디모인 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501372&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bm5%2BW1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010012822.gif?1646632232,,39800,,139,"데님1, 블랙",0,DRESS&SKIRT > 원피스
