상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 드프 라운드 반팔 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62890&xcode=094&mcode=001&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=a2Z3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049883.gif?1744243721,,19800,,23,"rgb(255, 255, 255);, rgb(252, 199, 189);, rgb(195, 217, 232);, rgb(19, 26, 54);, rgb(0, 0, 0);",ETC
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=094&mcode=003&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=bmx9W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",ETC
[MADE] 치즈 H라인 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62886&xcode=094&mcode=004&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=bWh3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660020012363.gif?1743062596,,32500,,595,"rgb(247, 246, 242);, rgb(0, 0, 0);, rgb(157, 195, 204);",ETC
[MADE] 다우니 모달 7부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62758&xcode=094&mcode=001&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=Z213Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049713.gif?1742430595,,16800,,157,"rgb(255, 255, 255);, rgb(245, 240, 215);, rgb(206, 222, 193);, rgb(87, 75, 68);, rgb(89, 89, 89);, rgb(0, 0, 0);",ETC
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=094&mcode=003&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=bmp6W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",ETC
[MADE] THE웜 3부 속바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54797&xcode=094&mcode=007&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=bGl3UQ%3D%3D,브랜드와 비교해도 자신있는 발열원단 안입은듯 가볍지만 강력한 보온성으로 올겨울 히트텍 방황하지말고 조아맘에서! (M~XL / 2color),https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710020000213.gif?1670805195,12500,5000,60,193,"rgb(186, 176, 174);, rgb(0, 0, 0);",ETC
[MADE] 24시간 숨쉬는 브라런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=52499&xcode=094&mcode=007&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=a2l3UA%3D%3D,"아직도 불편함을 참고 계신가요?
이제 브라+나시 일체형으로 간편하게!
#노와이어 #무봉제 #올인원나시
(XS~XL / 2color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710040001043.gif?1672894916,27000,13500,50,68,"rgb(235, 210, 205);, rgb(0, 0, 0);",ETC
[MADE] 24시간 숨쉬는 Y커버 치마 속바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=51935&xcode=094&mcode=007&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=bW13Uw%3D%3D,"스커트&원피스 착용시 민망한 Y라인
이제 더이상 민망해 하지 마세요!
(M~XL / 2color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710010000313.gif?1672895703,21500,10700,50,162,"rgb(242, 237, 233);, rgb(0, 0, 0);",ETC
MJ™THE웜 U넥 티셔츠 JU04004,https://www.joamom.co.kr/shop/shopdetail.html?branduid=53240&xcode=094&mcode=007&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=Zmx3Ug%3D%3D,"브랜드와 비교해도 자신있는 발열원단 더웜을 입는것 = 니트한장을 더 입는것 올겨울 히트텍 방황하지말고 조아맘에서! (M,L,XL / 2color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010036123.gif?1574649837,18500,9200,50,180,"rgb(178, 169, 164);, rgb(0, 0, 0);",ETC
[MADE] 24시간 숨쉬는 팬티 2탄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=53037&xcode=094&mcode=007&scode=&type=Y&sort=manual&cur_code=094007&search=&GfDT=bm95W1g%3D,"지금까지 불편함을 참고 계셨다면
자극없이 숨쉬는 팬티로 바꿔보세요!
(S~L / 2color)",,12900,6400,50,183,"rgb(255, 238, 235);, rgb(0, 0, 0);",ETC
