상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
루나 카라 배색 7부 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62939&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=aWd3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028633.gif?1742741135,,27000,,13,"rgb(255, 255, 255);, rgb(194, 194, 194);, rgb(29, 36, 54);",KNIT
스프링 V넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62853&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=aW13UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028523.gif?1740719524,19800,17800,10,15,"rgb(247, 245, 230);, rgb(207, 199, 186);, rgb(39, 207, 140);, rgb(235, 185, 235);, rgb(30, 39, 84);, rgb(130, 130, 130);, rgb(0, 0, 0);",KNIT
시즌 7부 니트 (2Types 라운드넥/브이넥),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61660&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=bm1%2FW14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027603.gif?1711432607,,22800,,57,"rgb(255, 255, 255);, rgb(179, 80, 115);, rgb(212, 204, 197);, rgb(122, 107, 104);, rgb(255, 241, 171);, rgb(27, 34, 64);, rgb(0, 0, 0);",KNIT
[MADE] 라붐 후드 니트 (홀가먼트),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61736&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=bW13Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027683.gif?1745281284,53000,46700,12,27,"rgb(245, 245, 242);, rgb(247, 173, 199);, rgb(80, 172, 212);",KNIT
세라카라 크로쉐 니트 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61984&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=bm51W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670050010203.gif?1715106013,,32500,,35,"rgb(208, 199, 192);, rgb(155, 196, 166);, rgb(0, 0, 0);",KNIT
히든버튼 카라 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62212&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=bmp1W1w%3D,"높은 퀄리티를 자랑하는 탄탄한 조직감!
매끄러운 윤택감으로 고급스러운 니트
(3color) *크림베이지 5/7(수) 입고예정*",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027963.gif?1745321538,44000,41800,5,2,"rgb(240, 234, 213);, rgb(40, 49, 94);, rgb(0, 0, 0);",KNIT
린넨 루즈핏 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58495&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=bmt6W14%3D,"고슬고슬한 텍스처의 린넨 블렌딩 소재
다양하게 활용하기 좋은 아이템이라 추천 !
(5color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050023213.gif?1743987393,,32500,,14,"rgb(201, 140, 155);, rgb(255, 255, 255);, rgb(191, 186, 167);, rgb(158, 158, 158);, rgb(0, 0, 0);",KNIT
스트라이프 스퀘어넥 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58526&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=bm9%2FW18%3D,"고슬한 터치로 쾌적한 착용감
이너, 단독 두루두루 입기 좋아요
(4color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620030003463.gif?1743402267,,18000,,71,"rgb(204, 191, 157);, rgb(252, 252, 252);, rgb(0, 0, 0);, rgb(240, 242, 255);",KNIT
리던트 스퀘어넥 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58348&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=bmt7W1g%3D,"매년 아우터 이너로 활용도 1000%
다양한 컬러로 무조건 2장이상 추천
(6color)",,,17000,,145,"rgb(255, 255, 255);, rgb(240, 237, 233);, rgb(219, 214, 202);, rgb(107, 94, 88);, rgb(202, 218, 219);, rgb(0, 0, 0);",KNIT
마일드 소프트 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61932&xcode=049&mcode=004&scode=&type=Y&sort=manual&cur_code=049&search=&GfDT=amZ3VA%3D%3D,"휘뚜루 마뚜루 매일 즐기기 좋은 원마일 룩!
탱탱한 텐션감과 탄탄한 조직감의 소재
(3color)",,,24500,,33,"rgb(255, 255, 255);, rgb(0, 0, 0);",KNIT
