상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
클리엔 브이 퍼프 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512276&xcode=113&mcode=001&scode=&search=&GfDT=bmp1W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068632.gif?1739514280,,29800,,47,"아이보리,크림, 핑크, 소라, 블랙",0,KNIT/CARDIGAN > 니트
프랑트 스카시 보트넥 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512468&xcode=113&mcode=001&scode=&search=&GfDT=bmt7W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068752.gif?1742988613,,29800,,7,"아이보리,크림, 베이지, 블랙",0,KNIT/CARDIGAN > 니트
[made]멜리사 브이넥7부소매니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508212&xcode=113&mcode=001&scode=&search=&GfDT=bm15W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054212.gif?1709025998,,24000,,55,"베이지, 브라운, 그린, 다홍, 블랙",0,KNIT/CARDIGAN > 니트
윈투 니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504842&xcode=113&mcode=001&scode=&search=&GfDT=bmp4W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080001872.gif?1744802769,,29800,,234,"진한크림, 브라운, 카키, 네이비",0,KNIT/CARDIGAN > 니트
[made]윌셔 비스코스 브이넥 니트나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510471&xcode=113&mcode=001&scode=&search=&GfDT=aWd3VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054402.gif?1716539625,,18900,,21,"오렌지, 머스타드,골드, 브라운, 블랙",0,KNIT/CARDIGAN > 니트
시어부클 투웨이 후드 니트 집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512550&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=aG53UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068812.gif?1744194987,,24800,,1,"아이보리,크림, 코코아, 블랙",0,KNIT/CARDIGAN > 니트
루크 라운드 시스루 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512614&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmp8W1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068872.gif?1744983409,54800,29800,46,0,"아이보리,크림, 연카키, 브라운, 블랙",0,KNIT/CARDIGAN > 니트
오하이 보우트넥 루즈핏 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512360&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=am13Vg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068702.jpg?1741866522,,29800,,27,"아이보리,크림, 핑크, 옐로우, 블루",0,KNIT/CARDIGAN > 니트
비스코스 린넨 브이 니트 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512581&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bm18W1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021072.gif?1744710908,,24000,,0,"연베이지, 베이지, 브라운, 연카키, 네이비, 블랙",0,KNIT/CARDIGAN > 니트
앤도르 뒷단추 라운드 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512594&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmZ3WA%3D%3D,[오픈위크15%+당일발송]04.24(목)까지,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068852.gif?1744933347,24000,20400,15,2,"아이보리,크림, 블랙",0,KNIT/CARDIGAN > 니트
히노펠리 캐시 골지니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509857&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmp6W11E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067422.gif?1708416319,,19800,,10,"베이지, 옐로우, 딥핑크, 블랙",0,KNIT/CARDIGAN > 니트
쿨르 비스코스 스카프 니트 나시 세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512612&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmx3UF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068862.gif?1744971197,52800,24000,55,0,"아이보리,크림, 옐로우, 블랙",0,KNIT/CARDIGAN > 니트
[1+1]울 헤라시 비스코스 스판 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512271&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=a293UF4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068622.gif?1741140677,,39800,,29,"아이보리,크림, 베이지, 옐로우, 인디핑크, 블루, 그레이, 연두, 데님진청, 브라운, 블랙",0,KNIT/CARDIGAN > 니트
[2종택1]아든 베이직 반팔니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510290&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bG53UF8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010053982.gif?1712321546,,19800,,2,"아이보리,크림, 옐로우, 연두, 네이비, 레드, 블랙",0,KNIT/CARDIGAN > 니트
라비엔드 니트 뷔스티에 탑 SET,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512478&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmt9W11A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068762.gif?1743066603,,34000,,1,"아이보리,크림, 블루, 네이비, 그레이",0,KNIT/CARDIGAN > 니트
모던 버튼 카라 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512569&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bGd3UFk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068832.gif?1744776099,,24800,,0,"핑크, 아이보리,크림, 그레이, 블랙",0,KNIT/CARDIGAN > 니트
페리콧 크로쉐 뜨개 롱 니트나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512487&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bm97W11C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021032.gif?1743419576,,24000,,1,"아이보리,크림, 그린",0,KNIT/CARDIGAN > 니트
아우스 라인 슬리브리스 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512625&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bWd3UFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021082.gif?1745224926,45800,24000,48,1,"그레이, 블랙",0,KNIT/CARDIGAN > 니트
세터 버튼 뷔스티에 SET 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512460&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=a253UFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068732.gif?1742889290,,29800,,5,"레드, 네이비, 블랙",0,KNIT/CARDIGAN > 니트
바니시 레이스 레이어드 비스코스 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512353&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bWd3UFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068682.jpg?1741848826,,27000,,6,"아이보리,크림, 그레이, 블랙",0,KNIT/CARDIGAN > 니트
[2종택]소프티 울 텐셀 7부 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509767&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bml%2FW15E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054022.gif?1706517432,,28000,,9,"아이보리,크림, 베이지, 옐로우, 인디핑크, 블랙",0,KNIT/CARDIGAN > 니트
아베니 무지 니트 후드집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511778&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmt0W15F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012202.gif?1730949576,,38000,,31,"그레이, 진한크림",0,KNIT/CARDIGAN > 니트
[made]웰메이드 베이직 꽈배기니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508227&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bml9W15G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054372.gif?1729072743,,19800,,218,"화이트, 연베이지, 그레이, 코코아, 블랙",0,KNIT/CARDIGAN > 니트
노마드 울 퍼프 하프 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512592&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=aml3U18%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068842.jpg?1744794765,,39800,,0,"아이보리,크림, 연두",0,KNIT/CARDIGAN > 니트
티에모 비스코스 딥 브이넥 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512157&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmt7W15A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068592.gif?1736929405,,24800,,8,"아이보리,크림, 핑크, 데님연청2, 옐로우, 레드, 블랙",0,KNIT/CARDIGAN > 니트
머즈 라운드넥 린넨 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510319&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=Zmh3U1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010058382.gif?1712661031,,24800,,4,"연베이지, 인디핑크, 소라, 카키, 블랙",0,KNIT/CARDIGAN > 니트
[SET15%]프랑트 스카시 보트넥 니트+에트몬 와이드 밴딩 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509886&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=aG53U1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068792.gif?1744008255,63800,54300,15,1,,0,KNIT/CARDIGAN > 니트
우노 스트라이프니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=499184&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmV%2FVg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054892.gif?1706145175,,22800,,561,"베이지, 핑크, 블루, 블랙",0,KNIT/CARDIGAN > 니트
펠런 단가라 니트 베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512603&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmp%2FW15M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080002342.jpg?1744881588,33000,28100,15,0,"아이보리,크림, 네이비, 그레이",0,KNIT/CARDIGAN > 니트
우에아 뷔스티에 니트 세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512454&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=Zm13U1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068742.gif?1742896830,,29800,,2,"그레이, 데님연청, 네이비",0,KNIT/CARDIGAN > 니트
피엔 컷 아웃 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512339&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=aW13Ulw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068662.gif?1741080281,,24000,,2,"아이보리,크림, 핑크, 소라, 블랙",0,KNIT/CARDIGAN > 니트
베이빌 레이스 레이어드 니트 가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512263&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmx4W19F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012452.gif?1740540909,,29800,,21,"아이보리,크림, 그레이, 블랙",0,KNIT/CARDIGAN > 니트
프린즈 단가라 보트넥 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511669&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bml5W19G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068012.gif?1730280381,,32800,,18,"아이보리,크림, 와인, 네이비",0,KNIT/CARDIGAN > 니트
컬러링 보카시 울 니트 베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511287&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bmh9W19H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080001982.gif?1725011110,,22000,,11,,0,KNIT/CARDIGAN > 니트
[1+1][made]웰메이드 베이직 꽈배기니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510965&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=Zmp3Ulg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068052.gif?1730287536,39600,35700,10,231,,0,KNIT/CARDIGAN > 니트
노스로드 텐셀 후드니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510331&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bG13Ulk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010055402.gif?1712829533,38000,19800,48,4,"아이보리,크림, 연카키, 블랙",0,KNIT/CARDIGAN > 니트
파스텔웨어 브이넥니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508389&xcode=113&mcode=001&scode=&type=Y&sort=manual&cur_code=113001&search=&GfDT=bGx3Ulo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010066002.gif?1696926446,32800,23000,30,5,"데님1, 핑크",0,KNIT/CARDIGAN > 니트
