상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
알로인 반목 투웨이 니트집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512270&xcode=113&mcode=004&scode=&search=&GfDT=Zmd3UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012472.gif?1739492174,,36000,,9,"아이보리,크림, 그레이, 블랙",0,KNIT/CARDIGAN > 집업
미엘라 하이넥 니트집업&팬츠 세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511781&xcode=113&mcode=004&scode=&search=&GfDT=aGZ3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026632.gif?1730963835,,74800,,0,"아이보리,크림, 베이지, 블랙",0,KNIT/CARDIGAN > 집업
아베니 무지 니트 후드집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511778&xcode=113&mcode=004&scode=&search=&GfDT=bmp1W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012202.gif?1730949576,,38000,,31,"그레이, 진한크림",0,KNIT/CARDIGAN > 집업
레글런 하이넥 골지니트 집업 가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511731&xcode=113&mcode=004&scode=&search=&GfDT=bmx0W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026512.gif?1730358832,,69800,,7,"베이지, 블랙",0,KNIT/CARDIGAN > 집업
포운 레터링 니트집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508395&xcode=113&mcode=004&scode=&search=&GfDT=a213VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025902.gif?1696922811,38000,19000,50,6,"아이보리,크림, 그레이",0,KNIT/CARDIGAN > 집업
[SET15%]코스에그 자수 투웨이 니트집업 가디건+벤니 캣브러쉬 부츠컷 데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511877&xcode=113&mcode=004&scode=&type=Y&sort=manual&cur_code=113004&search=&GfDT=aGp3UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026812.gif?1732247883,84600,72000,15,16,,0,KNIT/CARDIGAN > 집업
[made]베이데이 후드집업니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508083&xcode=113&mcode=004&scode=&type=Y&sort=manual&cur_code=113004&search=&GfDT=bmp7W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025112.gif?1703810242,,29800,,129,"옐로우, 베이지, 그레이, 블랙",0,KNIT/CARDIGAN > 집업
리틀미 반하이넥골지니트집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508318&xcode=113&mcode=004&scode=&type=Y&sort=manual&cur_code=113004&search=&GfDT=amt3Vg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025382.gif?1697414339,,29800,,106,"아이보리,크림, 그레이, 블랙",0,KNIT/CARDIGAN > 집업
하르코 투웨이자수니트집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506491&xcode=113&mcode=004&scode=&type=Y&sort=manual&cur_code=113004&search=&GfDT=bmp3WQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025962.gif?1674115775,,41800,,15,"아이보리,크림, 연그레이, 블랙",0,KNIT/CARDIGAN > 집업
타브스 집업니트가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=500674&xcode=113&mcode=004&scode=&type=Y&sort=manual&cur_code=113004&search=&GfDT=bmx%2FW1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025772.gif?1614761414,,39800,,415,"아이보리,크림, 그레이, 네이비",0,KNIT/CARDIGAN > 집업
마르텔 세미크롭 후드집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512431&xcode=113&mcode=004&scode=&type=Y&sort=manual&cur_code=113004&search=&GfDT=bml5W11E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027222.gif?1742554846,,,,0,"아이보리,크림, 그레이",0,KNIT/CARDIGAN > 집업
오딘 단가라 덕다운 니트집업 패딩,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512019&xcode=113&mcode=004&scode=&type=Y&sort=manual&cur_code=113004&search=&GfDT=amh3UF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026962.gif?1734081676,,,,0,"아이보리,크림, 블랙",0,KNIT/CARDIGAN > 집업
