상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 드프 라운드 반팔 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62890&xcode=094&mcode=001&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=bm96W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049883.gif?1744243721,,19800,,23,"rgb(255, 255, 255);, rgb(252, 199, 189);, rgb(195, 217, 232);, rgb(19, 26, 54);, rgb(0, 0, 0);",MADE
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=094&mcode=003&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=bm94W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",MADE
[MADE] 치즈 H라인 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62886&xcode=094&mcode=004&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=bm18W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660020012363.gif?1743062596,,32500,,595,"rgb(247, 246, 242);, rgb(0, 0, 0);, rgb(157, 195, 204);",MADE
[MADE] 다우니 모달 7부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62758&xcode=094&mcode=001&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=a2V%2B,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049713.gif?1742430595,,16800,,157,"rgb(255, 255, 255);, rgb(245, 240, 215);, rgb(206, 222, 193);, rgb(87, 75, 68);, rgb(89, 89, 89);, rgb(0, 0, 0);",MADE
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=094&mcode=003&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=bmh8W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",MADE
[MADE] 마마무 플레어 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62888&xcode=094&mcode=006&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=bmt4W1w%3D,"""슬럽사"" 특유 데님 소재로 여름끝까지~
옆라인 삼각절개로 날씬해 보이는 플레어핏!
(2color / S~XXL)",,48000,42300,12,0,"rgb(155, 186, 201);, rgb(32, 48, 89);",MADE
[MADE] 케이프 텐셀 후드 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61930&xcode=094&mcode=002&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=bWZ3UA%3D%3D,"얇은 텐셀 소재로 루즈하게 제작해 넘나 시원!
S/S 시즌 긴팔 셔츠로 적극 추천♡
(3color)",,39500,34800,12,56,"rgb(245, 240, 223);, rgb(92, 78, 64);, rgb(235, 176, 196);",MADE
[MADE] 마농마고 슬라브 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61844&xcode=094&mcode=001&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=bGZ3Uw%3D%3D,"가볍고 편안한 모달과 코튼 혼방과
자수포인트로 활용도 높은 데일리웨어
(5color) *4/30(수) 순차발송",,,18500,,205,"rgb(0, 0, 0);, rgb(255, 255, 255);, rgb(242, 199, 216);, rgb(117, 95, 75);, rgb(186, 186, 186);",MADE
[MADE] 라붐 후드 니트 (홀가먼트),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61736&xcode=094&mcode=001&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=bmh9W1g%3D,"코튼100% 소재로 산뜻한 착용감을 가진
홀가먼트 디테일의 자연스러운 아웃핏 니트♡
(3color) *내츄럴 4/30 순차발송",,53000,46700,12,27,"rgb(245, 245, 242);, rgb(247, 173, 199);, rgb(80, 172, 212);",MADE
[MADE] 버넷 윈드 야상 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61886&xcode=094&mcode=005&scode=&type=Y&sort=manual&cur_code=094&search=&GfDT=bm18W1k%3D,"쾌적하고 산뜻한 여름 바람막이 소재♡
프리미엄 사파리 야상 자켓!
(2color)",,,57000,,10,"rgb(235, 226, 216);, rgb(159, 162, 155);",MADE
