상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bGV9,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",MADFIT
[MADE] 에브리 세미와이드 데님 (ver2),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62841&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=Zmp3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006553.gif?1743560252,46000,41400,10,195,"rgb(161, 189, 209);, rgb(67, 98, 138);",MADFIT
[MADE] 치즈 시크릿 세미부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62711&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmt7W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650040001703.gif?1744350593,39500,35600,10,131,"rgb(235, 232, 228);, rgb(20, 20, 20);",MADFIT
[MADE] 치즈 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62710&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bm97W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006493.gif?1745398636,34500,31100,10,2,"rgb(223, 237, 221);, rgb(245, 244, 240);, rgb(0, 0, 0);",MADFIT
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmx7W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",MADFIT
[MADE] 마마무 플레어 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62888&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmt6W1w%3D,"""슬럽사"" 특유 데님 소재로 여름끝까지~
옆라인 삼각절개로 날씬해 보이는 플레어핏!
(2color / S~XXL)",,48000,42300,12,0,"rgb(155, 186, 201);, rgb(32, 48, 89);",MADFIT
[MADE] 릴리 워싱 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62921&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bWx3Uw%3D%3D,"다리가 곧고 길~어보이는 롱스트레이트핏
드라이한 촉감과 가벼운 두께감으로 지금부터 쭈욱-
(4color / S~XXL)",,42000,37800,10,25,"rgb(255, 255, 255);, rgb(255, 217, 239);, rgb(212, 212, 205);, rgb(0, 0, 0);",MADFIT
[MADE] 마농 큐롯 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62889&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmx1W18%3D,"탄탄함이 느껴지는 코튼 100% 트윌 원단
A라인의 와이드한 실루엣으로 하체 군살커버에 완벽
(3color / S~XL)",,45000,40500,10,6,"rgb(255, 255, 255);, rgb(237, 196, 121);, rgb(0, 0, 0);",MADFIT
[MADE] 엘비스 와이드 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62834&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=amV5,"밑단 배색이 들어가 스타일리쉬하게 뽐내기 좋은 데님
레트로한 감성에 와이드핏으로 트렌디함 믹스매치!
(S~XL)",,49000,44100,10,9,"rgb(56, 61, 97);",MADFIT
[MADE] 헤이데이 일자핏 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62757&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bm98W1k%3D,"맑고 청량한 봄 블루 컬러로 돌아온 전성기 데님 팬츠!
복원력,내구성 좋은 프리미엄 듀얼 플렉스 소재 사용
(S~XXL / 기본,롱)",,46500,41900,10,169,"rgb(73, 119, 171);",MADFIT
