상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
트렉커 크롭 데님 자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512456&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=bmx4W1w%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010019332.jpg?1742886173,,39800,,2,"스카이, 블루",0,OUTER > 자켓
키릿 후드 데님 자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509749&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=Z2x3UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010018202.gif?1706086740,,45000,,9,"데님1, 블랙",0,OUTER > 자켓
[셋트15%] 마튼 린넨 카라 자켓 핀턱 와이드 팬츠 세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512628&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=Zm93Uw%3D%3D,[3일간15%]04.24(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010019482.gif?1745297489,,91700,15,0,그레이,0,OUTER > 자켓
데일렌 루즈핏 셔츠자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512510&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=aGx3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010019402.gif?1743582968,,39800,,0,"아이보리,크림",0,OUTER > 자켓
무이카 스트링 사파리 점퍼자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512409&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=aGp3VQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010019292.jpg?1742287716,,89000,,0,"아이보리,크림, 베이지, 블랙",0,OUTER > 자켓
마튼 린넨 카라 자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512627&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=bGl3UA%3D%3D,[3일간15%]04.24(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010019472.gif?1745307283,,49300,15,0,그레이,0,OUTER > 자켓
바이쿠론 자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501336&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=Zmt3VQ%3D%3D,샤르르하게 떨어지는 가볍고 시원한 자켓~,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010015302.gif?1619580910,,41800,,68,"베이지, 네이비",0,OUTER > 자켓
오세르 스트라이프 린넨자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510455&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=Z2p3VA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010018602.gif?1713775867,,89000,,7,"베이지, 네이비",0,OUTER > 자켓
[made]트렌디무드 사선소매루즈핏자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509755&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=bml0W1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010018212.gif?1710492881,,59800,,20,"베이지, 블랙",0,OUTER > 자켓
스토브 볼륨 코튼 봄버 자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512462&xcode=010&mcode=001&scode=&type=X&sort=manual&cur_code=010001&search=&GfDT=bm9%2BW1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010019342.gif?1742892522,,69800,,1,"아이보리,크림",0,OUTER > 자켓
