상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
[made]더블지퍼 하이넥바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508092&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmp4W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020023652.gif?1739409108,45000,39800,12,1,"베이지, 카키, 블랙",0,OUTER > 점퍼/집업
코하인 에그패치 스트링 윈드 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512606&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bWZ3Uw%3D%3D,[7일간15%]04.29(화)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027272.gif?1744962978,,33900,15,0,"화이트, 레드",0,OUTER > 점퍼/집업
[made]트레일 후드 바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509997&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bG53Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024812.gif?1709640311,,29800,,19,"아이보리,크림, 블랙",0,OUTER > 점퍼/집업
하잉클 바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503734&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=a2h3VQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020022282.gif?1646355755,,19800,,158,"아이보리,크림, 카키, 블랙",0,OUTER > 점퍼/집업
위니크 반집업 배색 바람막이 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512616&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bW93VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027282.gif?1744969757,45800,19900,57,0,"베이지, 블루",0,OUTER > 점퍼/집업
빈틴 후드 청자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512637&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bW13UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027302.gif?1745400262,39800,37900,5,0,블루,0,OUTER > 점퍼/집업
브래킹 후드 바람막이 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512516&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmp1W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027252.gif?1744106237,,19800,,5,블랙,0,OUTER > 점퍼/집업
우론 넥셔링 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509852&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bGp3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024722.gif?1737083132,70800,39800,44,43,"베이지, 블랙",0,OUTER > 점퍼/집업
(타임특가 20%)윈드트레일 후드 바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511347&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=a2x3VQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026212.gif?1743674073,59800,47900,20,77,"진베이지, 브라운, 블랙",0,OUTER > 점퍼/집업
[SET10%][made]더블지퍼 하이넥바람막이점퍼+올리버 핀턱배기밴딩팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508310&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=a253WA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026472.gif?1730272240,73800,66500,10,2,"베이지, 카키, 블랙",0,OUTER > 점퍼/집업
코레지 노카라 라운드 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512492&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmp%2BW11E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027242.gif?1743394732,,49800,,2,"아이보리,크림, 옐로우",0,OUTER > 점퍼/집업
바롬 오버핏후드베스트집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503587&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bGx3UF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020022222.gif?1662626965,,34000,,218,"진한크림, 그레이, 블랙",0,OUTER > 점퍼/집업
[made]언리미티드 바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510172&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=Z2p3UF4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024872.gif?1711441326,,29800,,12,"핑크, 블랙",0,OUTER > 점퍼/집업
크레킹 사선지퍼 스트링 후드 바람막이 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512381&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=aGd3UF8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027202.gif?1741854072,,34000,,3,"아이보리,크림, 베이지, 블랙",0,OUTER > 점퍼/집업
벨크로 와펜 하프 후드 바람막이 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512199&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bG13UFg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027142.gif?1737616268,,89000,,9,"화이트, 블랙",0,OUTER > 점퍼/집업
[made]프레스드 우븐 후드 바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510329&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm16W11B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024952.gif?1712827960,,49800,,14,"베이지, 연카키, 블랙",0,OUTER > 점퍼/집업
프리스 숏바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502272&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bml9W11C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020021412.gif?1629709499,,24800,,22,"화이트, 블랙",0,OUTER > 점퍼/집업
[SET15%]코스에그 자수 투웨이 니트집업 가디건+벤니 캣브러쉬 부츠컷 데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511877&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm57W11D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026812.gif?1732247883,84600,72000,15,16,,0,OUTER > 점퍼/집업
에어쉴드 하이넥 후드 야상점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511335&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=aW53UFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026172.gif?1727163537,,59800,,23,"베이지, 브라운, 블랙",0,OUTER > 점퍼/집업
