상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 포슈 아플리케 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61783&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=aWp3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020008923.gif?1744616879,,67000,,127,"rgb(252, 252, 245);, rgb(0, 0, 0);",OUTER
아방핏 반하이넥 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62976&xcode=067&mcode=003&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=bm5%2BW10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670030009093.gif?1744699360,,29500,,8,"rgb(255, 255, 255);, rgb(186, 171, 143);, rgb(0, 0, 0);",OUTER
맥 스트링 하프 야상 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62952&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=bml0W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670010013213.gif?1743726086,38000,34200,10,14,"rgb(212, 201, 176);, rgb(193, 210, 217);, rgb(186, 186, 182);, rgb(0, 0, 0);",OUTER
마카롱 루즈핏 코튼 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62950&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=Z2h3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020009483.gif?1744103194,,29500,,3,"rgb(255, 255, 255);, rgb(255, 235, 138);, rgb(179, 210, 245);, rgb(255, 173, 211);",OUTER
헨리넥 소프트 레더자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62880&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=bmt4W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020009393.gif?1742186676,,59500,,10,"rgb(250, 246, 237);, rgb(219, 207, 145);, rgb(0, 0, 0);",OUTER
튜즈데이 하프넥 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63007&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=Z2x3UQ%3D%3D,"[기획특가]시원함 절로 느껴지는 바스락템!
바람막이용으로 휴대하기에도 좋은 가벼움
(2color)",,42000,29400,30,0,"rgb(199, 187, 165);, rgb(0, 0, 0);",OUTER
엘린 소매 롤업 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63006&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=bmt6W10%3D,"바스락한 터칭감에 가벼워 안입은 듯 멋스러운
오버핏에 소매 롤업으로 지금부터 쭈욱 활용
(2color)",,,55000,,0,"rgb(255, 255, 255);, rgb(104, 107, 90);",OUTER
모리든 밴딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56240&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=am53Uw%3D%3D,"가벼운 바람막이 장만하세요!
매시즌 꼭 필요한 아이템
(5color)",,,34500,,508,"rgb(247, 247, 247);, rgb(26, 26, 59);, rgb(0, 0, 0);, rgb(209, 201, 188);, rgb(165, 193, 199);",OUTER
마쥬 오픈 가디건 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62966&xcode=067&mcode=005&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=bW13Ug%3D%3D,"무심하게 툭, 별다른 스타일링 없이도 고급스러움을-
탄탄한 짜임으로 가디건 자켓으로 추천해요
(2color)",,,31000,,0,"rgb(245, 238, 220);, rgb(41, 43, 61);",OUTER
[MADE] 르마레 트위드 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61588&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067&search=&GfDT=amx3Vw%3D%3D,"고급스럽고 페미닌한 무드의 브이넥 자켓,
이런 자켓 하나면 일주일 코디 걱정 끝♡
(2color / 1,2)",,,79000,,27,"rgb(0, 0, 0);, rgb(252, 251, 245);",OUTER
