상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
[슬랙스1위]데일리세미핏 밴딩슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=499258&xcode=049&mcode=005&scode=&search=&GfDT=bm19W10%3D,시크폭스 스테디셀러!★기장 선택 가능!키작녀★,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001522.gif?1737025178,,29800,,7,"베이지, 네이비, 블랙",0,PANTS > 반바지
잇츠더쿨 부츠컷슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501161&xcode=049&mcode=005&scode=&search=&GfDT=a2t3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060003552.gif?1691712464,,29800,,3,"네이비, 블랙",0,PANTS > 반바지
완벽한 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=490352&xcode=049&mcode=005&scode=&search=&GfDT=bWt3Ug%3D%3D,"고객요청★기장 선택★
어떤 체형이라도 완벽한 여우핏",https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060000802.gif?1704858835,,24800,,5,"연베이지, 네이비, 블랙",0,PANTS > 반바지
포웬 핀턱 스판 와이드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512624&xcode=049&mcode=005&scode=&search=&GfDT=bG93VQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006442.gif?1745224291,93800,45000,52,0,"베이지, 블랙",0,PANTS > 반바지
모어프레쉬 롱부츠컷슬랙스(여름ver.),https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504402&xcode=049&mcode=005&scode=&search=&GfDT=bm5%2BW1k%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060000172.gif?1653956127,,39800,,432,"베이지, 네이비",0,PANTS > 반바지
[셋트15%] 마튼 린넨 카라 자켓 핀턱 와이드 팬츠 세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512628&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bmp9W1w%3D,[3일간15%]04.24(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100010019482.gif?1745297489,,91700,15,0,그레이,0,PANTS > 반바지
그레이프 린넨 핀턱 와이드 팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512626&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aGx3UA%3D%3D,[3일간15%]04.24(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006452.gif?1745289887,,42400,15,0,그레이,0,PANTS > 반바지
[3종택1]캐주얼데이 다이어트밴딩 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510468&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aWd3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005942.gif?1739752721,,39800,,830,"베이지, 네이비, 블랙",0,PANTS > 반바지
프리미엄 순수 핀턱와이드슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507077&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bml%2BW1g%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001052.gif?1694564023,,29800,,209,"아이보리,크림, 핑크, 민트, 소라, 카멜, 블랙",0,PANTS > 반바지
메이듀 밴딩핀턱와이드팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506494&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bmh9W1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060004812.gif?1739169351,,45000,,330,"베이지, 블랙",0,PANTS > 반바지
투어스 라이크 데님 와이드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512327&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aW13WA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006322.gif?1740725572,,49800,,28,데님진청,0,PANTS > 반바지
데일리슬림핏 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=492878&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aGx3UFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001162.gif?1704859407,,24500,,821,"브라운, 네이비, 블랙",0,PANTS > 반바지
(짧은기장Ver.추가)쫀득쫀쫀 커버밴딩 와이드슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509705&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bmp3UF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005552.gif?1722238703,93800,49800,47,175,블랙,0,PANTS > 반바지
쫀득쫀쫀 리얼핏 부츠컷슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509679&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=amx3UF8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005542.gif?1739170416,,45000,,234,블랙,0,PANTS > 반바지
멜리브노 핀턱 와이드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512432&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm95W11A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006382.jpg?1744191464,,29800,,1,"화이트, 블랙",0,PANTS > 반바지
포트넘 원핀턱와이드슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507047&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=Z293UFk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001042.gif?1681085257,,49800,,24,"아이보리,크림, 베이지, 핑크, 네이비",0,PANTS > 반바지
펜트인 벨트핀턱와이드슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=500768&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=a2t3UFo%3D,"짧은,기본기장 2type",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001252.gif?1616719671,37800,11400,70,26,"아이보리,크림, 네이비",0,PANTS > 반바지
컴팩트 스판 부츠컷 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512448&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm5%2BW11D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006392.jpg?1742869757,,39800,,1,"베이지, 핑크, 소라, 네이비, 블랙",0,PANTS > 반바지
메크르 비조 핀턱 와이드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511430&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aW13UFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006122.gif?1727418871,,49800,,11,챠콜,0,PANTS > 반바지
[1+1]솔리드핀턱 와이드슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508010&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bmV8WA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005122.gif?1692609613,64800,29800,54,12,"아이보리,크림, 블랙",0,PANTS > 반바지
모어클래식 버클와이드슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505168&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=Zmx3U1w%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880040000512.gif?1662598067,36000,10800,70,17,"블랙, 베이지",0,PANTS > 반바지
롱레그 앞트임부츠컷슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503528&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm10W15F,"짧은, 기본 기장 선택 가능~!!",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001292.gif?1684919188,29800,9800,67,528,"아이보리,크림, 블랙",0,PANTS > 반바지
너스티 링클프리 투버튼 와이드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512558&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bml0W15G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006422.gif?1744589295,,39800,,0,"연베이지, 블랙",0,PANTS > 반바지
쇼에나 커브드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512501&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm1%2FW15H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006402.jpg?1743415360,,49800,,0,챠콜,0,PANTS > 반바지
쇼이지 랩 스커트 와이드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512383&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm99W15A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006352.gif?1742985120,,39800,,2,"베이지, 챠콜",0,PANTS > 반바지
하이퍼 쿨링 스판 부츠컷 쿨랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511067&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bmt0W15B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005992.gif?1721785858,,39800,,10,블랙,0,PANTS > 반바지
코벤트 핀턱 4부 린넨 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510959&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm93U1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030050019692.gif?1719401098,,29800,,12,"베이지, 블랙",0,PANTS > 반바지
슬릭 테일러드 부츠컷 트임 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510713&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bGd3U1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005932.gif?1716433504,,39800,,7,"아이보리,크림, 네이비, 블랙",0,PANTS > 반바지
쿨렉서블 투버튼 부츠컷 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510601&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm94W15M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030130007412.gif?1715162123,,49800,,4,"진한크림, 블랙",0,PANTS > 반바지
우이 오비배색 와이드 밴딩슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510460&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aWx3U1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880040000912.gif?1713861236,,39800,,17,"그레이, 블랙",0,PANTS > 반바지
벨르 히든밴딩 부츠컷 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510252&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aW13Ulw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005792.gif?1712134443,,32800,,0,"아이보리,크림, 챠콜, 블랙",0,PANTS > 반바지
코메르 세미와이드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510129&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=Z213Ul0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005752.gif?1711360878,,49800,,5,"베이지, 챠콜",0,PANTS > 반바지
비버리힐스 롤업 배기 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510092&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=Z2Z3Ul4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005742.gif?1710806972,,34000,,17,"연베이지, 블랙",0,PANTS > 반바지
쫀득쫀쫀 칼배기핏 9부 치노슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509938&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=Z213Ul8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005712.gif?1709039002,,45000,,4,블랙,0,PANTS > 반바지
매트빈 핀턱와이드슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509736&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm56W19A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005562.gif?1739154960,,54000,,7,"베이지, 네이비, 챠콜",0,PANTS > 반바지
블린즈 세미와이드밴딩슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508471&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aGZ3Ulk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060005172.gif?1697446156,,33000,,0,"베이지, 블랙",0,PANTS > 반바지
탬플 밴딩와이드슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508081&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aGx3Ulo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001542.gif?1709201483,,29800,,51,"베이지, 네이비",0,PANTS > 반바지
[당일발송] 코지심플 일자핏슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507106&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bWx3Uls%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001062.gif?1681690273,,29800,,13,"아이보리,크림, 블랙",0,PANTS > 반바지
소장가치 일자슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498684&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bWd3UlQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001342.gif?1615169124,29800,6000,80,128,"베이지, 핑크, 블랙",0,PANTS > 반바지
롱다리 트임부츠컷슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=496034&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aGh3UlU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001202.gif?1607673920,39800,8000,80,35,"브라운, 챠콜",0,PANTS > 반바지
[여우슬랙스18탄]롱롱하이 부츠컷슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=494240&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=Z2p3VVw%3D,★기장 선택 가능!키작녀★하이웨스트 라인으로 허리라인을 슬림하게,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880060001172.gif?1645662916,,39800,,588,"베이지, 블랙, 옐로우, 민트",0,PANTS > 반바지
브렛 스트랩 핀턱 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512565&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm9%2FW1hF,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006432.gif?1744363419,,39800,,0,,0,PANTS > 반바지
세이티 투 핀턱 와이드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512416&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=Zm13VV4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006372.gif?1742516941,,46800,,0,"연그레이, 베이지, 챠콜, 블랙",0,PANTS > 반바지
세르틴 투핀턱 와이드 슬랙스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512411&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=Zm93VV8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030060006362.gif?1742374233,,65000,,0,"베이지, 챠콜, 블랙",0,PANTS > 반바지
