상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
엑티비티 파라슈트 와이드 밴딩팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512377&xcode=049&mcode=007&scode=&search=&GfDT=bmt7W10%3D,[앵콜세일15%]04.24(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020011962.gif?1741860128,45000,38300,15,1,"블랙, 화이트",0,PANTS > 와이드팬츠
나팅 레터링트레이닝세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503984&xcode=049&mcode=007&scode=&search=&GfDT=bmh%2FW14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020010192.gif?1649120685,,39800,,631,"연그레이, 네이비",0,PANTS > 와이드팬츠
[짧은기장추가]릴랙스 탄탄코튼 오버핏 트레이닝 팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511278&xcode=049&mcode=007&scode=&search=&GfDT=bWp3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020011762.gif?1735880977,,54000,,30,"아이보리,크림, 블랙",0,PANTS > 와이드팬츠
비스티 자수 와이드 트레이닝팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511258&xcode=049&mcode=007&scode=&search=&GfDT=bWV5,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020011752.gif?1740447871,,29800,,51,,0,PANTS > 와이드팬츠
소도르 포켓 시보리밴딩 조거팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510035&xcode=049&mcode=007&scode=&search=&GfDT=bmV4,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020011702.gif?1710128937,,32800,,19,"카키, 블랙",0,PANTS > 와이드팬츠
하루종일 체크홈웨어팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501085&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bmp4W1w%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020009432.gif?1617698078,,14900,,79,"머스타드,골드, 브라운, 블랙",0,PANTS > 와이드팬츠
[2종택1]힙컬러 트레이닝밴딩팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506502&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bWV4,[기장선택]조거&와이드,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020011152.gif?1674199348,,18900,,127,"화이트, 핑크, 그린, 그레이, 블랙",0,PANTS > 와이드팬츠
몬테로 후드조끼트레이닝세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506639&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bWZ3Vg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010040032562.gif?1675853200,,45800,,4,"아이보리,크림, 그레이, 블랙",0,PANTS > 와이드팬츠
펌킹 코튼 핀턱 밴딩 팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512568&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bWZ3WQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020012002.jpg?1744680926,,39800,,1,"그레이, 블랙",0,PANTS > 와이드팬츠
[SET 20%할인]코스에그 자수 투웨이 니트집업 가디건 + 릴랙스 탄탄코튼 오버핏 트레이닝 팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511531&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=ZmV0,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030011982.gif?1728902755,83800,67100,20,1,,0,PANTS > 와이드팬츠
