상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
커브드 뒷밴딩 나일론 스트레이트 팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512602&xcode=049&mcode=002&scode=&search=&GfDT=bmt0W10%3D,[예약발송15%]04.24(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030110006732.jpg?1744935584,34000,28900,15,2,"화이트, 네이비",0,PANTS > 트레이닝/레깅스
히엘 일자데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506676&xcode=049&mcode=002&scode=&search=&GfDT=bmh%2FW14%3D,"""따끈이 기모일자데님팬츠""사계절 버전",https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030110005742.gif?1676356075,,34000,,186,스카이,0,PANTS > 트레이닝/레깅스
포테 8부일자데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503978&xcode=049&mcode=002&scode=&search=&GfDT=bmp%2FW18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030110004902.gif?1649060510,,39000,,58,데님3,0,PANTS > 트레이닝/레깅스
(라인보정ver)뉴웨이 논페이드투버튼일자데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508349&xcode=049&mcode=002&scode=&search=&GfDT=bmp7W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880020000742.gif?1704856419,,39800,,41,"데님진청, 블랙",0,PANTS > 트레이닝/레깅스
플로아 투버튼스키니팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=500323&xcode=049&mcode=002&scode=&search=&GfDT=bm17W1k%3D,"[빅사이즈] S,M,L,XL,2XL 사이즈",https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030010027932.gif?1611716389,,33800,,71,"아이보리,크림, 블랙",0,PANTS > 트레이닝/레깅스
[고객만족 1위]미디움 인디고블루 스트레이트 핏 데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511577&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bWl3UQ%3D%3D,3일간 재오픈할인!!,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030110006522.gif?1729565831,,42400,15,26,데님2,0,PANTS > 트레이닝/레깅스
맥크린 스트레이트 핏 코튼 팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511447&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bmx9W1g%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880020000782.gif?1728032848,,39800,,13,,0,PANTS > 트레이닝/레깅스
피렌츠 스트레이트 데님 팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512517&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bmV7,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030110006722.jpg?1743668872,,48000,,0,데님1,0,PANTS > 트레이닝/레깅스
원로우 슬릿스트레이트데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506844&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bmp3WQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880020000712.gif?1679616431,33800,23700,30,28,"화이트, 데님연청",0,PANTS > 트레이닝/레깅스
시크블루 스트레이트 핏 데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512223&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bm94W1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0880020000802.gif?1738567333,,49000,,3,블루,0,PANTS > 트레이닝/레깅스
