상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bm57W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",PANTS
[MADE] 에브리 세미와이드 데님 (ver2),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62841&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=aml3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006553.gif?1743560252,46000,41400,10,195,"rgb(161, 189, 209);, rgb(67, 98, 138);",PANTS
[MADE] 치즈 시크릿 세미부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62711&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bWV%2F,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650040001703.gif?1744350593,39500,35600,10,131,"rgb(235, 232, 228);, rgb(20, 20, 20);",PANTS
[MADE] 치즈 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62710&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bm90W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006493.gif?1745398636,34500,31100,10,2,"rgb(223, 237, 221);, rgb(245, 244, 240);, rgb(0, 0, 0);",PANTS
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bmh8W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",PANTS
제이드 핀턱 6부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63013&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=am93UQ%3D%3D,"트렌디한 무드가 느껴지는 6부 길이
군살 커버해주는 여유로운 A라인 핏
(3color /S,M)",,36000,32400,10,0,"rgb(255, 255, 255);, rgb(204, 188, 155);, rgb(0, 0, 0);",PANTS
[MADE] 마농 큐롯 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62889&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bm93UA%3D%3D,"탄탄함이 느껴지는 코튼 100% 트윌 원단
A라인의 와이드한 실루엣으로 하체 군살커버에 완벽
(3color / S~XL)",,45000,40500,10,6,"rgb(255, 255, 255);, rgb(237, 196, 121);, rgb(0, 0, 0);",PANTS
[MADE] 마마무 플레어 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62888&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bm57W14%3D,"""슬럽사"" 특유 데님 소재로 여름끝까지~
옆라인 삼각절개로 날씬해 보이는 플레어핏!
(2color / S~XXL)",,48000,42300,12,0,"rgb(155, 186, 201);, rgb(32, 48, 89);",PANTS
[MADE] 치즈 시크릿 일자 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62708&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bm53VQ%3D%3D,"구김가는 바지 요즘 누가 입어요~관리 수월한 완벽한 바지
허벅지부터 밑단까지 깔끔하게 똑 덜어지는 만능 슬랙스
(3color / S~XXL / 기본,롱)",,37000,33300,10,591,"rgb(222, 217, 211);, rgb(0, 0, 0);",PANTS
[MADE] 앤드이지 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62839&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bmh8W1k%3D,"봉봉뜨지 않고 쵸로록~ 흐르는 와이드핏이라
몸매부각 없이 자연스럽게 보정되는 세련된 이지룩:)
(3color)",,39500,35600,10,31,"rgb(252, 202, 237);, rgb(209, 215, 222);, rgb(0, 0, 0);",PANTS
라티 코튼 5부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63010&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bm55W1o%3D,"허벅지 붙지 않아 날씬해 보이는 반바지
뒷밴딩으로 깔끔한 아웃핏
(3color / S~L)",,31000,27900,10,0,"rgb(252, 252, 252);, rgb(118, 146, 184);, rgb(0, 0, 0);",PANTS
로라 절개 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61908&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bmt%2FW1Q%3D,"우수한 신축성과 전체 허리밴딩!
고급스러운 무드를 조아맘에서 즐겨보세요 -
(3color)",,36000,32400,10,1,"rgb(173, 151, 134);, rgb(43, 64, 148);, rgb(0, 0, 0);",PANTS
핀턱 와이드 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60231&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bmx1W1U%3D,"많은 사랑을 받은 낙낙한 와이드 핏!
가볍고 쾌적한 착용감으로 여름까지 쭉-
(S~L / 3color)",,32500,29300,10,6,"rgb(250, 249, 247);, rgb(187, 175, 128);, rgb(127, 119, 93);",PANTS
[MADE] 엘비스 와이드 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62834&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bmt1W11E,"밑단 배색이 들어가 스타일리쉬하게 뽐내기 좋은 데님
레트로한 감성에 와이드핏으로 트렌디함 믹스매치!
(S~XL)",,49000,44100,10,9,"rgb(56, 61, 97);",PANTS
로웰 핀턱 세미와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62967&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=Zmx3UF0%3D,"간결한 세미와이드 핏에 멋스러운 핀턱!
편안한 허리 뒷밴딩으로 착용감까지 굿
(5color / S~L)",,36000,32400,10,1,"rgb(179, 168, 157);, rgb(147, 179, 186);, rgb(14, 26, 71);, rgb(94, 94, 94);, rgb(0, 0, 0);",PANTS
드레시 핀턱 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61862&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bml4W11G,"인스타 문의폭주★트레이닝급 편안함!
무궁무진하게 활용가능한 슬랙스 :)
(3color) *라이트카키,베이지 4/28(월) 입고예정*",,28500,25700,10,13,"rgb(222, 215, 205);, rgb(121, 124, 115);, rgb(149, 136, 117);",PANTS
세라 일자와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61872&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bm54W11H,"깔끔한 아웃핏과 편안함이 공존하는 히든밴딩
우수한 신축성으로 매일 함께하고 싶을 아이템 !
(2color / S~L)",,31000,27900,10,75,"rgb(0, 0, 0);, rgb(240, 236, 228);",PANTS
[MADE] 르마레 트위드 5부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61601&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=Z2l3UFg%3D,"담백하고 탄탄한 핏의 트위드 소재로
허벅지 군살을 커버해줄,
센스있는 길이감의 하프 슬랙스!
(2color / S~L)",,49800,44900,10,7,"rgb(0, 0, 0);, rgb(245, 242, 233);",PANTS
[MADE] 치즈 플레어 반바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62885&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065&search=&GfDT=bm9%2FW11B,"골반부터 밑단까지 퍼지는 A라인 실루엣
다리가 엄청 말라보이는 허벅지 군살 소멸 팬츠
(2color / M~L)",,35000,31500,10,9,"rgb(227, 216, 204);, rgb(0, 0, 0);",PANTS
