상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
라운드 라탄 토트백,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512579&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=bm95W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020011522.jpg?1744710534,,36000,,0,"아이보리,크림, 베이지, 블랙",0,SHOES/BAG > BAG
마이몬 가죽 탑핸들 토트백,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512570&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=ZmZ3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020011512.jpg?1744365082,,64000,,0,블랙,0,SHOES/BAG > BAG
헨지 자수 캔버스 토드백,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512551&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=amp3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020011502.jpg?1744267006,,32000,,0,네이비,0,SHOES/BAG > BAG
포믹 스웨이드 숄더백,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512368&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=bml7W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020011482.gif?1741594818,,45000,,0,"블랙, 브라운, 카멜",0,SHOES/BAG > BAG
드래곤 위빙 소가죽 토트백,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512351&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=bmx4W1k%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020011472.jpg?1741257717,,99800,,0,"아이보리,크림, 카멜, 브라운",0,SHOES/BAG > BAG
와츠인마인 보부상크로스백,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506878&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=aG13UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020009712.gif?1678696059,,33000,,1,"아이보리,크림, 그린, 그레이, 블랙",0,SHOES/BAG > BAG
퀼트 데님 미니 체인 크로스백,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509868&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=bm9%2BW14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020010482.gif?1708504433,,19800,,1,데님2,0,SHOES/BAG > BAG
피크닉 포켓 백팩,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509758&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=bm10W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020010462.gif?1706258855,,30800,,4,"아이보리,크림, 핑크, 소라, 블랙",0,SHOES/BAG > BAG
엔시엘 미니네트토트백,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506955&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=bW13VQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020009762.gif?1679647339,,18900,,1,"아이보리,크림, 그린, 카멜",0,SHOES/BAG > BAG
트라프 캔버스백,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501059&xcode=004&mcode=002&scode=&type=X&sort=manual&cur_code=004002&search=&GfDT=aGt3VA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040020008352.jpg?1617594974,,19800,,11,블랙,0,SHOES/BAG > BAG
