상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
샌드 크래프트 피셔맨 샌들,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512325&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=aG13UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021812.jpg?1740724062,,56000,,0,"브라운, 블랙",0,SHOES/BAG > SHOES
매니쉬 스트랩 라운드 샌들,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512324&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bmx0W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021832.gif?1740724533,,52000,,1,"블랙, 브라운",0,SHOES/BAG > SHOES
베네타 레더 베이직 로퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512272&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=aGV%2B,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021802.jpg?1739504376,,56000,,0,"브라운, 블랙",0,SHOES/BAG > SHOES
컬러플 에잇트리 스니커즈,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512177&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bmt1W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021792.gif?1737333524,,68000,,1,"아이보리,크림, 핑크, 데님연청, 옐로우, 그린, 레드, 그레이, 블랙",0,SHOES/BAG > SHOES
클로안 독일군 펀칭 스니커즈,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512139&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bml5W1k%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021762.jpg?1736394563,,72000,,1,"화이트, 블랙",0,SHOES/BAG > SHOES
고프코어 라텍스스니커즈,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508099&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bm19W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010020872.gif?1693479533,,44000,,5,"그레이, 카키, 블랙",0,SHOES/BAG > SHOES
마이썸머 가죽쪼리,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507170&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bmx6W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010020602.gif?1681788304,,17000,,6,"화이트, 베이지, 옐로우, 그린, 블랙",0,SHOES/BAG > SHOES
니드퀸 앵클부츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502266&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bG93Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010019532.gif?1629427214,,47800,,9,"아이보리,크림, 베이지, 블랙",0,SHOES/BAG > SHOES
펠트체크 버클 양털 블로퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512024&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=Zm93WQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021712.jpg?1734319288,,40000,,0,"베이지, 블랙",0,SHOES/BAG > SHOES
투코인 페니 로퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512020&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bmp1W1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021702.gif?1734083792,,56000,,0,"브라운, 블랙",0,SHOES/BAG > SHOES
버클워머 스웨이드 롱부츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511987&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bm17W11E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021682.gif?1733876856,,72000,,0,"진베이지, 블랙",0,SHOES/BAG > SHOES
몰린 자수 어그 스웨이드 블로퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511973&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=Zmp3UF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021672.gif?1733732335,,44000,,0,진베이지,0,SHOES/BAG > SHOES
벤플 스웨이드 통굽 양털안감 슬리퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511932&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bG53UF4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021652.jpg?1733214127,,56000,,1,"베이지, 브라운, 딥브라운",0,SHOES/BAG > SHOES
말랑 양털 뽀글이 플랫슈즈,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511862&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=aGl3UF8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021622.gif?1731981400,,48000,,0,"블랙, 아이보리,크림, 베이지",0,SHOES/BAG > SHOES
울트라 미니 통굽 숏 어그,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511773&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=amp3UFg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021602.gif?1730881410,,66000,,0,"베이지, 블랙",0,SHOES/BAG > SHOES
키핑 웜 털안감 패딩부츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511772&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=aW53UFk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021612.gif?1730881510,,74000,,0,"카키, 블랙",0,SHOES/BAG > SHOES
바니바니 양털 앵클부츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511769&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bm97W11C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021592.gif?1730877617,,36000,,0,"아이보리,크림, 블랙",0,SHOES/BAG > SHOES
미르니 플랫폼 어그 부츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511742&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=bG93UFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021582.gif?1730371615,48000,33600,30,1,"머스타드,골드, 카키, 블랙",0,SHOES/BAG > SHOES
포인티드 앵클 부츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511739&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=aG53UFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021572.jpg?1730362728,,61800,,0,"아이보리,크림, 베이지, 블랙",0,SHOES/BAG > SHOES
델몬 양털 스웨이드 버클 블로퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511721&xcode=004&mcode=001&scode=&type=X&sort=manual&cur_code=004001&search=&GfDT=Zm93UFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0040010021552.gif?1730944445,,50800,,0,"카멜, 블랙",0,SHOES/BAG > SHOES
