상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
에어쿨링 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=495409&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=aG13UA%3D%3D,"여름이 시원해지는 쿨링나시~!! / FREE,L 두가지 사이즈로 만나보세요~",https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020016692.gif?1687741484,18900,17100,10,129,"화이트, 베이지, 핑크, 네이비, 블랙",0,TOP > 나시
[1+1]이지네추럴 코튼나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509499&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=ZmV%2F,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020962.gif?1730363995,21600,19500,10,128,,0,TOP > 나시
[린넨55%] 메드핀 린넨나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501312&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=amh3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020018462.gif?1687865276,,14800,,1,"화이트, 베이지, 퍼플, 블랙",0,TOP > 나시
[1+1]쿨런 텐셀 린넨 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512629&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=a2t3VQ%3D%3D,[3일간15%]04.24(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021092.gif?1745372114,,33900,15,2,,0,TOP > 나시
비스코스 린넨 브이 니트 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512581&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=aG93VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021072.gif?1744710908,,24000,,0,"연베이지, 베이지, 브라운, 연카키, 네이비, 블랙",0,TOP > 나시
[made]콜미니아 베이직웨어 스판 끈나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510340&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=amd3UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020432.gif?1715681282,,12800,,30,"화이트, 그레이, 블랙",0,TOP > 나시
[1+1]프레시린넨 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504188&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bm17W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020019092.gif?1650944254,,19800,,62,"화이트, 베이지, 브라운, 핑크, 카키, 데님진청, 블랙",0,TOP > 나시
골지 U넥 세미크롭 스판 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512379&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bml3VQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021012.gif?1741855903,,18000,,4,"아이보리,크림, 레드, 그레이, 챠콜, 블랙",0,TOP > 나시
쫀득쫀쫀 (캡내장)골지나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507646&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=a2d3Vw%3D%3D,[앵콜세일15%]04.24(목)까지,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020162.gif?1686732731,14800,12600,15,166,"화이트, 핑크, 민트, 브라운, 블랙",0,TOP > 나시
페리콧 크로쉐 뜨개 롱 니트나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512487&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=aGp3WA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021032.gif?1743419576,,24000,,1,"아이보리,크림, 그린",0,TOP > 나시
