상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
펀칭 아일렛 퍼프 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512400&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=a2p3UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018302.gif?1742290178,,39800,,6,"아이보리,크림",0,TOP > 블라우스
플라워 자수 프린지 볼륨 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512338&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=bm19W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018282.gif?1741079953,,39800,,4,화이트,0,TOP > 블라우스
로이칸 히든 차이나 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512249&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=bm97W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018252.gif?1738895757,,29800,,1,화이트,0,TOP > 블라우스
리오넬 핀턱 레이스 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512221&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=bm13VQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018232.gif?1738311451,,33000,,22,"아이보리,크림",0,TOP > 블라우스
[1+1]에손 반오픈 브이 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511199&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=bmh8W1k%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018212.gif?1722386804,49800,39800,10,4,"화이트, 진베이지, 블랙",0,TOP > 블라우스
포엘 텐셀 단추 브이넥 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512638&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=amx3UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018392.gif?1745402353,70000,66500,5,0,"화이트, 블랙",0,TOP > 블라우스
살몬 레이온 7부소매 브이넥 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510023&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=bmp9W1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030017492.gif?1710116976,,29800,,15,"아이보리,크림, 인디핑크",0,TOP > 블라우스
메이노 차이나 텐셀 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512495&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=bm9%2BW1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018352.gif?1743554682,,39800,,0,"아이보리,크림, 소라",0,TOP > 블라우스
러플커프스 골드버튼블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504783&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=bm54W1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030016872.gif?1657155118,,25800,,14,"아이보리,크림, 소라, 블랙",0,TOP > 블라우스
벌룬 쿨링 반오픈 셔츠블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512559&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=bmp7W1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018382.gif?1744352327,,29800,,0,"화이트, 소라, 블랙",0,TOP > 블라우스
히틴 텐셀 오픈 카라 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512434&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=aGl3WA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018322.jpg?1742554350,,45000,,0,화이트,0,TOP > 블라우스
몰리아 핀턱 셔링 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509822&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=b2V8UA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030017262.gif?1709105513,34000,9800,71,2,"아이보리,크림, 진베이지",0,TOP > 블라우스
에손 반오픈 브이 블라우스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512465&xcode=001&mcode=003&scode=&type=X&sort=manual&cur_code=001003&search=&GfDT=bGV8Uw%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010030018342.gif?1742987262,,24900,,5,"화이트, 진베이지, 블랙",0,TOP > 블라우스
