상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
주크 썸머셔츠나시SET,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507410&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml1W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060046582.gif?1690243406,,29800,,103,"화이트, 옐로우, 소라",0,TOP > 셔츠
린넨 라이크 스트라이프 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512596&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=Z2Z3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050962.gif?1744881880,,29800,,2,"카키, 블루",0,TOP > 셔츠
호이쥬 오버핏 체크셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512191&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmt7W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050672.gif?1737608778,,24800,,8,"스카이, 네이비",0,TOP > 셔츠
[SET 15%할인]호웬 데님 반팔 셔츠 데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512586&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmx5W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050942.gif?1744764002,54600,46500,15,1,데님연청,0,TOP > 셔츠
호웬 데님 반팔 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512585&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmx1W1k%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050932.gif?1744711774,,29800,,1,데님연청,0,TOP > 셔츠
컬빗 루즈핏 린넨 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512634&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bGV9,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050982.gif?1745400784,55000,52300,5,0,"화이트, 레드, 챠콜",0,TOP > 셔츠
러브포유 핀턱 7부 롤업 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512610&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm50W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050972.jpg?1744983517,60800,29800,51,2,"화이트, 블루",0,TOP > 셔츠
레미츠 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=495939&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp9W1o%3D,데일리하게 입기좋은 기본셔츠 다양한 컬러를 만나보세요,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060041622.gif?1677482927,,19800,,489,"아이보리,크림, 베이지, 소라, 핑크, 퍼플, 옐로우, 카키, 네이비, 블랙",0,TOP > 셔츠
네이틴 베이직차이나셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506908&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmt8W1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060040572.gif?1678952640,,24800,,73,"아이보리,크림, 소라",0,TOP > 셔츠
레이버 인디고 데님셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511322&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmV0,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050432.gif?1725356606,,45000,,65,데님2,0,TOP > 셔츠
레펀스 박스가오리셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504577&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=ZmZ3UFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060041802.gif?1655091790,,29800,,23,"아이보리,크림, 블루, 블랙",0,TOP > 셔츠
플레닛 히든레터링셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504139&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bGd3UF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060049572.gif?1650443434,,19800,,64,"아이보리,크림, 네이비",0,TOP > 셔츠
벨쥬 7부스트라이프셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498849&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml7W11G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060043822.gif?1692231001,,15800,,355,"핑크, 퍼플, 소라, 네이비",0,TOP > 셔츠
레터링 자수 스트라이프 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512395&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm54W11H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050812.jpg?1742201965,,29800,,7,"아이보리,크림, 데님연청",0,TOP > 셔츠
시티즈 세미크롭 코튼 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509774&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=Z293UFg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060045032.gif?1706687966,,29800,,25,"화이트, 소라",0,TOP > 셔츠
트리플샌드 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=496136&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmx8W11B,"무지,스트라이프 2가지 스타일!",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060048182.gif?1607646008,,18800,,571,"화이트, 네이비",0,TOP > 셔츠
로일리 캡 롤업 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512589&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmZ3UFo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050952.gif?1744886734,,19800,,0,"아이보리,크림, 데님연청, 블랙",0,TOP > 셔츠
위드유 실키 텐셀 데님셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512536&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=aG13UFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050902.gif?1744263369,,39800,,1,"데님3, 데님연청",0,TOP > 셔츠
로러블 오버핏 체크셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512132&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml9W11M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050652.gif?1736218735,,24000,,10,"옐로우, 데님연청, 네이비, 블랙",0,TOP > 셔츠
[made]크로스로 텐셀 데님 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510533&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm50W11N,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060040082.gif?1714384162,,39800,,34,데님연청,0,TOP > 셔츠
코튼베이 세미크롭셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505030&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml3U1w%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060047422.gif?1692878529,,22000,,89,"아이보리,크림, 소라",0,TOP > 셔츠
에이린즈 백 슬릿 루즈핏 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512469&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmx9W15F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050872.gif?1743122395,,34800,,2,"아이보리,크림, 핑크, 소라, 연두",0,TOP > 셔츠
에쉴린 포켓 핀턱 벌룬 슬리브 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512433&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp7W15G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050842.gif?1742554576,,39800,,0,"아이보리,크림, 옐로우, 소라",0,TOP > 셔츠
[1+1]레미츠 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510885&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmt7W15H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050582.gif?1730288666,39600,35700,10,496,"아이보리,크림, 진베이지",0,TOP > 셔츠
[made]링클프리 스텐다드핏 베이직셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507980&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp3U1g%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039872.gif?1692833318,,21800,,68,"아이보리,크림, 데님연청, 핑크, 베이지, 카키",0,TOP > 셔츠
[made]메디쿤 오버핏 옥스포드셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507947&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm95W15B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039882.gif?1692833425,,27000,,30,"화이트, 핑크, 데님연청",0,TOP > 셔츠
셀리느 린넨반팔셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498633&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm90W15C,소매롤업으로 여리한 팔뚝라인~,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060044582.gif?1657845694,,26000,,75,"화이트, 민트, 핑크, 블랙",0,TOP > 셔츠
체솔티 배색 스트라이프 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512420&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml8W15D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050832.jpg?1742516463,,39800,,0,"연두, 핑크",0,TOP > 셔츠
몬디아 와이드 커프스 오버핏 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512357&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm9%2BW15M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050792.gif?1742359462,,68000,,2,"옐로우, 네이비",0,TOP > 셔츠
