상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[2+1] [MADE] 24시간 숨쉬는 팬티 2탄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59994&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=bmZ3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710050000903.gif?1678410243,38700,15800,59,20,"rgb(255, 238, 235);, rgb(0, 0, 0);",UNDERWEAR
세컨즈 텐셀 런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30935&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071&search=&GfDT=bmd3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000203.gif?1558486743,,9500,,586,"rgb(255, 255, 255);, rgb(0, 0, 0);, rgb(200, 168, 143);",UNDERWEAR
인견 노와이어 브라,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30917&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=bmt%2FW14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710040000363.gif?1401776181,,15800,,663,"rgb(243, 223, 214);, rgb(0, 0, 0);",UNDERWEAR
데일리 브라캡 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60192&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071&search=&GfDT=bm98W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000853.gif?1681266294,,15800,,46,"rgb(255, 255, 255);, rgb(107, 94, 94);, rgb(153, 153, 153);, rgb(245, 243, 233);, rgb(0, 0, 0);",UNDERWEAR
쿨실크 3부&5부 속바지 2종,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54563&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071&search=&GfDT=bWp3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000833.gif?1594694389,,9000,,195,"rgb(255, 255, 255);, rgb(254, 224, 237);, rgb(0, 0, 0);",UNDERWEAR
디어 텐셀 런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30934&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071&search=&GfDT=bm10W1w%3D,부드러운 텐셀로 SS시즌 필수아이템 (M~XXL / 3color),,,9500,,612,,UNDERWEAR
아이스 쿨링 타공 팬티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=52506&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=a2V%2F,시원하고 산뜻한 소재감으로 찝찝하고 답답한 날에도 OK (L~3XL / 3color),,,6000,,204,"rgb(223, 202, 201);, rgb(229, 202, 207);, rgb(0, 0, 0);",UNDERWEAR
누디 햄라인 속바지 [팬티겸용],https://www.joamom.co.kr/shop/shopdetail.html?branduid=54575&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071&search=&GfDT=bm55W18%3D,"팬티, 속바지 따로? 요거면 끝나요~ 옷맵시 살리는 햄라인,사계절 내내! (L,XL / 2color)",,,9000,,95,"rgb(218, 200, 192);, rgb(0, 0, 0);",UNDERWEAR
인견 매쉬 브라런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54530&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=bm18W1o%3D,노와이어+인견의 청량한 착용감 브라 밑 매쉬소재 숨쉬듯 시원 (L ~ XXXL),,,18800,,135,"rgb(240, 223, 216);",UNDERWEAR
365 레이스 브라,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59913&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=bWp3Vg%3D%3D,"이렇게 편한데 로맨틱함까지 겸비한
#무봉제브라 #노와이어
(S,M / 2color)",,19800,7900,60,21,"rgb(247, 242, 240);, rgb(0, 0, 0);",UNDERWEAR
[MADE] 24시간 숨쉬는 팬티 2탄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=53037&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=bm51W1Q%3D,"지금까지 불편함을 참고 계셨다면
자극없이 숨쉬는 팬티로 바꿔보세요!
(S~L / 2color)",,12900,6400,50,183,"rgb(255, 238, 235);, rgb(0, 0, 0);",UNDERWEAR
에브 레이스 나시 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54387&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=Z213UF0%3D,소프트한 촉감의 워싱 코튼 러블리함을 담은 디자인^^ (2color),,,25000,,46,"rgb(255, 255, 255);, rgb(0, 0, 0);",UNDERWEAR
[MADE] 에어쿨 끈 슬립,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61841&xcode=071&mcode=002&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=amp3UF4%3D,"데일리하게 착용하기 좋은 쾌적한 착용감 !
달라붙지 않고 매끄럽게 촤르르- 떨어져요
(3color/M,L)",,,19800,,140,"rgb(255, 255, 255);, rgb(240, 233, 223);, rgb(0, 0, 0);",UNDERWEAR
지지미 레이스 파자마 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60733&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=aGx3UF8%3D,올록볼록한 텍스쳐와 러블리한 레이스가 포인트! 사랑스러움이 가득한 홈웨어 파자마 팬츠! (5부/7부),,,22000,,1,"rgb(255, 255, 255);",UNDERWEAR
애플힙 보정 거들,https://www.joamom.co.kr/shop/shopdetail.html?branduid=57317&xcode=071&mcode=001&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=bmt8W11A,"볼록나온 똥배, 쳐진 엉밑살을 UP! 팬티,속바지,보정거들을 하나로! 심리스로 티내지말고 입어요~ (L~2XL / 2color)",,,19900,,12,"rgb(210, 201, 191);, rgb(0, 0, 0);",UNDERWEAR
[MADE] THE웜 3부 속바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54797&xcode=071&mcode=002&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=bm19W11B,브랜드와 비교해도 자신있는 발열원단 안입은듯 가볍지만 강력한 보온성으로 올겨울 히트텍 방황하지말고 조아맘에서! (M~XL / 2color),,12500,5000,60,193,"rgb(186, 176, 174);, rgb(0, 0, 0);",UNDERWEAR
인견 심리스 팬티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54532&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=bmt%2BW11C,민망한 팬티 라인 감춰주는 누디핏! 여름엔 시원한 인견만한게 없죠^^ (M ~ XXL),,,8000,,20,"rgb(236, 218, 216);",UNDERWEAR
[MADE] 24시간 숨쉬는 Y커버 치마 속바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=51935&xcode=071&mcode=001&scode=&type=X&sort=manual&cur_code=071&search=&GfDT=am13UFs%3D,"스커트&원피스 착용시 민망한 Y라인
이제 더이상 민망해 하지 마세요!
(M~XL / 2color)",,21500,10700,50,162,"rgb(242, 237, 233);, rgb(0, 0, 0);",UNDERWEAR
