상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
루나 카라 배색 7부 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62939&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bmV9,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028633.gif?1742741135,,27000,,13,"rgb(255, 255, 255);, rgb(194, 194, 194);, rgb(29, 36, 54);",가디건
스프링 V넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62853&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=aW13UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028523.gif?1740719524,19800,17800,10,15,"rgb(247, 245, 230);, rgb(207, 199, 186);, rgb(39, 207, 140);, rgb(235, 185, 235);, rgb(30, 39, 84);, rgb(130, 130, 130);, rgb(0, 0, 0);",가디건
시즌 7부 니트 (2Types 라운드넥/브이넥),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61660&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=aWh3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027603.gif?1711432607,,22800,,57,"rgb(255, 255, 255);, rgb(179, 80, 115);, rgb(212, 204, 197);, rgb(122, 107, 104);, rgb(255, 241, 171);, rgb(27, 34, 64);, rgb(0, 0, 0);",가디건
[MADE] 라붐 후드 니트 (홀가먼트),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61736&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bm98W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027683.gif?1745281284,53000,46700,12,27,"rgb(245, 245, 242);, rgb(247, 173, 199);, rgb(80, 172, 212);",가디건
세라카라 크로쉐 니트 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61984&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bmt7W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670050010203.gif?1715106013,,32500,,35,"rgb(208, 199, 192);, rgb(155, 196, 166);, rgb(0, 0, 0);",가디건
루비 V넥 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62975&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=aGl3UQ%3D%3D,"내추럴한 핏으로 여유있게 입기 좋은 니트 가디건
부드러운 촉감에 세련된 핏으로 단독으로 강추~
(3color)",,,32500,,3,"rgb(240, 237, 233);, rgb(97, 151, 212);, rgb(0, 0, 0);",가디건
세라카라 투웨이 니트 집업,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62912&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bmZ3UA%3D%3D,"찹찹하고 쿨링감 있는 실크 블랜딩 니트원사
입으면 무조건 반사이즈 날씬해보여요!
(4color)",,,28000,,0,"rgb(255, 255, 255);, rgb(245, 211, 220);, rgb(184, 217, 230);, rgb(0, 0, 0);",가디건
로티 단가라 니트 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61675&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bG13Ug%3D%3D,"입체감이 느껴지는 촘촘한 짜임새로
세련된 포인트가 되어 주는 아이템이에요
(2color)",,54000,37800,30,11,"rgb(0, 0, 0);, rgb(97, 170, 207);",가디건
릴리 V넥 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62926&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=Z2t3VQ%3D%3D,"부드럽고 유연한 캐시 블렌딩 소재-
단정하면서 여성스러운 무드의 가디건
(6color)",,,32500,,3,"rgb(250, 247, 240);, rgb(255, 230, 232);, rgb(232, 180, 158);, rgb(216, 237, 240);, rgb(217, 191, 217);, rgb(0, 0, 0);",가디건
리린 스트라이프 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58981&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049002&search=&GfDT=bmp9W1k%3D,"디테일컷만으로 라방에서 주문폭주!
볼륨감있는 니트로 부드럽게 터치감도 굿
(2color)",,,28500,,358,"rgb(245, 244, 242);, rgb(0, 0, 0);",가디건
