상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[2+1] [MADE] 24시간 숨쉬는 팬티 2탄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59994&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071003&search=&GfDT=bm94W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710050000903.gif?1678410243,38700,15800,59,20,"rgb(255, 238, 235);, rgb(0, 0, 0);",기타
세컨즈 텐셀 런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30935&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071003&search=&GfDT=Zm13UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000203.gif?1558486743,,9500,,586,"rgb(255, 255, 255);, rgb(0, 0, 0);, rgb(200, 168, 143);",기타
인견 노와이어 브라,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30917&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071003&search=&GfDT=bGh3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710040000363.gif?1401776181,,15800,,663,"rgb(243, 223, 214);, rgb(0, 0, 0);",기타
데일리 브라캡 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60192&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071003&search=&GfDT=bmp9W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000853.gif?1681266294,,15800,,46,"rgb(255, 255, 255);, rgb(107, 94, 94);, rgb(153, 153, 153);, rgb(245, 243, 233);, rgb(0, 0, 0);",기타
쿨실크 3부&5부 속바지 2종,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54563&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071003&search=&GfDT=bm94W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000833.gif?1594694389,,9000,,195,"rgb(255, 255, 255);, rgb(254, 224, 237);, rgb(0, 0, 0);",기타
디어 텐셀 런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30934&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071003&search=&GfDT=bmx6W1w%3D,부드러운 텐셀로 SS시즌 필수아이템 (M~XXL / 3color),https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000213.gif?1557709500,,9500,,612,,기타
누디 햄라인 속바지 [팬티겸용],https://www.joamom.co.kr/shop/shopdetail.html?branduid=54575&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071003&search=&GfDT=bGx3Uw%3D%3D,"팬티, 속바지 따로? 요거면 끝나요~ 옷맵시 살리는 햄라인,사계절 내내! (L,XL / 2color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000843.gif?1594773791,,9000,,95,"rgb(218, 200, 192);, rgb(0, 0, 0);",기타
텐셀 3부 속바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=31887&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071003&search=&GfDT=Zmp3VA%3D%3D,"부드럽고 가벼운 텐셀 원단으로 착용감 좋아요 (L,XL / 3color)",,,7000,,232,,기타
베이직 텐셀 브라런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=29571&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071003&search=&GfDT=aGd3Vw%3D%3D,안입은읏 실키한 촉감 천연 텐셀소재로 피부에도 부담없이 (L~XXL / 2color),,,17000,,232,"rgb(223, 190, 167);, rgb(0, 0, 0);",기타
베이직 코튼 브라런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=28975&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071003&search=&GfDT=bmx3Vg%3D%3D,깔끔한 면소재의 편안함 (L~XXL / 4color),,,16000,,701,,기타
실크 끈 슬립,https://www.joamom.co.kr/shop/shopdetail.html?branduid=28163&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071003&search=&GfDT=bW13WQ%3D%3D,"원피스나 롱니트에 꼭 필요해요 (L,XL / 3color)",,,10000,,249,"rgb(255, 255, 255);, rgb(0, 0, 0);, rgb(197, 181, 165);",기타
