상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 드프 라운드 반팔 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62890&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bm90W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049883.gif?1744243721,,19800,,23,"rgb(255, 255, 255);, rgb(252, 199, 189);, rgb(195, 217, 232);, rgb(19, 26, 54);, rgb(0, 0, 0);",나시
[MADE] 다우니 모달 7부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62758&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bm90W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049713.gif?1742430595,,16800,,157,"rgb(255, 255, 255);, rgb(245, 240, 215);, rgb(206, 222, 193);, rgb(87, 75, 68);, rgb(89, 89, 89);, rgb(0, 0, 0);",나시
[MADE] 파인 유넥 모달 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62876&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bml%2BW14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049853.gif?1742194325,,16500,,61,"rgb(255, 255, 255);, rgb(245, 239, 225);, rgb(222, 213, 195);, rgb(221, 232, 200);, rgb(71, 57, 50);, rgb(0, 0, 0);",나시
[MADE] 라글란 맨투맨 5부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62859&xcode=062&mcode=006&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bml%2BW18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620060002393.gif?1744603595,,32500,,163,"rgb(255, 255, 255);, rgb(252, 249, 220);, rgb(245, 215, 215);, rgb(206, 225, 245);, rgb(207, 207, 207);, rgb(0, 0, 0);",나시
델리 라글란 맨투맨 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56278&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bmt9W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010040873.gif?1744880483,,14800,,519,"rgb(192, 181, 199);, rgb(245, 241, 233);, rgb(255, 239, 161);, rgb(161, 237, 202);, rgb(163, 163, 163);, rgb(0, 0, 0);",나시
스트라이프 보트넥 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63004&xcode=062&mcode=003&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bmx6W1w%3D,"린넨혼방 텍스처로 여름까지 활용좋은 나시티
은은한 컬러감의 스트라이프 패턴으로 포인트
(4color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620030003793.gif?1745218750,22000,20900,5,0,"rgb(87, 123, 158);, rgb(37, 112, 88);, rgb(128, 81, 57);, rgb(0, 0, 0);",나시
스트라이프 스퀘어넥 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58526&xcode=062&mcode=003&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bmt%2BW10%3D,"고슬한 터치로 쾌적한 착용감
이너, 단독 두루두루 입기 좋아요
(4color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620030003463.gif?1743402267,,18000,,71,"rgb(204, 191, 157);, rgb(252, 252, 252);, rgb(0, 0, 0);, rgb(240, 242, 255);",나시
리던트 스퀘어넥 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58348&xcode=062&mcode=003&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bm9%2BW14%3D,"매년 아우터 이너로 활용도 1000%
다양한 컬러로 무조건 2장이상 추천
(6color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620030003433.gif?1745199542,,17000,,145,"rgb(255, 255, 255);, rgb(240, 237, 233);, rgb(219, 214, 202);, rgb(107, 94, 88);, rgb(202, 218, 219);, rgb(0, 0, 0);",나시
쫀득 모달 골지나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62986&xcode=062&mcode=003&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bmh9W18%3D,"[시즌리스 기본템] 코튼X모달 소재로 쫀득~
바스트 라인 들뜸없이 밀착되어 안정적인 착용감
(4color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620030003773.gif?1744344338,,18000,,0,"rgb(255, 255, 255);, rgb(217, 215, 217);, rgb(240, 237, 192);, rgb(0, 0, 0);",나시
디어린 스퀘어넥 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60303&xcode=062&mcode=003&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=bWZ3VQ%3D%3D,"촘촘한 니트짜임으로 짱짱하게
군살 도드라짐 없이 퀄리티 굿!
(6color)",,,32500,,62,"rgb(247, 247, 247);, rgb(0, 0, 0);, rgb(69, 61, 40);",나시
[MADE] 라포 캡 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61916&xcode=062&mcode=003&scode=&type=X&sort=manual&cur_code=062003&search=&GfDT=Z253VA%3D%3D,"속옷 걱정 NO, 안쪽에 숨겨진 내장패드!
부드럽고 쫀쫀하게 제작된 캡 나시 티
(4color/크롭,기본)",,,19800,,139,"rgb(255, 255, 255);, rgb(146, 146, 148);, rgb(105, 97, 81);, rgb(0, 0, 0);",나시
