상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 마농 클래식 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62803&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=bmx6W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630050008783.gif?1743581767,,37000,,68,"rgb(255, 255, 255);, rgb(182, 186, 143);, rgb(134, 160, 181);",남방
[MADE] 시어 쉬폰 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62835&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=aGZ3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630040019933.gif?1744248261,,29800,,15,"rgb(250, 250, 232);, rgb(250, 222, 242);, rgb(204, 204, 204);, rgb(0, 0, 0);",남방
웨스턴 데님 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62988&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=bWl3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630050008833.gif?1744349272,,29500,,2,"rgb(178, 206, 217);",남방
레이딘 린넨 스트링 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60233&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=bGt3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630040018543.gif?1681719013,,25000,,30,"rgb(255, 255, 255);, rgb(222, 215, 170);",남방
클로시 스트라이프 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62956&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=bWt3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630050008813.gif?1743495314,,25000,,3,"rgb(255, 184, 223);, rgb(161, 183, 255);",남방
투포켓 카라 7부 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63002&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=bm53UQ%3D%3D,"단독으로는 물론 아우터로도 활용도 굿
코디 고민 없이 이지하게 즐기기 좋은 아이템
(3color)",,27000,25700,5,0,"rgb(255, 255, 255);, rgb(194, 184, 163);, rgb(22, 42, 71);",남방
[MADE] 케이프 텐셀 후드 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61930&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=bG53UA%3D%3D,"얇은 텐셀 소재로 루즈하게 제작해 넘나 시원!
S/S 시즌 긴팔 셔츠로 적극 추천♡
(3color)",,39500,34800,12,56,"rgb(245, 240, 223);, rgb(92, 78, 64);, rgb(235, 176, 196);",남방
네오 자수 코튼 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62968&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=amp3Ug%3D%3D,"청량감 느껴지는 코튼 100%
적당히 힘있는 소재감으로 걸쳐입기 좋아요
(2color) *블루 5/1(월) 입고예정*",,,25000,,6,"rgb(255, 255, 255);, rgb(131, 174, 230);",남방
D링 백 포인트 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62953&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=Z293VA%3D%3D,"넥 백라인에 D링 장식으로 포인트를 주어
페미닌하면서 세련된 무드의 셔츠
(3color)",,,51500,,1,"rgb(255, 255, 255);, rgb(235, 211, 235);, rgb(0, 0, 0);",남방
릴리 세미크롭 코튼 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62905&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=bm10W1o%3D,"클린한 실루엣으로 스타일링 활용도 높은 디자인
탄탄하고 쾌적한 착용감을 자랑하는 코튼 소재
(3color)",,,36000,,1,"rgb(255, 255, 255);, rgb(252, 252, 164);, rgb(180, 151, 194);",남방
블루밍 뒷트임 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61774&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063005&search=&GfDT=bWV6,"코지하고 심플한 무드에 뒷트임 포인트까지♡
여유있는 핏으로 부담 없이 입어져요:)
(3color)",,,34500,,52,"rgb(93, 153, 111);, rgb(204, 175, 204);, rgb(255, 255, 255);",남방
