상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
루나 카라 배색 7부 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62939&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bm54W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028633.gif?1742741135,,27000,,13,"rgb(255, 255, 255);, rgb(194, 194, 194);, rgb(29, 36, 54);",니트
스프링 V넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62853&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bmp4W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028523.gif?1740719524,19800,17800,10,15,"rgb(247, 245, 230);, rgb(207, 199, 186);, rgb(39, 207, 140);, rgb(235, 185, 235);, rgb(30, 39, 84);, rgb(130, 130, 130);, rgb(0, 0, 0);",니트
시즌 7부 니트 (2Types 라운드넥/브이넥),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61660&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bm57W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027603.gif?1711432607,,22800,,57,"rgb(255, 255, 255);, rgb(179, 80, 115);, rgb(212, 204, 197);, rgb(122, 107, 104);, rgb(255, 241, 171);, rgb(27, 34, 64);, rgb(0, 0, 0);",니트
[MADE] 라붐 후드 니트 (홀가먼트),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61736&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bml6W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027683.gif?1745281284,53000,46700,12,27,"rgb(245, 245, 242);, rgb(247, 173, 199);, rgb(80, 172, 212);",니트
세라카라 크로쉐 니트 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61984&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bm5%2BW1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670050010203.gif?1715106013,,32500,,35,"rgb(208, 199, 192);, rgb(155, 196, 166);, rgb(0, 0, 0);",니트
히든버튼 카라 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62212&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=Z2x3UQ%3D%3D,"높은 퀄리티를 자랑하는 탄탄한 조직감!
매끄러운 윤택감으로 고급스러운 니트
(3color) *크림베이지 5/7(수) 입고예정*",,44000,41800,5,2,"rgb(240, 234, 213);, rgb(40, 49, 94);, rgb(0, 0, 0);",니트
린넨 루즈핏 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58495&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bG13Uw%3D%3D,"고슬고슬한 텍스처의 린넨 블렌딩 소재
다양하게 활용하기 좋은 아이템이라 추천 !
(5color)",,,32500,,14,"rgb(201, 140, 155);, rgb(255, 255, 255);, rgb(191, 186, 167);, rgb(158, 158, 158);, rgb(0, 0, 0);",니트
스트라이프 스퀘어넥 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58526&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bm10W18%3D,"고슬한 터치로 쾌적한 착용감
이너, 단독 두루두루 입기 좋아요
(4color)",,,18000,,71,"rgb(204, 191, 157);, rgb(252, 252, 252);, rgb(0, 0, 0);, rgb(240, 242, 255);",니트
리던트 스퀘어넥 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58348&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bGZ3VQ%3D%3D,"매년 아우터 이너로 활용도 1000%
다양한 컬러로 무조건 2장이상 추천
(6color)",,,17000,,145,"rgb(255, 255, 255);, rgb(240, 237, 233);, rgb(219, 214, 202);, rgb(107, 94, 88);, rgb(202, 218, 219);, rgb(0, 0, 0);",니트
세라카라 투웨이 니트 집업,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62912&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=a2V4,"찹찹하고 쿨링감 있는 실크 블랜딩 니트원사
입으면 무조건 반사이즈 날씬해보여요!
(4color)",,,28000,,0,"rgb(255, 255, 255);, rgb(245, 211, 220);, rgb(184, 217, 230);, rgb(0, 0, 0);",니트
더블 레이어드 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62922&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=a2Z3Vw%3D%3D,"하나로 완성되는 레이어드 스타일의 니트 가디건
데일리룩, 출근룩, 포인트룩 만능템!
(5color)",,,27000,,5,"rgb(227, 188, 227);, rgb(242, 230, 182);, rgb(191, 225, 242);, rgb(255, 255, 255);, rgb(0, 0, 0);",니트
델 가오리핏 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62955&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=aG93Vg%3D%3D,"미운 팔뚝살 라인이 고민이셨던 분들께 강추드려요!
가슬한 원사로 지금부터 여름까지 쭉~ 활용
(3color)",,,36000,,5,"rgb(252, 248, 230);, rgb(158, 145, 134);, rgb(0, 0, 0);",니트
세라 스트라이프 니트가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61855&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bWd3WA%3D%3D,"얼굴 작아보이는 V넥에
세라카라 디자인으로 걸리쉬한 무드♡
(2color)",,,27000,,1,"rgb(34, 33, 46);, rgb(237, 237, 237);",니트
앙쥬 후드 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61781&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bml0W11E,"산뜻한 착용감이 돋보이는 비스코스 소재의
후드니트♡ 여리핏 완성되는 예쁜 아웃핏 :)
(4color)",,,25000,,12,"rgb(0, 0, 0);, rgb(213, 237, 236);, rgb(235, 188, 212);, rgb(250, 250, 242);",니트
큐빅하트 배색 7부 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62931&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bm54W11F,"레이온 소재의 얇고 부드러운 터치감
미니멀한 세일러 카라 배색에 깔끔한 핏
(2color)",,,39800,,4,"rgb(255, 255, 252);, rgb(34, 36, 54);",니트
스팽글 볼륨 카라 7부 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62930&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=am13UF4%3D,"잔잔한 펄사와 미니 스팽글이 더해진 원사로
얼굴을 화사하게 밝혀주는 니트에요
(3color)",,,47500,,1,"rgb(247, 245, 240);, rgb(224, 202, 224);, rgb(157, 180, 199);",니트
디어린 스퀘어넥 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60303&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=amV8Ug%3D%3D,"촘촘한 니트짜임으로 짱짱하게
군살 도드라짐 없이 퀄리티 굿!
(6color)",,,32500,,62,"rgb(247, 247, 247);, rgb(0, 0, 0);, rgb(69, 61, 40);",니트
셀론 캐시 V넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62896&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bmx8W11A,"양옆 슬릿과 루즈한 핏으로 심플한 포인트~
편안한 듯 멋스럽게 데일리로 활용하기 좋은 니트
(5color)",,,28500,,8,"rgb(255, 255, 255);, rgb(240, 201, 217);, rgb(255, 250, 212);, rgb(224, 245, 255);, rgb(0, 0, 0);",니트
르베니 양두 V넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=55801&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bm90W11B,"보기만해도 여성스러운 느낌 가득~
부드럽고 여유로운 핏으로 누구나 굿
(5color)",,,28500,,160,"rgb(203, 149, 149);, rgb(184, 170, 159);, rgb(199, 199, 199);, rgb(255, 255, 255);, rgb(0, 0, 0);, rgb(64, 128, 48);",니트
[MADE] 모어 레이어드 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62892&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=aGx3UFo%3D,"이너와 가디건을 하나로 끝내는 레이어드 디자인!
여유있게 파인 넥라인으로 슬림한 실루엣
(3color)",,,36000,,19,"rgb(250, 239, 185);, rgb(185, 231, 240);, rgb(19, 45, 84);",니트
라운드 비스코스 반팔 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59917&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bGd3UFQ%3D,"데일리로 딱 입기 좋은 기본 핏
돌돌이넥으로 내추럴한 니트~
(8color)",,,21500,,73,"rgb(255, 255, 255);, rgb(199, 232, 235);, rgb(237, 178, 212);, rgb(232, 216, 165);, rgb(242, 238, 230);, rgb(30, 32, 79);, rgb(145, 145, 145);, rgb(0, 0, 0);",니트
H골드 버튼 라운드 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62788&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bm11W11N,"세련된 골드 버튼으로 고급스럽고 단정한 니트
부드러운 비스코스 혼방소재로 착용감도 퍼펙트 :)
(4color)",,,22800,,6,"rgb(240, 240, 233);, rgb(209, 205, 192);, rgb(219, 184, 184);, rgb(0, 0, 0);",니트
로우 홀가먼트 라운드 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62696&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=bmV%2FUQ%3D%3D,"봄을 앞둔 시점, 화사하고 따스한 데일리 니트 찾으시나요~
입는 순간 느껴지는 마법같은 부드러움의 홀가먼트 니트!
(5color)",,,31000,,17,"rgb(235, 235, 235);, rgb(227, 195, 221);, rgb(245, 234, 149);, rgb(227, 158, 109);, rgb(130, 166, 181);, rgb(204, 157, 204);, rgb(0, 0, 0);",니트
트리아 레이스 반짚업 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60952&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=Zmh3U10%3D,"감각적인 레이스 디테일이 브랜드st로
흔하지 않게 고급스러운 매력 톡톡한!",,39800,27800,30,13,"rgb(245, 242, 233);, rgb(0, 0, 0);",니트
리버 셔츠 카라 배색 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62785&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=a2d3U14%3D,"배색 카라 디자인으로 깔끔하게 착용 가능한 니트
은은하게 반짝이는 펄사와 자수 로고로 세련 무드
(3color)",,,22800,,12,"rgb(245, 244, 240);, rgb(138, 138, 138);, rgb(27, 35, 51);",니트
[MADE] 리앙 메리노울 V넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59668&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049001&search=&GfDT=Z2Z3U18%3D,"얇고 포근하며 내구성 좋은 메리노울
여성스러운 무드로 즐기는 V넥 디자인
(4color)",,25800,12900,50,161,"rgb(184, 143, 181);, rgb(247, 245, 247);, rgb(169, 155, 146);, rgb(133, 145, 161);",니트
