상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 드프 라운드 반팔 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62890&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=Z2h3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049883.gif?1744243721,,19800,,23,"rgb(255, 255, 255);, rgb(252, 199, 189);, rgb(195, 217, 232);, rgb(19, 26, 54);, rgb(0, 0, 0);",니트티
[MADE] 다우니 모달 7부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62758&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=bmx7W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049713.gif?1742430595,,16800,,157,"rgb(255, 255, 255);, rgb(245, 240, 215);, rgb(206, 222, 193);, rgb(87, 75, 68);, rgb(89, 89, 89);, rgb(0, 0, 0);",니트티
[MADE] 파인 유넥 모달 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62876&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=bm9%2FW14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049853.gif?1742194325,,16500,,61,"rgb(255, 255, 255);, rgb(245, 239, 225);, rgb(222, 213, 195);, rgb(221, 232, 200);, rgb(71, 57, 50);, rgb(0, 0, 0);",니트티
[MADE] 라글란 맨투맨 5부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62859&xcode=062&mcode=006&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=aGt3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620060002393.gif?1744603595,,32500,,163,"rgb(255, 255, 255);, rgb(252, 249, 220);, rgb(245, 215, 215);, rgb(206, 225, 245);, rgb(207, 207, 207);, rgb(0, 0, 0);",니트티
델리 라글란 맨투맨 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56278&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=bmp5W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010040873.gif?1744880483,,14800,,519,"rgb(192, 181, 199);, rgb(245, 241, 233);, rgb(255, 239, 161);, rgb(161, 237, 202);, rgb(163, 163, 163);, rgb(0, 0, 0);",니트티
히든버튼 카라 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62212&xcode=062&mcode=005&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=bm96W1w%3D,"높은 퀄리티를 자랑하는 탄탄한 조직감!
매끄러운 윤택감으로 고급스러운 니트
(3color) *크림베이지 5/7(수) 입고예정*",,44000,41800,5,2,"rgb(240, 234, 213);, rgb(40, 49, 94);, rgb(0, 0, 0);",니트티
[MADE] 라붐 후드 니트 (홀가먼트),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61736&xcode=062&mcode=005&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=Z253UA%3D%3D,"코튼100% 소재로 산뜻한 착용감을 가진
홀가먼트 디테일의 자연스러운 아웃핏 니트♡
(3color) *내츄럴 4/30 순차발송",,53000,46700,12,27,"rgb(245, 245, 242);, rgb(247, 173, 199);, rgb(80, 172, 212);",니트티
린넨 루즈핏 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58495&xcode=062&mcode=005&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=bm57W14%3D,"고슬고슬한 텍스처의 린넨 블렌딩 소재
다양하게 활용하기 좋은 아이템이라 추천 !
(5color)",,,32500,,14,"rgb(201, 140, 155);, rgb(255, 255, 255);, rgb(191, 186, 167);, rgb(158, 158, 158);, rgb(0, 0, 0);",니트티
프랜 스트라이프 코튼 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62957&xcode=062&mcode=005&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=bmt3Ug%3D%3D,"여름까지 입기 좋은 수피마코튼 원사로 쾌적~
안티필링으로 관리가 수월한 니트!
(5color)",,,32500,,5,"rgb(250, 148, 85);, rgb(227, 91, 145);, rgb(77, 179, 134);, rgb(39, 101, 163);, rgb(22, 35, 87);",니트티
더블 레이어드 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62922&xcode=062&mcode=005&scode=&type=X&sort=manual&cur_code=062005&search=&GfDT=bmt3VQ%3D%3D,"하나로 완성되는 레이어드 스타일의 니트 가디건
데일리룩, 출근룩, 포인트룩 만능템!
(5color)",,,27000,,5,"rgb(227, 188, 227);, rgb(242, 230, 182);, rgb(191, 225, 242);, rgb(255, 255, 255);, rgb(0, 0, 0);",니트티
