상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 드프 라운드 반팔 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62890&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=bGp3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049883.gif?1744243721,,19800,,23,"rgb(255, 255, 255);, rgb(252, 199, 189);, rgb(195, 217, 232);, rgb(19, 26, 54);, rgb(0, 0, 0);",라운드넥
[MADE] 다우니 모달 7부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62758&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=Z213UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049713.gif?1742430595,,16800,,157,"rgb(255, 255, 255);, rgb(245, 240, 215);, rgb(206, 222, 193);, rgb(87, 75, 68);, rgb(89, 89, 89);, rgb(0, 0, 0);",라운드넥
[MADE] 파인 유넥 모달 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62876&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=bm53Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049853.gif?1742194325,,16500,,61,"rgb(255, 255, 255);, rgb(245, 239, 225);, rgb(222, 213, 195);, rgb(221, 232, 200);, rgb(71, 57, 50);, rgb(0, 0, 0);",라운드넥
[MADE] 라글란 맨투맨 5부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62859&xcode=062&mcode=006&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=bmV%2B,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620060002393.gif?1744603595,,32500,,163,"rgb(255, 255, 255);, rgb(252, 249, 220);, rgb(245, 215, 215);, rgb(206, 225, 245);, rgb(207, 207, 207);, rgb(0, 0, 0);",라운드넥
델리 라글란 맨투맨 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56278&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=bml3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010040873.gif?1744880483,,14800,,519,"rgb(192, 181, 199);, rgb(245, 241, 233);, rgb(255, 239, 161);, rgb(161, 237, 202);, rgb(163, 163, 163);, rgb(0, 0, 0);",라운드넥
포밍 프릴 배색 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63022&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=bWp3UQ%3D%3D,"러블리한 디테일로 샤방샤방하게~
블라우스 대신 편하게 분위기내기 좋은 티
(3color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010050083.gif?1745399071,25000,23800,5,0,"rgb(255, 255, 255);, rgb(235, 223, 192);, rgb(0, 0, 0);",라운드넥
네르 라운드 슬라브 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=55026&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=bGl3UA%3D%3D,"은은한 슬라브결이 매력적인!
베이직해 활용도 높은 아이템
(5color) *겨자 5/2(금) 입고예정*",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010038923.gif?1690789816,,9800,,502,"rgb(255, 255, 255);, rgb(233, 183, 84);, rgb(164, 75, 69);, rgb(105, 76, 58);, rgb(0, 0, 0);",라운드넥
[MADE] 마농마고 슬라브 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61844&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=bm5%2BW14%3D,"가볍고 편안한 모달과 코튼 혼방과
자수포인트로 활용도 높은 데일리웨어
(5color) *4/30(수) 순차발송",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010048533.gif?1744865534,,18500,,205,"rgb(0, 0, 0);, rgb(255, 255, 255);, rgb(242, 199, 216);, rgb(117, 95, 75);, rgb(186, 186, 186);",라운드넥
오리지널 후로킹 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63012&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=bm1%2FW18%3D,"멋스러운 벨벳 프린팅이 매력 포인트~
트렌디한 무드가 느껴지는 반팔 티!
(4color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010050053.gif?1744967035,,22000,,0,"rgb(255, 255, 255);, rgb(29, 168, 66);, rgb(128, 87, 46);, rgb(77, 84, 78);",라운드넥
플레이 A라인 8부티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63005&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062001&search=&GfDT=aWt3VQ%3D%3D,"미운 군살들 죄다 커버해드려요^^
텐셀 혼방으로 쾌적하게 입기 좋은 소재
(4color)",,28500,27100,5,0,"rgb(255, 255, 255);, rgb(227, 134, 185);, rgb(232, 216, 200);, rgb(0, 0, 0);",라운드넥
