상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=aGV9,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",레깅스/트레이닝
[MADE] 에브리 세미와이드 데님 (ver2),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62841&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=bml4W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006553.gif?1743560252,46000,41400,10,195,"rgb(161, 189, 209);, rgb(67, 98, 138);",레깅스/트레이닝
[MADE] 치즈 시크릿 세미부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62711&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=bGt3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650040001703.gif?1744350593,39500,35600,10,131,"rgb(235, 232, 228);, rgb(20, 20, 20);",레깅스/트레이닝
[MADE] 치즈 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62710&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=Z2t3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006493.gif?1745398636,34500,31100,10,2,"rgb(223, 237, 221);, rgb(245, 244, 240);, rgb(0, 0, 0);",레깅스/트레이닝
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=aml3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",레깅스/트레이닝
안나 밴딩 조거 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62945&xcode=065&mcode=007&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=aW13UQ%3D%3D,"이지하게 세련된 꾸안꾸룩 완성될 조거팬츠
관리가 수월한 구김 걱정없는 원단감
(2color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650070003073.gif?1743037594,34500,31100,10,6,"rgb(204, 197, 173);, rgb(0, 0, 0);",레깅스/트레이닝
레이스 배색 투웨이 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62908&xcode=065&mcode=007&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=bmx3UA%3D%3D,"레이스가 레이어드 된 트레이닝 팬츠
밑단 스트링으로 와이드&조거 두 가지 연출 가능!
(3color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650070003063.gif?1742429679,27000,24300,10,3,"rgb(237, 237, 237);, rgb(171, 171, 171);, rgb(0, 0, 0);",레깅스/트레이닝
카고 투웨이 밴딩 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59985&xcode=065&mcode=007&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=b2V%2F,"트렌디한 무드의 카고 팬츠 디자인!
데일리로 이지하게~ 가성비 굿!
(F,L / 2color /숏,기본,롱)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650070002903.gif?1693990813,17800,16100,10,188,"rgb(0, 0, 0);, rgb(184, 184, 184);",레깅스/트레이닝
뉴트 벨로아 조거 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62480&xcode=065&mcode=007&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=amh3Ug%3D%3D,"트렌디하면서 데일리한 무드로~
따뜻하고 부드러워 찬 날씨에 활용 만점!
(3color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650070002993.gif?1731311884,42000,29400,30,4,"rgb(245, 244, 242);, rgb(194, 194, 194);, rgb(0, 0, 0);",레깅스/트레이닝
차르르 쿨링 밴딩팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62147&xcode=065&mcode=007&scode=&type=X&sort=manual&cur_code=065007&search=&GfDT=bmx%2BW1g%3D,"더위 걱정없이 입기 좋은 시원한 착용감 !
차르르 - 떨어지는 매끄러운 텍스처
(5color / S~L)",,36000,25200,30,11,"rgb(245, 242, 233);, rgb(191, 206, 217);, rgb(94, 87, 83);, rgb(71, 77, 82);, rgb(0, 0, 0);",레깅스/트레이닝
