상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bmx4W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",반바지
[MADE] 에브리 세미와이드 데님 (ver2),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62841&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=aml3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006553.gif?1743560252,46000,41400,10,195,"rgb(161, 189, 209);, rgb(67, 98, 138);",반바지
[MADE] 치즈 시크릿 세미부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62711&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=ZmZ3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650040001703.gif?1744350593,39500,35600,10,131,"rgb(235, 232, 228);, rgb(20, 20, 20);",반바지
[MADE] 치즈 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62710&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bm5%2BW18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006493.gif?1745398636,34500,31100,10,2,"rgb(223, 237, 221);, rgb(245, 244, 240);, rgb(0, 0, 0);",반바지
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=Z293VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",반바지
제이드 핀턱 6부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63013&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bmt7W1w%3D,"트렌디한 무드가 느껴지는 6부 길이
군살 커버해주는 여유로운 A라인 핏
(3color /S,M)",,36000,32400,10,0,"rgb(255, 255, 255);, rgb(204, 188, 155);, rgb(0, 0, 0);",반바지
라티 코튼 5부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63010&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=aG93UA%3D%3D,"허벅지 붙지 않아 날씬해 보이는 반바지
뒷밴딩으로 깔끔한 아웃핏
(3color / S~L)",,31000,27900,10,0,"rgb(252, 252, 252);, rgb(118, 146, 184);, rgb(0, 0, 0);",반바지
로라 절개 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61908&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=aWV%2F,"우수한 신축성과 전체 허리밴딩!
고급스러운 무드를 조아맘에서 즐겨보세요 -
(3color)",,36000,32400,10,1,"rgb(173, 151, 134);, rgb(43, 64, 148);, rgb(0, 0, 0);",반바지
[MADE] 르마레 트위드 5부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61601&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bmZ3Ug%3D%3D,"담백하고 탄탄한 핏의 트위드 소재로
허벅지 군살을 커버해줄,
센스있는 길이감의 하프 슬랙스!
(2color / S~L)",,49800,44900,10,7,"rgb(0, 0, 0);, rgb(245, 242, 233);",반바지
[MADE] 치즈 플레어 반바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62885&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=aGZ3VQ%3D%3D,"골반부터 밑단까지 퍼지는 A라인 실루엣
다리가 엄청 말라보이는 허벅지 군살 소멸 팬츠
(2color / M~L)",,35000,31500,10,9,"rgb(227, 216, 204);, rgb(0, 0, 0);",반바지
원턱 4부 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62984&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bG93VA%3D%3D,"탄탄하게 힘있는 데님소재&원턱A라인 핏으로
미운 허벅지 군살커버OK! 깔끔하고 경쾌한 4부 데님
(S~XXL) *L사이즈 4/30(수) 입고예정*",,34500,31100,10,1,"rgb(145, 163, 179);",반바지
피그먼트 워싱 5부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62971&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bm17W1o%3D,"피그먼트 워싱으로 빈티지하면서 산뜻한 컬러감!
포인트있는 캐주얼룩으로 즐겨주세요 :)
(4color / S~L)",,38000,34200,10,2,"rgb(163, 210, 227);, rgb(180, 217, 206);, rgb(237, 206, 221);, rgb(212, 178, 235);",반바지
[MADE] 앤드이지 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62840&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bm93Vg%3D%3D,"다리가 길어보이는 경쾌한 길이감에 여유로운 밑단
편안한 착용감의 허리 올밴딩+스트링 디테일!
(3color)",,29000,26100,10,12,"rgb(250, 215, 236);, rgb(210, 213, 217);, rgb(0, 0, 0);",반바지
[MADE] 블랙 데깅스 5부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61784&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bmx7W1Q%3D,"레깅스의 쫀쫀함과 데님의 탄탄함의 만남!
트렌디한 무드로 SS시즌 내내 활용도 높게~
(S~XL)",,37000,19800,46,20,"rgb(0, 0, 0);",반바지
미케 플리츠 반바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62156&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=Z2d3WA%3D%3D,"은은한 광택감의 탱글한 플리츠 원단!
A라인으로 예쁘게 떨어져 하체라인 군살도 완벽커버♥
(2color)",,31000,21700,30,3,"rgb(0, 0, 0);, rgb(191, 191, 159);",반바지
프레쉬 바이오워싱 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62085&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=aml3UFw%3D,"물 빠짐을 최소화해주는 바이오워싱 !
화사한 컬러감을 데일리하게 즐겨보세요
(2color / S~XL)",,34500,24100,30,6,"rgb(245, 193, 216);, rgb(205, 226, 250);",반바지
글로시 블라우스 팬츠 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62093&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bm57W11F,"데일리, 휴가룩 등으로 어울리는 아이템 !
은은한 광택감으로 고급스러운 무드의 세트
(2color)",,45000,40500,10,8,"rgb(240, 220, 182);, rgb(122, 119, 122);",반바지
[MADE] 트라이앵글 4부 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62069&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bWl3UF4%3D,"사이드 절개 포인트로 내추럴한 A라인 핏
탄탄한 코튼 소재로 오랫동안 입기 좋아요
(2color / S~XL)",,35000,31500,10,44,"rgb(145, 181, 207);, rgb(66, 80, 125);",반바지
워싱린넨 랩 3부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62054&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bWt3UF8%3D,"랩 디자인의 반바지로 여성스러운 무드와
편안함까지 더해준 쇼츠 소개해드려요-
(3color / F, L)",,33500,23400,30,37,"rgb(0, 0, 0);, rgb(247, 247, 247);, rgb(245, 239, 233);",반바지
레인보우 밴딩 반바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62050&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bm19W11A,"9가지 컬러 구성으로 폭 넓은 선택권 ♥
여기저기 다양하게 활용하기 좋아 추천 꾹 !
(9color)",,18500,12900,30,70,"rgb(255, 255, 255);, rgb(245, 243, 235);, rgb(222, 187, 184);, rgb(161, 143, 119);, rgb(145, 134, 97);, rgb(140, 136, 86);, rgb(153, 186, 194);, rgb(46, 49, 74);, rgb(0, 0, 0);",반바지
다이아몬드 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62038&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=aGd3UFk%3D,"다이아몬드 쉐입 포인트로 멋스러움 톡 !
세련된 캐주얼 무드를 느껴보세요 ♥
(S~XL)",,45000,31500,30,1,"rgb(159, 171, 187);",반바지
탄탄워싱 3부 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62011&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=Z293UFo%3D,"변형을 최소화해주는 탄탄한 소재 !
여기저기 매치하기 좋은 차분한 데님 컬러",,23500,12800,46,6,"rgb(76, 92, 125);",반바지
[MADE] 로우 린넨 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62019&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=aWV8Vg%3D%3D,"시원한 린넨 블랜딩의 고퀄 원단!
4부기장 와이드핏으로 군살 완벽커버:)
(3color / 1, 2)",,36000,19800,45,9,"rgb(0, 0, 0);, rgb(78, 132, 194);, rgb(250, 248, 242);",반바지
[MADE] 치즈 턱 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62003&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=aWV8WQ%3D%3D,"구김, 변형 걱정없는 치즈원단,
여유로운 4부 길이로 날씬핏 연출해보세요!
(3color / S~XL)",,29500,14800,50,112,"rgb(186, 180, 168);, rgb(40, 42, 66);, rgb(0, 0, 0);",반바지
투핀턱 카브라 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61999&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=aWt3UFU%3D,"투핀턱+카브라 디자인의 멋스러운 쇼츠
덴타가공으로 원단 변형 없이 오래 -!
(3color / S~L)",,42000,29400,30,4,"rgb(252, 252, 247);, rgb(145, 134, 122);, rgb(0, 0, 0);",반바지
[MADE] 쿨 분또 핀턱 반바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61989&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bmt%2FW15E,"마치 스커트인 듯 내추럴한 플레어 핏 ♥
우수한 신축성으로 편안한 착용감까지 완벽
(3color / M,L)",,29500,26600,10,27,"rgb(207, 196, 186);, rgb(240, 206, 216);, rgb(0, 0, 0);",반바지
레트빈 5부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61942&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bW53U10%3D,"트렌디한 캐주얼 무드를 연출해주는
5부 기장의 팬츠를 즐겨보세요 !
(4color / S~XL)",,36500,25500,30,15,"rgb(250, 250, 250);, rgb(205, 195, 186);, rgb(212, 188, 192);, rgb(0, 0, 0);",반바지
썸머 아노락 점프수트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61952&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=amV%2FUw%3D%3D,"데일리하게 활용하기 좋은 점프수트 !
가볍고 청량한 착용감을 선사드려요
(3color)",,29500,17700,40,5,"rgb(0, 0, 0);, rgb(222, 222, 222);, rgb(204, 200, 173);",반바지
[MADE] 무아 텐셀 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61890&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bmx4W15H,"셋업 or 단독으로 착용하기 좋은 팬츠 !
차분하고 세련된 무드가 느껴지는 컬러감
(2color/M,L)",,42000,37800,10,9,"rgb(135, 120, 107);, rgb(46, 51, 71);",반바지
더블버튼 반밴딩 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60685&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=a293U1g%3D,"깔끔한 오비라인에 더블버튼으로 세련된!
데일리부터 세미룩 스타일에도 좋은 4부 팬츠
(S~L / 4color)",,34500,24100,30,2,"rgb(195, 222, 210);, rgb(0, 0, 0);, rgb(230, 225, 190);, rgb(48, 46, 48);",반바지
테라스 밴딩 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60539&xcode=065&mcode=005&scode=&type=X&sort=manual&cur_code=065005&search=&GfDT=bmp4W15B,"여름시즌 내내 조아특가!!
여유 있는 4부 길이감으로 노출부담 없이 편안하게 컬러별로 쟁여도 후회 없을 데일리템! (6color)",,19800,13700,31,33,"rgb(255, 255, 255);, rgb(201, 187, 159);, rgb(231, 255, 219);, rgb(201, 239, 255);, rgb(27, 47, 84);, rgb(0, 0, 0);",반바지
