상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=Z2V9,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",배기핏
[MADE] 에브리 세미와이드 데님 (ver2),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62841&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bmx9W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006553.gif?1743560252,46000,41400,10,195,"rgb(161, 189, 209);, rgb(67, 98, 138);",배기핏
[MADE] 치즈 시크릿 세미부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62711&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=Zmt3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650040001703.gif?1744350593,39500,35600,10,131,"rgb(235, 232, 228);, rgb(20, 20, 20);",배기핏
[MADE] 치즈 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62710&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bGV%2B,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006493.gif?1745398636,34500,31100,10,2,"rgb(223, 237, 221);, rgb(245, 244, 240);, rgb(0, 0, 0);",배기핏
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bm1%2FW1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",배기핏
르베라 밴딩 배기 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=55972&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bW53UQ%3D%3D,"몇해째 베스트셀러 배기 팬츠의 귀환!
편안한 착용감에 멋스러움은 덤으로~
(2color / F,L)",,34500,31100,10,453,"rgb(0, 0, 0);, rgb(240, 226, 206);",배기핏
앤디 테이퍼드핏 면 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62814&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bm58W10%3D,"탄탄한 스판 원단에 테이퍼드핏의 면팬츠!
사선 앞넘김 절개 라인으로 유니크한 디자인
(3color / S~L)",,34500,31100,10,7,"rgb(247, 247, 237);, rgb(181, 196, 177);, rgb(156, 156, 156);",배기핏
아토 코듀로이 배기 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62504&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bGd3Uw%3D%3D,"포근함 느껴지는 코듀로이 소재
세미배기핏으로 누구나 데일리하게~
(4color / S~L)",,43000,30100,30,8,"rgb(191, 172, 191);, rgb(245, 238, 228);, rgb(45, 54, 84);, rgb(0, 0, 0);",배기핏
카치온 세미 배기 기모 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62451&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bmt3Ug%3D%3D,"구김이 적은 카치온사를 사용한 팬츠
피그먼트 워싱으로 멋스러움
(4color / S~L)",,49500,34600,30,7,"rgb(214, 205, 188);, rgb(143, 125, 101);, rgb(21, 40, 79);, rgb(74, 74, 74);",배기핏
아웃 포켓 배기 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60097&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bm95W1g%3D,"문의 폭주! 낙낙하게 멋스러운 배기핏
쫀득한 텐션감에 힘있는 소재 퀄리티 굿
(3color)",,45000,31500,30,4,"rgb(212, 172, 199);, rgb(0, 0, 0);, rgb(191, 187, 176);",배기핏
[MADE] 쿨 라인 배기 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61996&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=Z253VA%3D%3D,"1만장돌파!! 한여름에 입는 인생 배기 팬츠
쫀~득한 신축성! 무조건 깔별 쟁이세요
(4color / S~XXL)",,26500,23900,10,645,"rgb(242, 244, 245);, rgb(201, 201, 171);, rgb(104, 148, 127);, rgb(0, 0, 0);",배기핏
바스락 세미 배기핏 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61883&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bmx8W1o%3D,"편안하게 누구나 입기 좋은 세미배기 핏
와샤가공으로 쾌적하고 시원하게 -!
(4color / S~L)",,43500,30400,30,5,"rgb(0, 0, 0);, rgb(204, 192, 165);, rgb(242, 242, 242);, rgb(53, 61, 71);",배기핏
쿨 핀턱 배기 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60746&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bmx8W1s%3D,"아방한 배기핏에 쫀쫀하게 텐션감 굿!
시원한 쿨링감으로 온가족 여름 데일리 팬츠로 강추
(M~XL / 3color)",,23000,20700,10,34,"rgb(53, 58, 52);, rgb(0, 0, 0);, rgb(122, 132, 121);",배기핏
루시아 배기 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56993&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bWx3WQ%3D%3D,편한 무드의 멋스런 배기핏! 차분한 컬러감으로 데일리하게 굿 (5color),,18000,16200,10,124,"rgb(205, 193, 167);, rgb(126, 123, 106);, rgb(152, 162, 171);, rgb(19, 19, 19);, rgb(255, 255, 255);",배기핏
루더슨 밴딩 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56979&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=aW93WA%3D%3D,행/복/특/가 30% 할인 주문대폭주~가격 정말 대박이죠? 쫀득한 신축성으로 편안한 배기핏! (5color),,25000,17500,30,475,"rgb(199, 194, 183);, rgb(97, 107, 82);, rgb(102, 113, 115);, rgb(0, 0, 0);, rgb(250, 248, 237);",배기핏
[MADE] 치즈 포켓 배기팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62224&xcode=065&mcode=003&scode=&type=X&sort=manual&cur_code=065003&search=&GfDT=bml8W11E,"유행 타지 않는 완벽한 배기
쫄깃하고 도톰한 치즈원단으로 업그레이드!
(3color / M~XL / 기본,롱)",,38000,19800,48,49,"rgb(0, 0, 0);, rgb(235, 234, 230);, rgb(97, 97, 88);",배기핏
