상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=aGZ3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",부츠컷
[MADE] 에브리 세미와이드 데님 (ver2),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62841&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=bmp3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006553.gif?1743560252,46000,41400,10,195,"rgb(161, 189, 209);, rgb(67, 98, 138);",부츠컷
[MADE] 치즈 시크릿 세미부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62711&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=bWp3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650040001703.gif?1744350593,39500,35600,10,131,"rgb(235, 232, 228);, rgb(20, 20, 20);",부츠컷
[MADE] 치즈 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62710&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=bml5W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006493.gif?1745398636,34500,31100,10,2,"rgb(223, 237, 221);, rgb(245, 244, 240);, rgb(0, 0, 0);",부츠컷
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=bmt8W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",부츠컷
쫀득밴딩 슬릿 부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62848&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=a2h3UQ%3D%3D,"탄탄+쫀쫀한 원단에 세련된 부츠컷 핏과
밑단 슬릿 디테일로 한끗 멋스러운 슬랙스!
(3color / S~L)",,34500,31100,10,39,"rgb(245, 242, 233);, rgb(77, 78, 79);, rgb(0, 0, 0);",부츠컷
던 슬릿 부츠컷 밴딩 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62779&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=bmp%2BW14%3D,"탄탄+쫀쫀한 슬랙스 소재에 세련된 부츠컷!
뱃살쏙! 커버되는 와이드 밴딩에 슬림해보이는 다리 라인
(4color / S~XL)",,39800,35900,10,22,"rgb(235, 219, 211);, rgb(221, 227, 218);, rgb(102, 102, 102);, rgb(0, 0, 0);",부츠컷
제로컷 기모 부츠컷 데님,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61245&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=amt3Ug%3D%3D,"입는 순간 감탄 그자체, 다이어트 효과 톡톡한!
부해 보임 없는 기모 데님 팬츠에요
(S~XL)",,46000,41400,10,27,"rgb(0, 0, 0);",부츠컷
에딕트 히든밴딩 부츠컷 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59938&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=bml5W1g%3D,"데일리로 잘 입어질 부츠컷 라인!
쫀득쫀득~텐션감 좋은 코튼 소재
(S~L / 3color)",,37000,25900,30,41,"rgb(247, 247, 242);, rgb(132, 190, 177);, rgb(0, 0, 0);",부츠컷
[MADE] 슬림다운 부츠컷 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61773&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=bGx3VA%3D%3D,"탄탄한 원단에 슬림한 레그라인으로
입는 순간 한 사이즈 DOWN! 소장 추천♡
(2color/S-XXL/기본,롱)",,34500,27600,20,98,"rgb(0, 0, 0);, rgb(252, 252, 252);",부츠컷
날씬핏 골지 부츠컷 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62738&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065004&search=&GfDT=bmx4W1o%3D,"-5kg 날씬해 보이는 코듀로이 부츠컷 팬츠♡
""살 빠졌어?"" 소리 듣게 되는 날씬한 감탄핏!
(3color / S~L)",,38500,34700,10,13,"rgb(61, 42, 23);, rgb(71, 71, 71);, rgb(0, 0, 0);",부츠컷
