상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[2+1] [MADE] 24시간 숨쉬는 팬티 2탄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59994&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071004&search=&GfDT=amV9,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710050000903.gif?1678410243,38700,15800,59,20,"rgb(255, 238, 235);, rgb(0, 0, 0);",브라
세컨즈 텐셀 런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30935&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071004&search=&GfDT=bml%2BW10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000203.gif?1558486743,,9500,,586,"rgb(255, 255, 255);, rgb(0, 0, 0);, rgb(200, 168, 143);",브라
인견 노와이어 브라,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30917&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071004&search=&GfDT=a2l3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710040000363.gif?1401776181,,15800,,663,"rgb(243, 223, 214);, rgb(0, 0, 0);",브라
데일리 브라캡 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60192&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071004&search=&GfDT=bmx5W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000853.gif?1681266294,,15800,,46,"rgb(255, 255, 255);, rgb(107, 94, 94);, rgb(153, 153, 153);, rgb(245, 243, 233);, rgb(0, 0, 0);",브라
쿨실크 3부&5부 속바지 2종,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54563&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071004&search=&GfDT=Z293VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000833.gif?1594694389,,9000,,195,"rgb(255, 255, 255);, rgb(254, 224, 237);, rgb(0, 0, 0);",브라
365 레이스 브라,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59913&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071004&search=&GfDT=Zmx3UQ%3D%3D,"이렇게 편한데 로맨틱함까지 겸비한
#무봉제브라 #노와이어
(S,M / 2color)",,19800,7900,60,21,"rgb(247, 242, 240);, rgb(0, 0, 0);",브라
베이직 스포츠 브라,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30560&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071004&search=&GfDT=bmp5W10%3D,편안한 착용감에 가슴모양을 받쳐주어 예쁘고 편안한 면소재~! (L~3XL / 3color),,,15800,,227,"rgb(203, 199, 200);, rgb(228, 207, 196);, rgb(0, 0, 0);",브라
레이스 런닝 브라,https://www.joamom.co.kr/shop/shopdetail.html?branduid=16476&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071004&search=&GfDT=bmt0W14%3D,브라없이 편안하게 입어주세요~ (L~XXXL / 2color),,,18800,,281,"rgb(0, 0, 0);, rgb(254, 230, 251);",브라
인견 매쉬 브라런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54530&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071004&search=&GfDT=a2l3VQ%3D%3D,노와이어+인견의 청량한 착용감 브라 밑 매쉬소재 숨쉬듯 시원 (L ~ XXXL),,,18800,,135,"rgb(240, 223, 216);",브라
[MADE] 24시간 숨쉬는 브라런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=52499&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071004&search=&GfDT=am13VA%3D%3D,"아직도 불편함을 참고 계신가요?
이제 브라+나시 일체형으로 간편하게!
#노와이어 #무봉제 #올인원나시
(XS~XL / 2color)",,27000,13500,50,68,"rgb(235, 210, 205);, rgb(0, 0, 0);",브라
레이크 쥬라실 블루그레이,https://www.joamom.co.kr/shop/shopdetail.html?branduid=48269&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071004&search=&GfDT=bG93Vw%3D%3D,친환경 합섬유로 가볍고 편안하게! 오래오래 늘어짐없이~ 올 여름 베스트 (A-D컵),,,24900,,10,,브라
레이크 쥬라실 핑크,https://www.joamom.co.kr/shop/shopdetail.html?branduid=48270&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071004&search=&GfDT=bGx3Vg%3D%3D,친환경 합섬유로 가볍고 편안하게! 러블리한 핑크색으로 기분까지 화사하게! (A-D컵),,,24900,,1,,브라
