상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 드프 라운드 반팔 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62890&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=Zmp3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049883.gif?1744243721,,19800,,23,"rgb(255, 255, 255);, rgb(252, 199, 189);, rgb(195, 217, 232);, rgb(19, 26, 54);, rgb(0, 0, 0);",브이넥
[MADE] 다우니 모달 7부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62758&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=bm53UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049713.gif?1742430595,,16800,,157,"rgb(255, 255, 255);, rgb(245, 240, 215);, rgb(206, 222, 193);, rgb(87, 75, 68);, rgb(89, 89, 89);, rgb(0, 0, 0);",브이넥
[MADE] 파인 유넥 모달 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62876&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=bmp6W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049853.gif?1742194325,,16500,,61,"rgb(255, 255, 255);, rgb(245, 239, 225);, rgb(222, 213, 195);, rgb(221, 232, 200);, rgb(71, 57, 50);, rgb(0, 0, 0);",브이넥
[MADE] 라글란 맨투맨 5부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62859&xcode=062&mcode=006&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=bmx3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620060002393.gif?1744603595,,32500,,163,"rgb(255, 255, 255);, rgb(252, 249, 220);, rgb(245, 215, 215);, rgb(206, 225, 245);, rgb(207, 207, 207);, rgb(0, 0, 0);",브이넥
델리 라글란 맨투맨 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56278&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=bmp5W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010040873.gif?1744880483,,14800,,519,"rgb(192, 181, 199);, rgb(245, 241, 233);, rgb(255, 239, 161);, rgb(161, 237, 202);, rgb(163, 163, 163);, rgb(0, 0, 0);",브이넥
와플 스트라이프 카라 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60402&xcode=062&mcode=002&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=bm59W1w%3D,"깔끔하게 포인트 되는 스트라이프 카라 티!
와플짜임으로 갑갑하지 않고 매끄러운 착용감
(2color)",,,27000,,45,"rgb(245, 245, 245);, rgb(25, 33, 66);",브이넥
폴로니 V넥 7부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58447&xcode=062&mcode=002&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=aml3UA%3D%3D,"소프트하고 쫀쫀한 텐션으로 편해요
통통체형도 부담없는 낙낙한 핏!
(5color)",,,29500,,21,"rgb(255, 255, 255);, rgb(174, 170, 169);, rgb(233, 129, 170);, rgb(56, 188, 167);, rgb(0, 0, 0);",브이넥
스텔라 V넥 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58199&xcode=062&mcode=002&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=bmx%2BW14%3D,"낙낙한 여유핏감! 데일리로 너무 좋아요
소프트하고 쫀득한 코튼혼방, 착용감 굿
(4color)",,,29800,,37,"rgb(236, 236, 235);, rgb(233, 127, 172);, rgb(84, 194, 173);, rgb(0, 0, 0);",브이넥
딜라잇 V넥 스트라이프 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62356&xcode=062&mcode=002&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=a2t3Ug%3D%3D,"부담 없는 낙낙한 핏과 브이넥으로
착용하는 순간 여리한 무드로 완성~!
(4color)",,,22800,,23,"rgb(237, 237, 237);, rgb(156, 184, 141);, rgb(117, 78, 20);, rgb(0, 0, 0);",브이넥
후드 판초 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61551&xcode=062&mcode=002&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=bmx7W1g%3D,"이런 디자인이 세일로 남아있다니!
말도안되는 가격~~ 수량있을때 무조건 겟-!
(2color)",,33000,14500,56,11,"rgb(95, 122, 158);, rgb(247, 247, 247);",브이넥
지퍼 카라 맨투맨 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59064&xcode=062&mcode=002&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=aml3VA%3D%3D,라운딩에서도 연습장에서도 활용도 만점! 자수 포인트로 세련되고 트렌디한 핏! (3color),,36000,25200,30,2,"rgb(219, 219, 219);, rgb(69, 82, 66);, rgb(0, 0, 0);",브이넥
주느 레터링 니트 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61616&xcode=062&mcode=002&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=bmp%2BW1o%3D,"레터링 포인트로 레이어드하기 좋고
체형커버까지 완벽한 활용도 높은 니트 조끼
(3color)",,,21000,,38,"rgb(235, 234, 225);, rgb(40, 48, 71);, rgb(106, 158, 217);",브이넥
부클 V넥 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61526&xcode=062&mcode=002&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=Zm53Vg%3D%3D,"포근하면서 고급진 느낌의 부클원단
유연하고 가벼워 레이어드 하시기 넘 좋아요
(2color)",,39800,27800,30,1,"rgb(227, 223, 211);, rgb(171, 155, 144);",브이넥
바스락 자수 팬츠 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60429&xcode=062&mcode=002&scode=&type=X&sort=manual&cur_code=062002&search=&GfDT=bml8W1Q%3D,"쿨~한 소재로 산뜻하고 개운하게!
따로 또 같이 활용도 넘 좋은 세트 템!
(3color)",,,,,47,"rgb(183, 188, 216);, rgb(215, 209, 192);, rgb(0, 0, 0);",브이넥
