상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 마농 클래식 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62803&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=aWt3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630050008783.gif?1743581767,,37000,,68,"rgb(255, 255, 255);, rgb(182, 186, 143);, rgb(134, 160, 181);",블라우스
[MADE] 시어 쉬폰 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62835&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=Zmx3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630040019933.gif?1744248261,,29800,,15,"rgb(250, 250, 232);, rgb(250, 222, 242);, rgb(204, 204, 204);, rgb(0, 0, 0);",블라우스
웨스턴 데님 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62988&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=Z213Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630050008833.gif?1744349272,,29500,,2,"rgb(178, 206, 217);",블라우스
레이딘 린넨 스트링 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60233&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=a2Z3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630040018543.gif?1681719013,,25000,,30,"rgb(255, 255, 255);, rgb(222, 215, 170);",블라우스
클로시 스트라이프 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62956&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=a2p3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0630050008813.gif?1743495314,,25000,,3,"rgb(255, 184, 223);, rgb(161, 183, 255);",블라우스
투포켓 카라 7부 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63002&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bmV9,"단독으로는 물론 아우터로도 활용도 굿
코디 고민 없이 이지하게 즐기기 좋은 아이템
(3color)",,27000,25700,5,0,"rgb(255, 255, 255);, rgb(194, 184, 163);, rgb(22, 42, 71);",블라우스
[MADE] 케이프 텐셀 후드 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61930&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=aWZ3Uw%3D%3D,"얇은 텐셀 소재로 루즈하게 제작해 넘나 시원!
S/S 시즌 긴팔 셔츠로 적극 추천♡
(3color)",,39500,34800,12,56,"rgb(245, 240, 223);, rgb(92, 78, 64);, rgb(235, 176, 196);",블라우스
뮤젠 퍼프 배색 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63000&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bGh3Ug%3D%3D,"소녀처럼 사랑스러운 실루엣!
소재 배색으로 멋스러움까지
(3color)",,,34500,,185,"rgb(252, 252, 252);, rgb(242, 206, 203);, rgb(0, 0, 0);",블라우스
썸머린넨 반팔 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62137&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=amd3VQ%3D%3D,"따로 또는 함께 코디할 수 있어 활용도 UP
얇직하고 매끄러운 소재로 쾌적한 착용감 !
(3color)",,,32500,,8,"rgb(255, 255, 255);, rgb(209, 203, 174);, rgb(0, 0, 0);",블라우스
로라 배색 세일러 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61907&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bmt%2BW1k%3D,"탄탄한 조직감 + 탱탱한 신축성!
우아하면서 고급스러운 분위기가 물-씬♡
(3color)",,,38000,,11,"rgb(184, 164, 145);, rgb(31, 45, 196);, rgb(0, 0, 0);",블라우스
헤나 프릴 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62970&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=Zm53WQ%3D%3D,"단정하면서도 러블리한 무드가 전해지는 블라우스
프릴 디테일로 단품만으로도 포인드 톡톡
(2color)",,,55500,,1,"rgb(255, 255, 255);, rgb(104, 146, 252);",블라우스
네오 자수 코튼 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62968&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=Zmx3WA%3D%3D,"청량감 느껴지는 코튼 100%
적당히 힘있는 소재감으로 걸쳐입기 좋아요
(2color) *블루 5/1(월) 입고예정*",,,25000,,6,"rgb(255, 255, 255);, rgb(131, 174, 230);",블라우스
D링 백 포인트 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62953&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bm54W11F,"넥 백라인에 D링 장식으로 포인트를 주어
페미닌하면서 세련된 무드의 셔츠
(3color)",,,51500,,1,"rgb(255, 255, 255);, rgb(235, 211, 235);, rgb(0, 0, 0);",블라우스
로미 퍼프 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62937&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bmp1W11G,"풍성한 퍼프소매로 나의 분위기를 한층 더 UP♡
데일리, 출근룩 등 다양하게 코디하기 좋은 블라우스
(2color) *아이보리 4/29(화) 입고예정*",,,55500,,0,"rgb(255, 255, 255);, rgb(0, 0, 0);",블라우스
듀이 레이어드 랩 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62917&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bmh%2FW11H,"여유있는 길이감에 일체형 랩 레이어드 디자인
모달 혼방에 링클 원단으로 지금부터 쭈욱~
(2color)",,,39800,,1,"rgb(255, 255, 255);, rgb(22, 39, 61);",블라우스
릴리 세미크롭 코튼 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62905&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bm55W11A,"클린한 실루엣으로 스타일링 활용도 높은 디자인
탄탄하고 쾌적한 착용감을 자랑하는 코튼 소재
(3color)",,,36000,,1,"rgb(255, 255, 255);, rgb(252, 252, 164);, rgb(180, 151, 194);",블라우스
블루밍 뒷트임 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61774&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=a2h3UFk%3D,"코지하고 심플한 무드에 뒷트임 포인트까지♡
여유있는 핏으로 부담 없이 입어져요:)
(3color)",,,34500,,52,"rgb(93, 153, 111);, rgb(204, 175, 204);, rgb(255, 255, 255);",블라우스
앤뉴엘 퍼프 배색 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61793&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bm93UFo%3D,"입는 순간 우아하게 만들어 주는 퍼프소매
특별한 스타일링없이도 레이어드 한듯~
2color)",,,28500,,19,"rgb(0, 0, 0);, rgb(217, 217, 217);",블라우스
[MADE] 걱정마 블라우스 (+리뉴얼ver),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61599&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bmp1W11D,"구김이며 핏이며 걱정 할 게 없는 걱정마 블라우스♡
기계 세탁,건조기 마구 돌리세요~주름 걱정 끝!!
(5color)",,,42000,,735,"rgb(255, 255, 255);, rgb(156, 184, 186);, rgb(237, 221, 237);, rgb(227, 217, 168);, rgb(0, 0, 0);",블라우스
르메이 퍼프 밴딩 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60021&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bm59W11N,"아우터처럼 입기 좋은 퀄리티좋은 블라우스
볼륨감 있는 소매라인으로 페미닌한 무드
(2color)",,,45000,,7,"rgb(0, 0, 0);, rgb(255, 255, 255);",블라우스
스테딘 스트라이프 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59944&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=am53U1w%3D,봄시즌 꼭 필요한 스트라이프 딱 기본박시핏에 완성도 깔끔한 스테디아이템 (2color),,,39800,,22,"rgb(181, 201, 232);, rgb(247, 228, 247);",블라우스
[MADE] 앰버 셔링 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61746&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bmx9W15F,"청순하게 러블리한 무드의
루즈핏 셔링,퍼프 블라우스 소개해드려요:)
(3color)",,,53500,,10,"rgb(255, 255, 255);, rgb(245, 213, 245);, rgb(0, 0, 0);",블라우스
바인 A라인 남방,https://www.joamom.co.kr/shop/shopdetail.html?branduid=51012&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=a2l3U14%3D,단정하면서도 세련된 조아맘 스타일 언제든 갖춰입은 느낌으로~ 분위기 굿^^ (2color),,,45000,,165,"rgb(255, 255, 255);, rgb(136, 160, 211);",블라우스
필립 오픈카라 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62094&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bGx3U18%3D,"몸에 달라붙지 않고 매끄러운 텍스처 !
휘뚜루 마뚜루 활용하기 좋은 캐주얼 무드 -
(2color)",,,22000,,52,"rgb(255, 255, 255);, rgb(0, 0, 0);",블라우스
셀리아 퍼프 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62088&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bmx%2FW15A,"입체감이 돋보이는 유니크한 패턴 !
텐션 좋아서 생각보다 착용감 너무좋아요
(2color)",,39800,27800,30,1,"rgb(255, 255, 255);, rgb(0, 0, 0);",블라우스
페이즐리 A라인 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62031&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bm96W15B,"안입은듯이 너무나 가벼운 아사코튼 소재
고급스럽게 하나~요거 진짜 예뻐요!
(2color)",,49800,34800,30,4,"rgb(115, 95, 78);, rgb(249, 250, 247);",블라우스
[MADE] 시어서커 A라인 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61987&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=b2V%2FVw%3D%3D,"뉴컬러출시♡ 피부에 달라붙지 않는 시원한 여름셔츠,
구긱 걱정 없는 시어서커 소재!
(3color)",,,39800,,61,"rgb(255, 255, 255);, rgb(147, 186, 225);, rgb(0, 0, 0);",블라우스
[MADE] 이지 텐션 나시 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61988&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=aml3U1s%3D,"단독으로 입어도 부담스럽지 않은
고급스러운 슬리브리스 블라우스♡
(2color/1,2)",,,28000,,100,"rgb(0, 0, 0);, rgb(255, 255, 255);",블라우스
무드 린넨 보트넥 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61959&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=a2d3U1Q%3D,"여름에도 착용하기 좋은 린넨 혼방 소재 !
세련된 무드를 선사해주는 보트넥 디자인
(3color)",,28500,15800,45,11,"rgb(255, 255, 255);, rgb(163, 149, 135);, rgb(0, 0, 0);",블라우스
언발란스 린넨 워싱 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61910&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bmx5W15N,"유연제 워싱을 거쳐 더욱 보들보들한 터치감
언발란스 기장으로 유니크한 포인트를 톡 !
(4color)",,59000,41300,30,0,"rgb(255, 255, 255);, rgb(149, 70, 42);, rgb(52, 72, 145);, rgb(0, 0, 0);",블라우스
[MADE] 슬로우 엠보 셔츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61914&xcode=063&mcode=005&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bm94W19E,"티셔츠를 입은듯 편안한 루즈핏 셔츠,
쾌적한 착용감으로 구김 걱정 NO!
(3color/1,2)",,,39500,,13,"rgb(237, 234, 216);, rgb(186, 175, 117);, rgb(0, 0, 0);",블라우스
[MADE] 마가렛 자수 셔링 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61915&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=a2Z3Ul0%3D,"사랑스러운 실루엣, 낭만적인 디테일!
로맨틱한 무드 가득 담은 코튼 블라우스♡
(2color)",,,38000,,13,"rgb(255, 255, 255);, rgb(0, 0, 0);",블라우스
허그 린넨 스트링 블라우스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60783&xcode=063&mcode=004&scode=&type=X&sort=manual&cur_code=063&search=&GfDT=bmp9W19G,"내추럴하게 멋스러운,링클감이 더해진 린넨 소재!
자연스레 군살 커버 되는 캡소매 디자인
(3color)",,,32500,,22,"rgb(247, 244, 235);, rgb(194, 179, 171);, rgb(0, 0, 0);",블라우스
