상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 치즈 H라인 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62886&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=bmx0W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660020012363.gif?1743062596,,32500,,595,"rgb(247, 246, 242);, rgb(0, 0, 0);, rgb(157, 195, 204);",스커트
[MADE] 치즈 세미 A라인 롱 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62887&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=Zm13UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660020012373.gif?1743064902,,34500,,12,"rgb(247, 243, 235);, rgb(0, 0, 0);, rgb(121, 152, 166);",스커트
마일드 소프트 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61932&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=aWd3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660010031153.gif?1713975979,,24500,,33,"rgb(255, 255, 255);, rgb(0, 0, 0);",스커트
포미 벨 라인 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62203&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=bm97W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660020012043.gif?1721982066,,28500,,8,"rgb(235, 233, 230);, rgb(190, 202, 204);, rgb(101, 109, 110);",스커트
핀턱 비조 A라인 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58597&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=bmt%2BW1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660010028603.gif?1688949311,55000,52300,5,85,"rgb(159, 150, 132);, rgb(0, 0, 0);",스커트
코나 H라인 카고 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63003&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=aWh3UQ%3D%3D,"데일리로 가벼운 외출길에 캐주얼하게 착용 될
깔끔하게 떨어지는 낙낙한 H라인 실루엣
(2color)",,27000,25700,5,0,"rgb(196, 189, 171);, rgb(15, 35, 71);",스커트
리코 머메이드 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61926&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=bml7W10%3D,"쫀 - 득 ! 우수한 신축성을 자랑하는 소재
다양하게 활용하기 좋아 강력 추천드려요 :)
(5color)",,,22800,,10,"rgb(240, 216, 216);, rgb(212, 197, 182);, rgb(135, 121, 115);, rgb(104, 125, 125);, rgb(0, 0, 0);",스커트
코튼 셔링 밴딩 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60045&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=amd3Ug%3D%3D,"촘촘한 셔링으로 데일리로 사랑스럽게!
하체라인 군살도 예쁘게 커버해 주어요!
(3color)",,,37000,,5,"rgb(216, 211, 205);, rgb(150, 158, 161);, rgb(0, 0, 0);",스커트
로하이 플리츠 밴딩 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60325&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=aWh3VQ%3D%3D,"찰찰하면서도 쫀득하게 텐션감 굿!
잔잔한 플리츠로 슬림하고 날씬해 보여요
(4color)",,,25000,,7,"rgb(160, 186, 141);, rgb(222, 109, 115);, rgb(20, 24, 43);, rgb(0, 0, 0);",스커트
살랑 플레어 롱 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61909&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066002&search=&GfDT=amp3VA%3D%3D,"청순하고 여성스러운 무드 가득~♡
플레어 디자인+롱 길이로 하체군살 완벽커버!
(4color)",,,28500,,4,"rgb(255, 255, 255);, rgb(217, 211, 191);, rgb(240, 197, 210);, rgb(0, 0, 0);",스커트
