상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bm98W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",와이드핏
[MADE] 에브리 세미와이드 데님 (ver2),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62841&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bml%2FW10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006553.gif?1743560252,46000,41400,10,195,"rgb(161, 189, 209);, rgb(67, 98, 138);",와이드핏
[MADE] 치즈 시크릿 세미부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62711&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmt0W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650040001703.gif?1744350593,39500,35600,10,131,"rgb(235, 232, 228);, rgb(20, 20, 20);",와이드핏
[MADE] 치즈 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62710&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmp6W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006493.gif?1745398636,34500,31100,10,2,"rgb(223, 237, 221);, rgb(245, 244, 240);, rgb(0, 0, 0);",와이드핏
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmp3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",와이드핏
핀턱 와이드 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60231&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bm1%2BW1w%3D,"많은 사랑을 받은 낙낙한 와이드 핏!
가볍고 쾌적한 착용감으로 여름까지 쭉-
(S~L / 3color)",,32500,29300,10,6,"rgb(250, 249, 247);, rgb(187, 175, 128);, rgb(127, 119, 93);",와이드핏
로웰 핀턱 세미와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62967&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=aGZ3UA%3D%3D,"간결한 세미와이드 핏에 멋스러운 핀턱!
편안한 허리 뒷밴딩으로 착용감까지 굿
(5color / S~L)",,36000,32400,10,1,"rgb(179, 168, 157);, rgb(147, 179, 186);, rgb(14, 26, 71);, rgb(94, 94, 94);, rgb(0, 0, 0);",와이드핏
드레시 핀턱 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61862&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=Zmp3Uw%3D%3D,"인스타 문의폭주★트레이닝급 편안함!
무궁무진하게 활용가능한 슬랙스 :)
(3color) *라이트카키,베이지 4/28(월) 입고예정*",,28500,25700,10,13,"rgb(222, 215, 205);, rgb(121, 124, 115);, rgb(149, 136, 117);",와이드핏
세라 일자와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61872&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bml7W18%3D,"깔끔한 아웃핏과 편안함이 공존하는 히든밴딩
우수한 신축성으로 매일 함께하고 싶을 아이템 !
(2color / S~L)",,31000,27900,10,75,"rgb(0, 0, 0);, rgb(240, 236, 228);",와이드핏
라이트 와이드 8부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62982&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=aGt3VQ%3D%3D,"라이트한 무게감! 쫀득쫀득한 신축성-
데일리하게 착용되어질 와이드핏 8부 팬츠
(3color / S~L) *아이보리,L 4/21(월) 입고예정*",,36000,32400,10,0,"rgb(252, 252, 252);, rgb(184, 177, 149);, rgb(0, 0, 0);",와이드핏
