상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 치즈 H라인 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62886&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=Z2t3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660020012363.gif?1743062596,,32500,,595,"rgb(247, 246, 242);, rgb(0, 0, 0);, rgb(157, 195, 204);",원피스
[MADE] 치즈 세미 A라인 롱 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62887&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bW13UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660020012373.gif?1743064902,,34500,,12,"rgb(247, 243, 235);, rgb(0, 0, 0);, rgb(121, 152, 166);",원피스
마일드 소프트 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61932&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=a2p3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660010031153.gif?1713975979,,24500,,33,"rgb(255, 255, 255);, rgb(0, 0, 0);",원피스
포미 벨 라인 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62203&xcode=066&mcode=002&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=amh3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660020012043.gif?1721982066,,28500,,8,"rgb(235, 233, 230);, rgb(190, 202, 204);, rgb(101, 109, 110);",원피스
핀턱 비조 A라인 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58597&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=aGp3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660010028603.gif?1688949311,55000,52300,5,85,"rgb(159, 150, 132);, rgb(0, 0, 0);",원피스
플리츠 카라넥 롱 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62078&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=a2Z3UA%3D%3D,"고급스러운 분위기가 물씬 느껴지는 원피스
은은하게 빛나는 버튼으로 포인트를 톡 !
(3color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660010031373.gif?1718779123,,38000,,16,"rgb(28, 35, 64);, rgb(235, 225, 211);, rgb(0, 0, 0);",원피스
투포켓 퍼프 데님 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60248&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=aGx3Uw%3D%3D,"걸음마다 살랑~ 러블리한 데님 원피스!
가벼운 데님 소재로 산뜻하게 즐기기 좋아요",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0660010029843.gif?1681807313,,48000,,47,"rgb(85, 112, 152);",원피스
아델 V넥 조끼 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62969&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bml7W1g%3D,"A라인핏으로 떨어지는 걸리쉬한 느낌
시원하게 파인 V넥으로 얄쌍한 상체 실루엣!
(2color)",,,69800,,0,"rgb(219, 209, 173);, rgb(0, 0, 0);",원피스
레이어드 나시 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60093&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bmt3VA%3D%3D,"휘뚜루마뚜루 어떤 상의에도 레이어드하세요~
무조건 깔별 소장 강추드려요
(3color)",,,31000,,28,"rgb(0, 0, 0);, rgb(247, 247, 247);, rgb(216, 207, 193);",원피스
모나 맨투맨 배색 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62414&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=Zmp3Vw%3D%3D,"맨투맨+스커트 조합으로
하나만 입어도 특별한 코디완성
(2color)",,,42000,,3,"rgb(209, 206, 194);, rgb(81, 87, 94);",원피스
샴페인 어텀 A라인 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61121&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=a2l3Vg%3D%3D,"고급스런 버튼 포인트로 군살은 쏙~
슬림해 보이는 A라인핏~ 베스트셀러템!
(3color)",,,66500,,26,"rgb(204, 191, 175);, rgb(23, 25, 28);, rgb(0, 0, 0);",원피스
레이어드 반팔 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60117&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bW53WQ%3D%3D,"인스타로 반응폭발! 드디어 업뎃완료!
단품 착용시 한층 부담감을 덜어준
활용도 너무 좋은 레이어드 원피스
(3color)",,,32500,,11,"rgb(255, 255, 255);, rgb(220, 210, 192);, rgb(0, 0, 0);",원피스
블랑 슬리브리스 플리츠 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62938&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bm16W1U%3D,"클래식하면서 고급스러운 하객격식모임룩에 좋은~
탄탄한 폴리와 스판 혼방으로 깔끔핏!
(2color)",,,72500,,0,"rgb(194, 174, 147);, rgb(20, 31, 66);",원피스
V넥 스트라이프 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61796&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bmh%2FW11E,"여리여리~고급스러움이 듬뿍 담긴 원피스
체형에 맞게 허리 스트링 조절 가능해요-!
(2color)",,,46000,,9,"rgb(244, 241, 234);, rgb(0, 0, 0);",원피스
리올 데님 끈 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56179&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=Z2x3UF0%3D,데님원피스만으로 소녀스러운 감성! 여유있는 암홀로 이너구애없어요 (2color),,,31000,,79,"rgb(138, 160, 174);, rgb(48, 74, 101);",원피스
