상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
루나 카라 배색 7부 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62939&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=Z2p3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028633.gif?1742741135,,27000,,13,"rgb(255, 255, 255);, rgb(194, 194, 194);, rgb(29, 36, 54);",원피스/스커트
스프링 V넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62853&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=bWx3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028523.gif?1740719524,19800,17800,10,15,"rgb(247, 245, 230);, rgb(207, 199, 186);, rgb(39, 207, 140);, rgb(235, 185, 235);, rgb(30, 39, 84);, rgb(130, 130, 130);, rgb(0, 0, 0);",원피스/스커트
시즌 7부 니트 (2Types 라운드넥/브이넥),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61660&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=bmh8W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027603.gif?1711432607,,22800,,57,"rgb(255, 255, 255);, rgb(179, 80, 115);, rgb(212, 204, 197);, rgb(122, 107, 104);, rgb(255, 241, 171);, rgb(27, 34, 64);, rgb(0, 0, 0);",원피스/스커트
[MADE] 라붐 후드 니트 (홀가먼트),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61736&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=aGZ3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027683.gif?1745281284,53000,46700,12,27,"rgb(245, 245, 242);, rgb(247, 173, 199);, rgb(80, 172, 212);",원피스/스커트
세라카라 크로쉐 니트 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61984&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=bW53VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670050010203.gif?1715106013,,32500,,35,"rgb(208, 199, 192);, rgb(155, 196, 166);, rgb(0, 0, 0);",원피스/스커트
마일드 소프트 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61932&xcode=049&mcode=004&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=bmx3UQ%3D%3D,"휘뚜루 마뚜루 매일 즐기기 좋은 원마일 룩!
탱탱한 텐션감과 탄탄한 조직감의 소재
(3color)",,,24500,,33,"rgb(255, 255, 255);, rgb(0, 0, 0);",원피스/스커트
로로 니트 롱 원피스 (슬립set),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62120&xcode=049&mcode=004&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=aG93UA%3D%3D,"고급스러운 무드의 슬라브 니트 원피스
이너 슬립 세트로 구성되어있어요:)
(2color)",,89000,62300,30,0,"rgb(230, 219, 186);, rgb(18, 33, 94);",원피스/스커트
세일러 스트라이프 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59114&xcode=049&mcode=004&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=bmx7W14%3D,"데일리한 스트라이프 패턴
세일러 카라넥으로 사랑스럽게 포인트!
(3color)",,,43500,,16,"rgb(176, 166, 148);, rgb(0, 0, 0);",원피스/스커트
키에라 카라 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59106&xcode=049&mcode=004&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=amh3Ug%3D%3D,"깔끔하게 일자로 톡-떨어지는 고급진 무드
배색라인으로 세련되고 착용감도 좋아요
(2color)",,,42000,,7,"rgb(169, 154, 135);, rgb(0, 0, 0);",원피스/스커트
루트 주름 니트 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59086&xcode=049&mcode=004&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=bm99W1g%3D,어디에나 활용도 좋은 데일리 아이템! 자연스레 훌지는 라인으로 슬림해 보여요 (3color),,,31000,,16,"rgb(168, 144, 118);, rgb(213, 203, 193);, rgb(0, 0, 0);",원피스/스커트
신드 울 A라인 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=57272&xcode=049&mcode=004&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=bmh8W1k%3D,"자연스런 A라인, 우아한 실루엣!
울 캐시 혼방으로 소프트한 촉감
(2color)",,63000,18900,70,1,"rgb(179, 131, 108);, rgb(202, 192, 180);",원피스/스커트
루앙 플리츠 스커트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=55553&xcode=049&mcode=004&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=bml6W1o%3D,"매끄럽게 떨어지는 A라인
풀리츠 폭이 풍성해서 핏이 예뻐요
(5color)",,,28500,,71,"rgb(138, 126, 114);, rgb(213, 204, 197);, rgb(0, 0, 0);, rgb(95, 150, 129);, rgb(112, 112, 112);",원피스/스커트
골지 하이넥 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62653&xcode=049&mcode=004&scode=&type=Y&sort=manual&cur_code=049004&search=&GfDT=aGd3Vg%3D%3D,"롱~한 길이감으로 멋스런 무드로 활용!
비스코스+울혼방으로 맨살 자극없이 부드러워
(3color)",,,42000,,3,"rgb(235, 227, 218);, rgb(153, 153, 153);, rgb(0, 0, 0);",원피스/스커트
