상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=Zm53UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",일자핏
[MADE] 에브리 세미와이드 데님 (ver2),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62841&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm91W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006553.gif?1743560252,46000,41400,10,195,"rgb(161, 189, 209);, rgb(67, 98, 138);",일자핏
[MADE] 치즈 시크릿 세미부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62711&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=a2l3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650040001703.gif?1744350593,39500,35600,10,131,"rgb(235, 232, 228);, rgb(20, 20, 20);",일자핏
[MADE] 치즈 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62710&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm19W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006493.gif?1745398636,34500,31100,10,2,"rgb(223, 237, 221);, rgb(245, 244, 240);, rgb(0, 0, 0);",일자핏
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=aW53VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",일자핏
쫀득 밴딩 일자 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60011&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm59W1w%3D,"쫀득쫀득~ 활동적인 움직임도 편안한 팬츠!
데일리하게 입기 좋은 깔끔한 디자인
(3color / F~XXL)",,17800,16100,10,308,"rgb(50, 52, 69);, rgb(0, 0, 0);, rgb(184, 174, 152);",일자핏
어게인 일자 세미 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62784&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=Z2x3UA%3D%3D,"탱글쫀쫀한 소재감에 날씬하게 떨어지는 핏
길이수선 필요없는 2가지 길이 옵션선택
(4color / S~XL / 숏,롱)",,38000,34200,10,32,"rgb(242, 237, 235);, rgb(145, 145, 145);, rgb(53, 52, 69);, rgb(0, 0, 0);",일자핏
[MADE] 치즈 시크릿 일자 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62708&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bmx6W14%3D,"구김가는 바지 요즘 누가 입어요~관리 수월한 완벽한 바지
허벅지부터 밑단까지 깔끔하게 똑 덜어지는 만능 슬랙스
(3color / S~XXL / 기본,롱)",,37000,33300,10,591,"rgb(222, 217, 211);, rgb(0, 0, 0);",일자핏
폴 반밴딩 일자 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62474&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=Zm53Ug%3D%3D,"포근한 울터치감의 기본 슬랙스
편안한 반밴딩에 슬림 일자핏으로 날씬~
(4coolor / S~L)",,38000,26600,30,8,"rgb(245, 244, 240);, rgb(143, 136, 123);, rgb(61, 59, 61);, rgb(0, 0, 0);",일자핏
탄탄핏 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61718&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=amV5,"깔끔하게 떨어지는 스트레이트 핏!
캐쥬얼하면서도 모던한 무드로 착용감 굿♥
(4color/S~L)",,39800,27800,30,1,"rgb(255, 255, 255);, rgb(235, 218, 235);, rgb(209, 199, 188);, rgb(0, 0, 0);",일자핏
조이 피그먼트 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61654&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bWZ3VA%3D%3D,"피그먼트 워싱으로 산뜻한 컬러감이 완성된,
지금 시즌 딱 입기 좋은 와이드 데님!!
(S~XL/5color)",,35800,25000,30,9,"rgb(237, 231, 223);, rgb(230, 142, 190);, rgb(250, 220, 220);, rgb(181, 207, 232);, rgb(213, 237, 223);",일자핏
더캐리 기모 반밴딩 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61495&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bmV7,"깔끔하게 톡-떨어지는 일자핏 슬랙스!
쫀쫀한 텐션감으로 보온성과 편안함까지
(S,M,L/2color)",,42000,37800,10,31,"rgb(0, 0, 0);, rgb(230, 226, 213);",일자핏
코지 포켓 와이드 면팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61229&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bmp%2BW1s%3D,"부드럽고 짱짱한 텐션의 속기모 원단으로
포근하고 여유롭게~트렌디한 세미 와이드핏
(S~L / 3color)",,43000,30100,30,12,"rgb(242, 237, 223);, rgb(105, 84, 65);, rgb(0, 0, 0);",일자핏
COOL 텐셀 배기 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62198&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bG13WQ%3D%3D,"우수한 신축성과 안 입은 듯 라이트한 텐셀 팬츠!
YKK 파스너를 사용하여 퀄리티를 높였어요
(5color / S~XXL / 숏, 기본, 롱)",,22800,20600,10,20,"rgb(211, 233, 235);, rgb(227, 226, 207);, rgb(232, 204, 215);, rgb(168, 168, 168);, rgb(43, 43, 43);",일자핏
레이 하프밴딩 린넨 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62002&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=a2h3WA%3D%3D,"쾌적한 착용감을 주는 린넨 블렌딩 소재
쫀득한 신축성으로 착용감까지 완벽해요 !
(3color / S~L)",,39800,27800,30,20,"rgb(222, 216, 202);, rgb(99, 88, 84);, rgb(0, 0, 0);",일자핏
