상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 포슈 아플리케 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61783&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bWt3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020008923.gif?1744616879,,67000,,127,"rgb(252, 252, 245);, rgb(0, 0, 0);",자켓
아방핏 반하이넥 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62976&xcode=067&mcode=003&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bmt4W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670030009093.gif?1744699360,,29500,,8,"rgb(255, 255, 255);, rgb(186, 171, 143);, rgb(0, 0, 0);",자켓
맥 스트링 하프 야상 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62952&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=aWd3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670010013213.gif?1743726086,38000,34200,10,14,"rgb(212, 201, 176);, rgb(193, 210, 217);, rgb(186, 186, 182);, rgb(0, 0, 0);",자켓
마카롱 루즈핏 코튼 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62950&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bm99W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020009483.gif?1744103194,,29500,,3,"rgb(255, 255, 255);, rgb(255, 235, 138);, rgb(179, 210, 245);, rgb(255, 173, 211);",자켓
헨리넥 소프트 레더자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62880&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bGl3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020009393.gif?1742186676,,59500,,10,"rgb(250, 246, 237);, rgb(219, 207, 145);, rgb(0, 0, 0);",자켓
엘린 소매 롤업 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63006&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bml3UQ%3D%3D,"바스락한 터칭감에 가벼워 안입은 듯 멋스러운
오버핏에 소매 롤업으로 지금부터 쭈욱 활용
(2color)",,,55000,,0,"rgb(255, 255, 255);, rgb(104, 107, 90);",자켓
[MADE] 버넷 윈드 야상 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61886&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bGp3UA%3D%3D,"쾌적하고 산뜻한 여름 바람막이 소재♡
프리미엄 사파리 야상 자켓!
(2color)",,,57000,,10,"rgb(235, 226, 216);, rgb(159, 162, 155);",자켓
[MADE] 르마레 트위드 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61588&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=aW93Ug%3D%3D,"고급스럽고 페미닌한 무드의 브이넥 자켓,
이런 자켓 하나면 일주일 코디 걱정 끝♡
(2color / 1,2)",,,79000,,27,"rgb(0, 0, 0);, rgb(252, 251, 245);",자켓
플러티 바스락 7부 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62974&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bm97W1g%3D,"바스락한 질감으로 초여름까지~
단정하면서 페미닌한 무드의 자켓
(2color)",,,28500,,6,"rgb(204, 192, 173);, rgb(110, 102, 96);",자켓
크링클 라운드 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61874&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bmh%2FW1k%3D,"브랜드 감성 듬뿍담긴- 입체적인 텍스쳐★
보금언니랑 같이 입어요 :)
(2color)",,,59000,,8,"rgb(255, 255, 255);, rgb(0, 0, 0);",자켓
언노운 데님 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62933&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bmt3Vw%3D%3D,"여유있는 핏에 6부소매 기장으로 봄시즌
어떤 코디에도 척척! 활용도 높은 데님자켓",,,44000,,4,"rgb(53, 76, 94);",자켓
티어린 핀턱 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61836&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=aGZ3WQ%3D%3D,"가디건처럼 가볍게 툭 걸치기 좋아요!
여기저기 매치하기 좋은 캐주얼한 디자인
(2color)",,,39800,,6,"rgb(0, 0, 0);, rgb(247, 246, 240);",자켓
쥬드 세라카라 코튼자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61834&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067002&search=&GfDT=bm94W1U%3D,"요즘대세 리치맘 룩♡
기분내고 싶은 특별한날 함께해요-!
(2color)",,,49800,,2,"rgb(168, 157, 140);, rgb(0, 0, 0);",자켓
