상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 포슈 아플리케 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61783&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=aWZ3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020008923.gif?1744616879,,67000,,127,"rgb(252, 252, 245);, rgb(0, 0, 0);",점퍼
아방핏 반하이넥 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62976&xcode=067&mcode=003&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=Zmx3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670030009093.gif?1744699360,,29500,,8,"rgb(255, 255, 255);, rgb(186, 171, 143);, rgb(0, 0, 0);",점퍼
맥 스트링 하프 야상 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62952&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmp3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670010013213.gif?1743726086,38000,34200,10,14,"rgb(212, 201, 176);, rgb(193, 210, 217);, rgb(186, 186, 182);, rgb(0, 0, 0);",점퍼
마카롱 루즈핏 코튼 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62950&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmt0W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020009483.gif?1744103194,,29500,,3,"rgb(255, 255, 255);, rgb(255, 235, 138);, rgb(179, 210, 245);, rgb(255, 173, 211);",점퍼
헨리넥 소프트 레더자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62880&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bm18W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020009393.gif?1742186676,,59500,,10,"rgb(250, 246, 237);, rgb(219, 207, 145);, rgb(0, 0, 0);",점퍼
튜즈데이 하프넥 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=63007&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=Zmx3UQ%3D%3D,"[기획특가]시원함 절로 느껴지는 바스락템!
바람막이용으로 휴대하기에도 좋은 가벼움
(2color)",,42000,29400,30,0,"rgb(199, 187, 165);, rgb(0, 0, 0);",점퍼
모리든 밴딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56240&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=aGp3UA%3D%3D,"가벼운 바람막이 장만하세요!
매시즌 꼭 필요한 아이템
(5color)",,,34500,,508,"rgb(247, 247, 247);, rgb(26, 26, 59);, rgb(0, 0, 0);, rgb(209, 201, 188);, rgb(165, 193, 199);",점퍼
플레트 바스락 봄버 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60027&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=aG13Uw%3D%3D,"가볍게 툭툭 잘 입어질 봄버 자켓
간절기 시즌 데일리 점퍼로 활용도 굿
(2color)",,,46000,,115,"rgb(217, 205, 186);, rgb(0, 0, 0);",점퍼
웨더리스 썸머 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61927&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bWt3VQ%3D%3D,"변덕심한 날씨에 대비하기 좋은 만능 점퍼!
어디든 가볍게 걸치기 좋아~
(5color)",,,31000,,135,"rgb(255, 255, 255);, rgb(209, 195, 176);, rgb(232, 217, 139);, rgb(184, 191, 174);, rgb(0, 0, 0);",점퍼
하이넥 스트링 윈드 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62958&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=a213VA%3D%3D,"일상에서 가볍게 즐기기 좋은 바스락한 윈드점퍼!
하이넥&스트링 디자인으로 캐쥬얼하게 즐겨주세요
(3color)",,,45800,,0,"rgb(224, 214, 191);, rgb(169, 199, 204);, rgb(0, 0, 0);",점퍼
아워 롱 트렌치 야상 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61845&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmh3Vw%3D%3D,"간절기 아우터의 장점들만 쏙-
실용적이면서 여성스러운 무드의 아우터!
(3color)",,,74000,,6,"rgb(237, 234, 228);, rgb(163, 140, 124);, rgb(0, 0, 0);",점퍼
노튼 하이넥 루즈핏 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62940&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=aW13Vg%3D%3D,"매력적인 아방한 핏에 가벼운 홑겹 점퍼
힘있는 소재감이라 착용했을 때 핏이 예뻐요♥
(3color)",,,68500,,1,"rgb(250, 248, 232);, rgb(191, 181, 155);, rgb(89, 99, 77);, rgb(0, 0, 0);",점퍼
몽 후드 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61776&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bm14W1Q%3D,"탄탄하면서도 바스락한 터치감의 퀄리티 좋은 자켓 :)
하나만 툭 걸쳐도 멋스러운 세미캐쥬얼룩 완성!
(3color)",,,78000,,7,"rgb(0, 0, 0);, rgb(250, 250, 250);, rgb(196, 190, 173);",점퍼
