상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
루나 카라 배색 7부 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62939&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=bmx1W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028633.gif?1742741135,,27000,,13,"rgb(255, 255, 255);, rgb(194, 194, 194);, rgb(29, 36, 54);",조끼
스프링 V넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62853&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=bm55W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028523.gif?1740719524,19800,17800,10,15,"rgb(247, 245, 230);, rgb(207, 199, 186);, rgb(39, 207, 140);, rgb(235, 185, 235);, rgb(30, 39, 84);, rgb(130, 130, 130);, rgb(0, 0, 0);",조끼
시즌 7부 니트 (2Types 라운드넥/브이넥),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61660&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=bmx5W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027603.gif?1711432607,,22800,,57,"rgb(255, 255, 255);, rgb(179, 80, 115);, rgb(212, 204, 197);, rgb(122, 107, 104);, rgb(255, 241, 171);, rgb(27, 34, 64);, rgb(0, 0, 0);",조끼
[MADE] 라붐 후드 니트 (홀가먼트),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61736&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=aWl3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027683.gif?1745281284,53000,46700,12,27,"rgb(245, 245, 242);, rgb(247, 173, 199);, rgb(80, 172, 212);",조끼
세라카라 크로쉐 니트 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61984&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=Z2V5,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670050010203.gif?1715106013,,32500,,35,"rgb(208, 199, 192);, rgb(155, 196, 166);, rgb(0, 0, 0);",조끼
스팽글 니트 뷔스티에,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62869&xcode=049&mcode=003&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=bm54W1w%3D,"반짝반짝 스팽글과 글리터 원사의 뷔스티에
지금부터 초여름까지 다양한 이너와 활용 굿
(2color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670030009063.gif?1743489309,,36000,,0,"rgb(191, 179, 151);, rgb(0, 0, 0);",조끼
스트라이프 스카시 니트 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60084&xcode=049&mcode=003&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=aGd3UA%3D%3D,"내추럴하면서도 여릿한 스카시 짜임
여름까지 쭉-즐기기좋은 라이트한 착용감
(3color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670030007893.gif?1680080073,,26500,,43,"rgb(233, 245, 247);, rgb(219, 216, 208);, rgb(0, 0, 0);",조끼
피셔 브이넥 니트 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59853&xcode=049&mcode=003&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=bW13Uw%3D%3D,"톡톡한 피셔맨 짜임으로 센스있게 포인트
백라인 부담없는 언발길이로 체형커버 굿
(4color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050025573.gif?1675752285,,14800,,71,"rgb(245, 242, 235);, rgb(212, 176, 176);, rgb(159, 181, 174);, rgb(0, 0, 0);",조끼
레노 아가일 니트 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62855&xcode=049&mcode=003&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=am53Ug%3D%3D,"셔츠나 티 위 다양하게 레이어드 하기 좋은 니트 조끼
아가일 패턴에 깔끔하고 클래식한 분위기
(3color)",,,19800,,4,"rgb(222, 140, 204);, rgb(63, 162, 204);, rgb(0, 0, 0);",조끼
쿠쿠 스트라이프 니트 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62762&xcode=049&mcode=003&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=bWp3VQ%3D%3D,"입체감 느껴지는 와플짜임의 집업 니트 조끼
바지나 스커트에 레이어드하기 좋아 추천드려요!
(3color)",,,25000,,1,"rgb(237, 234, 221);, rgb(139, 169, 199);, rgb(0, 0, 0);",조끼
엘 터틀넥 니트 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62452&xcode=049&mcode=003&scode=&type=Y&sort=manual&cur_code=049003&search=&GfDT=aGV4,"앞뒤 막 바꿔 입을 수 있는 니트 조끼
따뜻한 터틀넥에 믹스 짜임으로 멋스러워요
(2color)",,,28500,,1,"rgb(172, 175, 176);, rgb(0, 0, 0);",조끼
