상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 포슈 아플리케 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61783&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=bml8W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020008923.gif?1744616879,,67000,,127,"rgb(252, 252, 245);, rgb(0, 0, 0);",코트
아방핏 반하이넥 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62976&xcode=067&mcode=003&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=aGx3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670030009093.gif?1744699360,,29500,,8,"rgb(255, 255, 255);, rgb(186, 171, 143);, rgb(0, 0, 0);",코트
맥 스트링 하프 야상 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62952&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=amx3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670010013213.gif?1743726086,38000,34200,10,14,"rgb(212, 201, 176);, rgb(193, 210, 217);, rgb(186, 186, 182);, rgb(0, 0, 0);",코트
마카롱 루즈핏 코튼 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62950&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=bmp9W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020009483.gif?1744103194,,29500,,3,"rgb(255, 255, 255);, rgb(255, 235, 138);, rgb(179, 210, 245);, rgb(255, 173, 211);",코트
헨리넥 소프트 레더자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62880&xcode=067&mcode=002&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=Zml3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670020009393.gif?1742186676,,59500,,10,"rgb(250, 246, 237);, rgb(219, 207, 145);, rgb(0, 0, 0);",코트
로로 밍크퍼 롱 코트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62663&xcode=067&mcode=004&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=amt3UQ%3D%3D,"보금언니 강추★ 리얼 밍크같은 고급스러움!
무겁지 않아 스타일부터 실용성까지 만족~
(2color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670040005743.gif?1734926654,,74000,,4,"rgb(232, 225, 216);, rgb(112, 101, 84);",코트
후드 스트링 핸드메이드 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62497&xcode=067&mcode=004&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=bWl3UA%3D%3D,"울함량 높아 보온성 좋은 후드 자켓
방방한 핏으로 경쾌하게 입어요~
(2color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670040005703.gif?1730347554,,108500,,0,"rgb(242, 240, 230);, rgb(94, 84, 72);",코트
모노 후드 핸드메이드 코트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61130&xcode=067&mcode=004&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=Zmp3Uw%3D%3D,"은은하게 윤기나는 카멜헤어 블렌딩 소재,
우아한 무드로 폭-걸쳐 주기 좋아요
(2color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670040005493.gif?1705988645,159000,110000,31,7,"rgb(0, 0, 0);, rgb(69, 69, 69);",코트
부클 체크 롱 코트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62646&xcode=067&mcode=004&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=amh3Ug%3D%3D,"클래식한 멋스러움이 담긴 체크패턴!
멋스러운 루즈핏의 롱 코트",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670040005733.gif?1733814426,,46000,,0,"rgb(0, 0, 0);",코트
모딕 후드 누빔 울 자켓,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62585&xcode=067&mcode=004&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=bm19W1g%3D,"흔하지 않은 디자인의 후디형 숏 자켓!
울 혼방으로 따뜻하고 탄탄한 조직의 소재감
(2color)",,,108500,,2,"rgb(0, 0, 0);, rgb(46, 34, 22);",코트
윈터 후드 롱 무스탕,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62558&xcode=067&mcode=004&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=bWZ3VA%3D%3D,"넉넉한 핏감에 후드 달린 든든한 덤블 무스탕
오버한 느낌의 멋스럽고 캐주얼한 무드!
(2color)",,,93000,,1,"rgb(135, 132, 119);, rgb(79, 66, 46);",코트
[MADE] 캐시미어 숄카라 핸드메이드 하프코트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62407&xcode=067&mcode=004&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=bm5%2FW1o%3D,"[캐시미어10% 파인울80%]
부드럽게 떨어지는 숄 카라로,
우아한을 듬뿍 담은 활용도 높은 하프코트",,228000,99000,57,5,"rgb(8, 8, 8);, rgb(107, 92, 78);",코트
막스 울배색 다운 패딩 코트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61223&xcode=067&mcode=004&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=amt3Vg%3D%3D,"브랜드st의 고급스러움에 반하고 다운90%의 가벼움에 놀라는
정말 멋스러운 패딩 코트
(2color)",,148000,74000,50,8,"rgb(0, 0, 0);, rgb(163, 143, 113);",코트
어반 체크 핸드메이드 코트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61221&xcode=067&mcode=004&scode=&type=X&sort=manual&cur_code=067004&search=&GfDT=bWd3WQ%3D%3D,"울 50% 헤어리한 소재감으로 고급스러운,
클래식하게 멋스러운 더블 버튼 디자인",,117000,59000,50,9,"rgb(0, 0, 0);",코트
