상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[2+1] [MADE] 24시간 숨쉬는 팬티 2탄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59994&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071005&search=&GfDT=bml1W1w%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710050000903.gif?1678410243,38700,15800,59,20,"rgb(255, 238, 235);, rgb(0, 0, 0);",팬티
세컨즈 텐셀 런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30935&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071005&search=&GfDT=a213UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000203.gif?1558486743,,9500,,586,"rgb(255, 255, 255);, rgb(0, 0, 0);, rgb(200, 168, 143);",팬티
인견 노와이어 브라,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30917&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071005&search=&GfDT=bml9W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710040000363.gif?1401776181,,15800,,663,"rgb(243, 223, 214);, rgb(0, 0, 0);",팬티
데일리 브라캡 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60192&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071005&search=&GfDT=bmx%2FW18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000853.gif?1681266294,,15800,,46,"rgb(255, 255, 255);, rgb(107, 94, 94);, rgb(153, 153, 153);, rgb(245, 243, 233);, rgb(0, 0, 0);",팬티
쿨실크 3부&5부 속바지 2종,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54563&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071005&search=&GfDT=amx3VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000833.gif?1594694389,,9000,,195,"rgb(255, 255, 255);, rgb(254, 224, 237);, rgb(0, 0, 0);",팬티
아이스 쿨링 타공 팬티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=52506&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071005&search=&GfDT=a2p3UQ%3D%3D,시원하고 산뜻한 소재감으로 찝찝하고 답답한 날에도 OK (L~3XL / 3color),,,6000,,204,"rgb(223, 202, 201);, rgb(229, 202, 207);, rgb(0, 0, 0);",팬티
[MADE] 24시간 숨쉬는 팬티 2탄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=53037&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071005&search=&GfDT=bmh%2FW10%3D,"지금까지 불편함을 참고 계셨다면
자극없이 숨쉬는 팬티로 바꿔보세요!
(S~L / 2color)",,12900,6400,50,183,"rgb(255, 238, 235);, rgb(0, 0, 0);",팬티
인견 심리스 팬티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54532&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071005&search=&GfDT=am53Ug%3D%3D,민망한 팬티 라인 감춰주는 누디핏! 여름엔 시원한 인견만한게 없죠^^ (M ~ XXL),,,8000,,20,"rgb(236, 218, 216);",팬티
아이스 타공인견 팬티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=52605&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071005&search=&GfDT=bmx7W1g%3D,일명 냉장고 섬유라고 불리는 인견 시원하다는 건 다들 아시죠~? (L~2XL),,,8000,,96,"rgb(229, 200, 204);, rgb(0, 0, 0);",팬티
물결 올 누디 팬티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=52513&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071005&search=&GfDT=Z2p3VA%3D%3D,팬티 자국없이 편안한 누디라인! 요즘 계절에 이런아이템 꼭! 필요하죠~ (L~2XL / 3color),,,9000,,10,"rgb(243, 213, 215);, rgb(207, 169, 168);, rgb(0, 0, 0);",팬티
누디 소프트 팬티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30919&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071005&search=&GfDT=bmp5W1o%3D,"팬티라인의 비침걱정없는 햄라인 팬티! (90,95 / 2color)",,,9000,,63,"rgb(219, 201, 179);, rgb(0, 0, 0);",팬티
