상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 드프 라운드 반팔 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62890&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=bWh3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049883.gif?1744243721,,19800,,23,"rgb(255, 255, 255);, rgb(252, 199, 189);, rgb(195, 217, 232);, rgb(19, 26, 54);, rgb(0, 0, 0);",폴라/터틀넥
[MADE] 다우니 모달 7부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62758&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=bmp0W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049713.gif?1742430595,,16800,,157,"rgb(255, 255, 255);, rgb(245, 240, 215);, rgb(206, 222, 193);, rgb(87, 75, 68);, rgb(89, 89, 89);, rgb(0, 0, 0);",폴라/터틀넥
[MADE] 파인 유넥 모달 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62876&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=bm13Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010049853.gif?1742194325,,16500,,61,"rgb(255, 255, 255);, rgb(245, 239, 225);, rgb(222, 213, 195);, rgb(221, 232, 200);, rgb(71, 57, 50);, rgb(0, 0, 0);",폴라/터틀넥
[MADE] 라글란 맨투맨 5부 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62859&xcode=062&mcode=006&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=bm10W18%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620060002393.gif?1744603595,,32500,,163,"rgb(255, 255, 255);, rgb(252, 249, 220);, rgb(245, 215, 215);, rgb(206, 225, 245);, rgb(207, 207, 207);, rgb(0, 0, 0);",폴라/터틀넥
델리 라글란 맨투맨 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56278&xcode=062&mcode=001&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=Zm13VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620010040873.gif?1744880483,,14800,,519,"rgb(192, 181, 199);, rgb(245, 241, 233);, rgb(255, 239, 161);, rgb(161, 237, 202);, rgb(163, 163, 163);, rgb(0, 0, 0);",폴라/터틀넥
도브 울 터틀넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62473&xcode=062&mcode=004&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=bm97W1w%3D,"모든 레이어드에 찰떡으로 입기 좋아요!
베이직한 디자인으로 활용도 good
(6color)",,22000,15400,30,14,"rgb(230, 222, 197);, rgb(186, 180, 166);, rgb(122, 87, 42);, rgb(99, 99, 99);, rgb(36, 36, 36);, rgb(0, 0, 0);",폴라/터틀넥
머스트 텐셀 폴라 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62447&xcode=062&mcode=004&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=bm99W10%3D,"얇직하지만 쫀쫀하고 탱글한 소재감으로
지금부터 겨울내내 이너로 활용하기 좋아요♥
(7color)",,,22000,,25,"rgb(255, 255, 255);, rgb(219, 180, 207);, rgb(99, 98, 65);, rgb(99, 46, 31);, rgb(51, 43, 30);, rgb(17, 54, 44);, rgb(0, 0, 0);",폴라/터틀넥
네스티 베이직 폴라 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61214&xcode=062&mcode=004&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=aWZ3Uw%3D%3D,"까슬함 전혀 없는 부드러운 니트 소재+깔끔한 핏감에
매일 같이 함께 하기 좋은 데일리 템이에요
(4color)",,,28500,,43,"rgb(240, 239, 233);, rgb(157, 158, 160);, rgb(119, 142, 135);, rgb(99, 89, 75);",폴라/터틀넥
[MADE] 올비아 반폴라 티,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60802&xcode=062&mcode=004&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=bWh3Ug%3D%3D,"New 컬러추가! 데일리웨어로 활용도 높은
반목 티셔츠★별이다섯개~후기인증템!(M~L / 5color)",,21800,12400,43,2,"rgb(0, 0, 0);, rgb(250, 250, 250);, rgb(250, 248, 242);, rgb(92, 63, 45);, rgb(43, 43, 43);",폴라/터틀넥
[MADE] 앤드 메리노울 폴라 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62308&xcode=062&mcode=004&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=bWl3VQ%3D%3D,"쪼임 없이 편안한 ♡ 메리노울 터틀넥
활용도 만점 가을/겨울 기본니트 !
(1,2 / 6color)",,26800,16000,40,125,"rgb(242, 241, 235);, rgb(199, 194, 185);, rgb(94, 70, 58);, rgb(20, 54, 30);, rgb(94, 94, 94);, rgb(0, 0, 0);",폴라/터틀넥
코지 하이넥 니트 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61520&xcode=062&mcode=004&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=Z2p3VA%3D%3D,"탄탄한 짜임의 고급진 집업과
여유핏의 팬츠가 셋트로 이가격~!
(3color)",,,64000,,7,"rgb(245, 243, 240);, rgb(212, 209, 190);, rgb(0, 0, 0);",폴라/터틀넥
베라 반목 7부 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60947&xcode=062&mcode=004&scode=&type=X&sort=manual&cur_code=062004&search=&GfDT=a2x3Vw%3D%3D,"컬러 별로 소장해서 그 날의 코디에 따라
매치해서 활용하기를 추천하는 반목 니트!
(5color)",,,22800,,123,"rgb(222, 213, 195);, rgb(77, 74, 64);, rgb(79, 107, 117);, rgb(227, 227, 227);, rgb(0, 0, 0);",폴라/터틀넥
