상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[2+1] [MADE] 24시간 숨쉬는 팬티 2탄,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59994&xcode=071&mcode=005&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=a2Z3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710050000903.gif?1678410243,38700,15800,59,20,"rgb(255, 238, 235);, rgb(0, 0, 0);",홈웨어
세컨즈 텐셀 런닝,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30935&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071006&search=&GfDT=bmp%2FW10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000203.gif?1558486743,,9500,,586,"rgb(255, 255, 255);, rgb(0, 0, 0);, rgb(200, 168, 143);",홈웨어
인견 노와이어 브라,https://www.joamom.co.kr/shop/shopdetail.html?branduid=30917&xcode=071&mcode=004&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=Z2d3Uw%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710040000363.gif?1401776181,,15800,,663,"rgb(243, 223, 214);, rgb(0, 0, 0);",홈웨어
데일리 브라캡 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60192&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071006&search=&GfDT=aG93Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000853.gif?1681266294,,15800,,46,"rgb(255, 255, 255);, rgb(107, 94, 94);, rgb(153, 153, 153);, rgb(245, 243, 233);, rgb(0, 0, 0);",홈웨어
쿨실크 3부&5부 속바지 2종,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54563&xcode=071&mcode=003&scode=001&type=X&sort=manual&cur_code=071006&search=&GfDT=bml5W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0710030000833.gif?1594694389,,9000,,195,"rgb(255, 255, 255);, rgb(254, 224, 237);, rgb(0, 0, 0);",홈웨어
에브 레이스 나시 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54387&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=bm97W1w%3D,소프트한 촉감의 워싱 코튼 러블리함을 담은 디자인^^ (2color),,,25000,,46,"rgb(255, 255, 255);, rgb(0, 0, 0);",홈웨어
지지미 레이스 파자마 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60733&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=bmh8W10%3D,올록볼록한 텍스쳐와 러블리한 레이스가 포인트! 사랑스러움이 가득한 홈웨어 파자마 팬츠! (5부/7부),,,22000,,1,"rgb(255, 255, 255);",홈웨어
뜨왈 본딩 파자마,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62571&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=bm11W14%3D,"고급스러운 뜨왈 패턴의 파자마♡
레이스+리본 포인트로 귀엽게~!",,,36000,,0,"rgb(129, 157, 199);",홈웨어
뜨왈 캡나시 파자마 3종 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62092&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=bWt3Ug%3D%3D,"나시+반바지+긴바지 3pcs구성!
브라 착용없이 편하고 고급지게
(4color)",,,21000,,27,"rgb(245, 245, 245);, rgb(245, 162, 175);, rgb(138, 194, 143);, rgb(129, 185, 219);",홈웨어
뜨왈 반팔 파자마 3종 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62091&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=a253VQ%3D%3D,"셔츠+반바지+긴바지 3pcs구성!
차르르- 매끄럽고 광택감있는 소재",,,25000,,16,"rgb(0, 0, 0);",홈웨어
키스캣 플라워 파자마 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60827&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=aGV4,"워싱된 30수 코튼,부드럽게 달콤한 꿀잠을 선사 해 줄! 은은한 플라워 패턴으로 러블리한 감성 파자마 (2color)",,,53500,,0,"rgb(255, 222, 255);, rgb(222, 249, 255);",홈웨어
헤이브 아사면 파자마 나시,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60732&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=bW53Vw%3D%3D,하늘하늘한 가벼운 60수 아사면! 러블리한 레이스 포인트로 한여름 감성잠옷으로 강추! (2color),,,22800,,6,"rgb(255, 255, 255);, rgb(0, 0, 0);",홈웨어
헤이브 아사면 파자마 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60731&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=bmt6W1s%3D,시원하게 통기성 좋은 60수 아사면! 러블리한 레이스 포인트로 감성적인 홈웨어로 딱! (2color),,,18000,,4,"rgb(255, 255, 255);, rgb(0, 0, 0);",홈웨어
로즈앙 플라워 파자마 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60727&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=a2V1,러블리한 감성 가득 파자마 세트! 집에서는 물론 여행갈 때 기분내기에도 넘 좋아요 (2color),,,66500,,0,"rgb(255, 209, 255);, rgb(217, 173, 255);",홈웨어
러블리 레이스 나시 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54470&xcode=071&mcode=006&scode=&type=X&sort=manual&cur_code=071006&search=&GfDT=bmp7W1U%3D,"여유핏, 편하고 러블리한 홈웨어 워싱코튼으로 착용감도 굿 (2color)",,,25000,,49,"rgb(255, 255, 255);, rgb(0, 0, 0);",홈웨어
