main_category,sub_category,url
OUTER,자켓,https://closhoew.com/product/list.html?cate_no=48
OUTER,가디건,https://closhoew.com/product/list.html?cate_no=50
OUTER,트위드,https://closhoew.com/product/list.html?cate_no=54
OUTER,점퍼/집업,https://closhoew.com/product/list.html?cate_no=53
OUTER,야상,https://closhoew.com/product/list.html?cate_no=55
OUTER,베스트,https://closhoew.com/product/list.html?cate_no=103
OUTER,코트,https://closhoew.com/product/list.html?cate_no=51
OUTER,패딩,https://closhoew.com/product/list.html?cate_no=56
TOP,티셔츠 > 긴팔,https://closhoew.com/product/list.html?cate_no=59
TOP,티셔츠 > 반팔,https://closhoew.com/product/list.html?cate_no=76
TOP,티셔츠 > 민소매,https://closhoew.com/product/list.html?cate_no=77
TOP,블라우스/셔츠 > 블라우스,https://closhoew.com/product/list.html?cate_no=79
TOP,블라우스/셔츠 > 셔츠,https://closhoew.com/product/list.html?cate_no=80
TOP,니트,https://closhoew.com/product/list.html?cate_no=60
TOP,맨투맨/후디 > 맨투맨,https://closhoew.com/product/list.html?cate_no=81
TOP,맨투맨/후디 > 후디,https://closhoew.com/product/list.html?cate_no=82
TOP,뷔스티에,https://closhoew.com/product/list.html?cate_no=95
TOP,베스트,https://closhoew.com/product/list.html?cate_no=94
BOTTOM,데님,https://closhoew.com/product/list.html?cate_no=64
BOTTOM,슬랙스,https://closhoew.com/product/list.html?cate_no=93
BOTTOM,스커트 > 미니,https://closhoew.com/product/list.html?cate_no=83
BOTTOM,스커트 > 미디/롱,https://closhoew.com/product/list.html?cate_no=84
BOTTOM,숏팬츠,https://closhoew.com/product/list.html?cate_no=66
BOTTOM,롱팬츠,https://closhoew.com/product/list.html?cate_no=65
BOTTOM,조거팬츠,https://closhoew.com/product/list.html?cate_no=101
BOTTOM,레깅스,https://closhoew.com/product/list.html?cate_no=100
DRESS,미니,https://closhoew.com/product/list.html?cate_no=68
DRESS,미디/롱,https://closhoew.com/product/list.html?cate_no=70
DRESS,점프수트,https://closhoew.com/product/list.html?cate_no=71
SET ITEM,상의 세트,https://closhoew.com/product/list.html?cate_no=75
SET ITEM,팬츠 세트,https://closhoew.com/product/list.html?cate_no=74
SET ITEM,스커트 세트,https://closhoew.com/product/list.html?cate_no=85
SHOES,슬리퍼/샌들,https://closhoew.com/product/list.html?cate_no=86
SHOES,부츠,https://closhoew.com/product/list.html?cate_no=88
SHOES,힐,https://closhoew.com/product/list.html?cate_no=87
ACC,이너웨어,https://closhoew.com/product/list.html?cate_no=106
ACC,가방,https://closhoew.com/product/list.html?cate_no=90
ACC,모자,https://closhoew.com/product/list.html?cate_no=89
ACC,선글라스,https://closhoew.com/product/list.html?cate_no=92
ACC,벨트,https://closhoew.com/product/list.html?cate_no=105
ACC,악세사리,https://closhoew.com/product/list.html?cate_no=91
ACC,홈웨어,https://closhoew.com/product/list.html?cate_no=104
ACC,장갑&양말,https://closhoew.com/product/list.html?cate_no=96
ACC,머플러,https://closhoew.com/product/list.html?cate_no=99
