상품명,상품URL,이미지URL,가격,색상,품절여부,좋아요수,카테고리_대분류,카테고리_소분류,카테고리_전체
[무료배송] 로헨드 노카라 스웨이드 크롭 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%A1%9C%ED%97%A8%EB%93%9C-%EB%85%B8%EC%B9%B4%EB%9D%BC-%EC%8A%A4%EC%9B%A8%EC%9D%B4%EB%93%9C-%ED%81%AC%EB%A1%AD-%EC%9E%90%EC%BC%93-2color/4428/category/48/display/1/,https://closhoew.com/web/product/medium/202503/33dc7c9d4eca56dd933aa262feabc8fb.webp,37900,"rgb(215, 177, 112), rgb(96, 52, 23)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 프로밍 하프 싱글 오버핏 레더 자켓 3color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%ED%94%84%EB%A1%9C%EB%B0%8D-%ED%95%98%ED%94%84-%EC%8B%B1%EA%B8%80-%EC%98%A4%EB%B2%84%ED%95%8F-%EB%A0%88%EB%8D%94-%EC%9E%90%EC%BC%93-3color/4426/category/48/display/1/,https://closhoew.com/web/product/medium/202503/7acf9e4976c4dc08558465b396d5a643.webp,66900,"rgb(215, 177, 112), rgb(80, 23, 4), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 델루나 루즈핏 싱글 하프 트렌치 자켓 3color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%8D%B8%EB%A3%A8%EB%82%98-%EB%A3%A8%EC%A6%88%ED%95%8F-%EC%8B%B1%EA%B8%80-%ED%95%98%ED%94%84-%ED%8A%B8%EB%A0%8C%EC%B9%98-%EC%9E%90%EC%BC%93-3color/4423/category/48/display/1/,https://closhoew.com/web/product/medium/202503/48ac2e5304d37f301a8751dfb9b7c5c5.webp,28900,"rgb(255, 255, 255), rgb(215, 177, 112), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 유어 또또 투포켓 오버핏 청남방 3color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%9C%A0%EC%96%B4-%EB%98%90%EB%98%90-%ED%88%AC%ED%8F%AC%EC%BC%93-%EC%98%A4%EB%B2%84%ED%95%8F-%EC%B2%AD%EB%82%A8%EB%B0%A9-3color/4407/category/48/display/1/,https://closhoew.com/web/product/medium/202503/50f7722fcdf3d6f4e52ec4c6877d62c8.webp,30900,"rgb(97, 205, 231), rgb(18, 92, 193), rgb(1, 0, 140)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 켄즈 포켓 오버핏 청자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%BC%84%EC%A6%88-%ED%8F%AC%EC%BC%93-%EC%98%A4%EB%B2%84%ED%95%8F-%EC%B2%AD%EC%9E%90%EC%BC%93-2color/4392/category/48/display/1/,https://closhoew.com/web/product/medium/202502/9d1a27c2e784628984d27626f0c4648f.webp,42900,"rgb(18, 92, 193), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 루시안 카라넥 포켓 스웨이드 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%A3%A8%EC%8B%9C%EC%95%88-%EC%B9%B4%EB%9D%BC%EB%84%A5-%ED%8F%AC%EC%BC%93-%EC%8A%A4%EC%9B%A8%EC%9D%B4%EB%93%9C-%EC%9E%90%EC%BC%93-2color/4389/category/48/display/1/,https://closhoew.com/web/product/medium/202502/17e165cfb597b106b3cf9ccb8804673c.webp,37900,"rgb(230, 197, 32), rgb(80, 23, 4)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 마가렛 루즈핏 싱글 스웨이드 자켓,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%A7%88%EA%B0%80%EB%A0%9B-%EB%A3%A8%EC%A6%88%ED%95%8F-%EC%8B%B1%EA%B8%80-%EC%8A%A4%EC%9B%A8%EC%9D%B4%EB%93%9C-%EC%9E%90%EC%BC%93/4376/category/48/display/1/,https://closhoew.com/web/product/medium/202502/9a6d69a62b264bda4be8cc8742d90f20.webp,44900,"rgb(215, 177, 112)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
