상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리_대분류,카테고리_소분류,카테고리_전체
,https://baddiary.com/product/%ED%95%98%EA%B0%9D%EB%A3%A9%EB%AA%A8%EC%9E%84%EB%A3%A9-made-%EC%95%84%EB%AA%A8%EB%A5%B4-%ED%8D%BC%ED%94%84-%EC%9B%90%ED%94%BC%EC%8A%A4sl%EB%B2%A8%ED%8A%B8%EC%A6%9D%EC%A0%95/23650/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/a8e360348bfb1d5e529cb82b197580e3.webp,,,,0,"rgb(235, 188, 174);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/%EB%A9%94%EC%A2%85%EB%93%9C-%EB%A0%88%ED%84%B0%EB%A7%81-%EB%B0%98%ED%8C%94-%ED%8B%B0/28202/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/3754af435eeb0adc4f86013c02842150.webp,,,,0,"rgb(0, 0, 0);, rgb(224, 224, 224);, rgb(254, 255, 239);",BEST,,BEST
,https://baddiary.com/product/%EB%84%A5%EC%8A%A4%ED%8A%B8-%ED%95%80%ED%84%B1-%EB%8D%B0%EB%8B%98-%EC%9B%90%ED%94%BC%EC%8A%A4/28170/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/6b69cb9cad34d89f179d3e1fc0e6e954.webp,,,,0,"rgb(132, 164, 189);",BEST,,BEST
,https://baddiary.com/product/%EC%95%A4%EB%94%94-%EB%B0%B0%EC%83%89-%EC%B9%B4%EB%9D%BC-%EB%8B%88%ED%8A%B8%EB%AC%B4%EC%A7%80%EC%8A%A4%ED%8A%B8%EB%9D%BC%EC%9D%B4%ED%94%84/28174/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/b82adf5095d2e024094b699420667466.webp,,,,0,"rgb(250, 250, 250);, rgb(254, 255, 239);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/%EC%84%B8%ED%8A%B8%ED%95%A0%EC%9D%B8%F0%9F%A4%8D-%EB%A7%A4%EC%9D%BC%EB%A7%A4%EC%9D%BC-%EC%8A%A4%ED%8A%B8%EB%9D%BC%EC%9D%B4%ED%94%84-%ED%8B%B0%EB%84%98%ED%8E%B8%ED%95%B4-%EC%99%80%EC%9D%B4%EB%93%9C-%EC%A0%90%ED%94%84%EC%88%98%ED%8A%B8/23883/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/374a0d9eebe59abbcad7e6587186f908.jpg,,,,0,,BEST,,BEST
,https://baddiary.com/product/%ED%8B%B0%EC%97%98-%ED%8D%BC%ED%94%84-7%EB%B6%80-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4/24259/category/36/display/1/,,https://baddiary.com/web/product/tiny/202408/44195c94d973a21a9cddf4a513c540be.webp,,,,0,"rgb(133, 168, 123);, rgb(71, 71, 71);, rgb(215, 177, 112);, rgb(106, 150, 207);, rgb(0, 0, 130);, rgb(222, 191, 222);, rgb(254, 255, 239);, rgb(240, 192, 192);",BEST,,BEST
,https://baddiary.com/product/made-%EC%86%94%EB%A6%AC%EB%93%9C-%EA%B8%B0%EB%B3%B8-%EC%8B%B1%EA%B8%80-%EC%9E%90%EC%BC%93sl/25824/category/36/display/1/,,https://baddiary.com/web/product/tiny/202503/736652e2ef5d9ee98bcb70e80297a5d4.webp,,,,0,"rgb(230, 227, 205);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/%ED%81%B4%EB%A6%B0-%EA%B8%B0%EB%B3%B8-%EB%8B%88%ED%8A%B8%EB%AC%B4%EC%A7%80%EC%8A%A4%ED%8A%B8%EB%9D%BC%EC%9D%B4%ED%94%84/28098/category/36/display/1/,,https://baddiary.com/web/product/tiny/202503/6efede09b0234e247dc3b5998aeed479.webp,,,,0,"rgb(0, 0, 0);, rgb(254, 255, 239);",BEST,,BEST
,https://baddiary.com/product/%EB%AA%A8%EB%8B%9D-%EC%A7%84%EC%A3%BC-%EC%8B%9C%EC%8A%A4%EB%A3%A8-%EA%B0%80%EB%94%94%EA%B1%B4/28158/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/370a7f85a82046e1999f24baf915ce27.webp,,,,0,"rgb(0, 0, 0);, rgb(250, 250, 108);, rgb(155, 224, 165);, rgb(255, 255, 255);",BEST,,BEST
,https://baddiary.com/product/%ED%9E%88%EB%93%A0%EB%B0%B4%EB%94%A9-%EC%B9%98%ED%8A%B8%ED%82%A4-%EC%84%B8%EB%AF%B8-%EB%B6%80%EC%B8%A0%EC%BB%B7-%EC%8A%AC%EB%9E%99%EC%8A%A4%EA%B8%B0%EB%B3%B8%EB%A1%B1s2xl/28124/category/36/display/1/,,https://baddiary.com/web/product/tiny/202503/326783fa6fde5b3be6047136116f1369.webp,,,,0,"rgb(0, 0, 0);, rgb(230, 212, 177);",BEST,,BEST
