main_category,sub_category,url
TOP,무지티,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=001&type=M&mcode=007
TOP,프린트티,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=001&type=M&mcode=005
TOP,후드&맨투맨,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=001&type=M&mcode=004
TOP,나시,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=001&type=M&mcode=002
TOP,니트,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=001&type=M&mcode=001
TOP,베스트,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=001&type=M&mcode=008
TOP,셔츠,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=001&type=M&mcode=006
TOP,블라우스,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=001&type=M&mcode=003
KNIT/CARDIGAN,니트,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=113&type=N&mcode=001
KNIT/CARDIGAN,가디건,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=113&type=N&mcode=002
KNIT/CARDIGAN,베스트,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=113&type=N&mcode=003
KNIT/CARDIGAN,집업,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=113&type=M&mcode=004
OUTER,자켓,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=010&type=M&mcode=001
OUTER,점퍼/집업,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=010&type=M&mcode=002
OUTER,가디건,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=010&type=M&mcode=003
OUTER,코트,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=010&type=M&mcode=004
OUTER,바람막이,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=138&type=P
SHIRT/BLOUSE,셔츠,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=140&type=N&mcode=001
SHIRT/BLOUSE,블라우스,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=140&type=N&mcode=002
PANTS,부츠컷,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=049&type=M&mcode=013
PANTS,배기진,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=049&type=M&mcode=009
PANTS,와이드팬츠,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=049&type=M&mcode=007
PANTS,슬랙스,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=049&type=M&mcode=006
PANTS,일자팬츠,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=049&type=M&mcode=011
PANTS,반바지,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=049&type=M&mcode=005
PANTS,트레이닝/레깅스,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=049&type=M&mcode=002
DRESS&SKIRT,원피스,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=002&type=M&mcode=001
DRESS&SKIRT,스커트,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=002&type=M&mcode=002
ACC,모자,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=005&type=M&mcode=002
ACC,머플러&스카프,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=005&type=M&mcode=005
ACC,쥬얼리,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=005&type=M&mcode=006
ACC,벨트,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=005&type=M&mcode=003
ACC,이너웨어,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=005&type=M&mcode=004
ACC,기타,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=005&type=M&mcode=008
SHOES/BAG,SHOES,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=004&type=M&mcode=001
SHOES/BAG,BAG,https://www.chicfox.co.kr/shop/shopbrand.html?xcode=004&type=M&mcode=002
