상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리_대분류,카테고리_소분류,카테고리_전체
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506785&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bm93Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070034662.gif?1677575747,,,,0,"화이트, 핑크, 카키, 블랙",0,TOP,무지티,TOP > 무지티
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509946&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bml6W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036142.gif?1709080635,,,,0,"아이보리,크림, 그린, 브라운, 블랙",0,TOP,무지티,TOP > 무지티
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512540&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2x3VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037932.gif?1744106497,,,,0,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512630&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2x3Vw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037982.gif?1745313134,,,,0,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508040&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2x3Vg%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070035502.gif?1744718201,,,,0,"화이트, 베이지, 브라운, 그레이, 블랙, 와인, 네이비",0,TOP,무지티,TOP > 무지티
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=495558&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2l3UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070026242.gif?1743079738,,,,0,"아이보리,크림, 핑크, 민트, 연카키, 와인, 네이비, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
[made]피스테 나일론배색스트링티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507795&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmp8W10%3D,[앵콜세일15%]04.24(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070035382.gif?1714016623,29800,25400,15,212,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
이베이 U넥반팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503588&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bm97W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070033272.gif?1677576524,,9800,,936,"아이보리,크림, 그레이, 진베이지, 민트, 블랙",0,TOP,무지티,TOP > 무지티
이지핏 버튼 브이넥 7부 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512630&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=am93UQ%3D%3D,[오픈위크15%+당일발송]04.29(화)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037982.gif?1745313134,19800,16900,15,1,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
포티즌 가오리핏 브이넥 반팔 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512611&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=a2l3UA%3D%3D,[오픈위크15%+당일발송]05.01(목)까지,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037972.gif?1745199863,14500,12400,15,0,"화이트, 옐로우, 블랙",0,TOP,무지티,TOP > 무지티
세티 포켓반팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506785&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bm94W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070034662.gif?1677575747,,10800,,297,"화이트, 핑크, 카키, 블랙",0,TOP,무지티,TOP > 무지티
센터 절개 오버핏 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512540&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=aWl3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037932.gif?1744106497,,19800,,4,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
[made]글로니 비스코스 코튼 캡소매 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509946&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bWt3VQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036142.gif?1709080635,,14800,,58,"아이보리,크림, 그린, 브라운, 블랙",0,TOP,무지티,TOP > 무지티
[1+1]벨로 코튼워싱 브이넥 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510954&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=aG13VA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037472.jpg?1730355698,29600,26700,10,45,,0,TOP,무지티,TOP > 무지티
[TENCEL] 피요트 슬림 텐셀 스판 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512474&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=amp3Vw%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037862.gif?1743066024,,29800,,0,"아이보리,크림, 진한크림, 브라운, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
[1+1]심플슬라브 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=495558&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2l3Vg%3D%3D,"유넥, 라운드넥,브이넥 3가지스타일 8가지 컬러로 다양하게",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070026242.gif?1743079738,,14900,,4,"아이보리,크림, 핑크, 민트, 연카키, 와인, 네이비, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
이베이 U넥반팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503588&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmx7W1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070033272.gif?1677576524,,9800,,936,"아이보리,크림, 그레이, 진베이지, 민트, 블랙",0,TOP,무지티,TOP > 무지티
[made]마티스링 자수 코튼 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510089&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmp0W1U%3D,[앵콜세일15%]04.27(일)까지,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036232.gif?1716797823,14800,12600,15,21,"화이트, 연핑크, 연두, 블랙",0,TOP,무지티,TOP > 무지티
코튼에그 자수 피치 반팔 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511786&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=a213UFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037572.gif?1730972649,,19800,,28,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
